GW5,Man City,NFO,H,58%
GW5,Liverpool,NEW,H,48%
GW5,Arsenal,AVL,H,39%
GW5,Chelsea,SOU,A,38%
GW5,Crystal Palace,BRE,H,32%
GW5,Leeds,EVE,H,32%
GW5,Brighton,FUL,A,30%
GW5,Leicester,MUN,H,28%
GW5,Spurs,WHU,A,27%
GW5,Wolves,BOU,A,27%
GW5,Bournemouth,WOL,H,26%
GW5,West Ham,TOT,H,23%
GW5,Man Utd,LEI,A,23%
GW5,Fulham,BHA,H,22%
GW5,Everton,LEE,A,21%
GW5,Brentford,CRY,A,20%
GW5,Southampton,CHE,H,15%
GW5,Aston Villa,ARS,A,13%
GW5,Newcastle,LIV,A,7%
GW5,Nott'm Forest,MCI,A,3%
