Name,Team,Fixture,eAssists/90,Anytime%,,
Salah,LIV,(H): BOU,0.50,40%,,
Luis Díaz,LIV,(H): BOU,0.46,37%,,
De Bruyne,MCI,(H): CRY,0.45,36%,,
Alexander-Arnold,LIV,(H): BOU,0.43,35%,,
Diogo Jota,LIV,(H): BOU,0.38,31%,,
Saka,ARS,(H): FUL,0.37,31%,,
Haaland,MCI,(H): CRY,0.36,30%,,
Mount,CHE,(H): LEI,0.36,30%,,
Mahrez,MCI,(H): CRY,0.36,30%,,
Darwin,LIV,(H): BOU,0.35,30%,,
Pépé,ARS,(H): FUL,0.35,30%,,
Son,TOT,(A): NFO,0.34,29%,,
Carvalho,LIV,(H): BOU,0.34,28%,,
Elliott,LIV,(H): BOU,0.33,28%,,
Álvarez,MCI,(H): CRY,0.33,28%,,
Foden,MCI,(H): CRY,0.32,28%,,
Ziyech,CHE,(H): LEI,0.31,27%,,
Grealish,MCI,(H): CRY,0.31,27%,,
Firmino,LIV,(H): BOU,0.31,26%,,
Ødegaard,ARS,(H): FUL,0.30,26%,,
Jesus,ARS,(H): FUL,0.30,26%,,
Robertson,LIV,(H): BOU,0.28,24%,,
Kulusevski,TOT,(A): NFO,0.28,24%,,
Fernandes,MUN,(A): SOU,0.27,24%,,
James,CHE,(H): LEI,0.27,24%,,
Kane,TOT,(A): NFO,0.27,24%,,
Richarlison,TOT,(A): NFO,0.26,23%,,
Fábio Vieira,ARS,(H): FUL,0.26,23%,,
Mbeumo,BRE,(H): EVE,0.26,23%,,
Buendía,AVL,(H): WHU,0.26,23%,,
Martinelli,ARS,(H): FUL,0.25,22%,,
Neto,WOL,(H): NEW,0.25,22%,,
Smith Rowe,ARS,(H): FUL,0.25,22%,,
Nketiah,ARS,(H): FUL,0.24,22%,,
Groß,BHA,(H): LEE,0.24,22%,,
Hudson-Odoi,CHE,(H): LEI,0.23,21%,,
Bernardo,MCI,(H): CRY,0.23,21%,,
Lucas Moura,TOT,(A): NFO,0.23,21%,,
