Name,Team,Fixture,eAssists/90,Anytime%,,
Havertz,CHE,(H): LEI,0.23,21%,,
Bowen,WHU,(A): AVL,0.23,20%,,
Pulisic,CHE,(H): LEI,0.23,20%,,
Sterling,CHE,(H): LEI,0.23,20%,,
Rashford,MUN,(A): SOU,0.23,20%,,
Werner,CHE,(H): LEI,0.22,20%,,
Maupay,BHA,(H): LEE,0.22,19%,,
Coutinho,AVL,(H): WHU,0.21,19%,,
Eriksen,MUN,(A): SOU,0.21,19%,,
Sancho,MUN,(A): SOU,0.21,19%,,
Undav,BHA,(H): LEE,0.21,19%,,
Perišić,TOT,(A): NFO,0.21,19%,,
Welbeck,BHA,(H): LEE,0.21,19%,,
Jones,LIV,(H): BOU,0.21,19%,,
Ings,AVL,(H): WHU,0.21,19%,,
Trossard,BHA,(H): LEE,0.21,19%,,
Fraser,NEW,(A): WOL,0.21,19%,,
Henderson,LIV,(H): BOU,0.20,18%,,
Keita,LIV,(H): BOU,0.20,18%,,
Toney,BRE,(H): EVE,0.20,18%,,
Bailey,AVL,(H): WHU,0.20,18%,,
Milner,LIV,(H): BOU,0.20,18%,,
Traoré,AVL,(H): WHU,0.20,18%,,
Maddison,LEI,(A): CHE,0.20,18%,,
Canós,BRE,(H): EVE,0.19,18%,,
Enciso,BHA,(H): LEE,0.19,18%,,
Jensen,BRE,(H): EVE,0.19,17%,,
Gibbs-White,WOL,(H): NEW,0.19,17%,,
Lewis-Potter,BRE,(H): EVE,0.19,17%,,
Gray,EVE,(A): BRE,0.19,17%,,
Thiago,LIV,(H): BOU,0.19,17%,,
Elanga,MUN,(A): SOU,0.19,17%,,
Martial,MUN,(A): SOU,0.19,17%,,
Mwepu,BHA,(H): LEE,0.18,17%,,
Podence,WOL,(H): NEW,0.18,17%,,
Gordon,EVE,(A): BRE,0.18,17%,,
Hwang,WOL,(H): NEW,0.18,17%,,
Alonso,CHE,(H): LEI,0.18,17%,,
Wilson,FUL,(A): ARS,0.18,17%,,
Lolley,NFO,(H): TOT,0.18,17%,,
Mac Allister,BHA,(H): LEE,0.18,16%,,
Gomez,LIV,(H): BOU,0.18,16%,,
Wissa,BRE,(H): EVE,0.18,16%,,
Doherty,TOT,(A): NFO,0.18,16%,,
Benrahma,WHU,(A): AVL,0.18,16%,,
McNeil,EVE,(A): BRE,0.18,16%,,
Saint-Maximin,NEW,(A): WOL,0.17,16%,,
Gallagher,CHE,(H): LEI,0.17,16%,,
Ronaldo,MUN,(A): SOU,0.17,16%,,
Adama,WOL,(H): NEW,0.17,16%,,
Cancelo,MCI,(H): CRY,0.17,15%,,
March,BHA,(H): LEE,0.17,15%,,
Barnes,LEI,(A): CHE,0.17,15%,,
Gündogan,MCI,(H): CRY,0.17,15%,,
Antonio,WHU,(A): AVL,0.17,15%,,
Digne,AVL,(H): WHU,0.17,15%,,
Harrison,LEE,(A): BHA,0.16,15%,,
Archer,AVL,(H): WHU,0.16,15%,,
Phillips,MCI,(H): CRY,0.16,15%,,
Murphy,NEW,(A): WOL,0.16,15%,,
Rodrigo,LEE,(A): BHA,0.16,15%,,
R.Sessegnon,TOT,(A): NFO,0.16,15%,,
Ghoddos,BRE,(H): EVE,0.16,15%,,
Sinisterra,LEE,(A): BHA,0.16,15%,,
James,LEE,(A): BHA,0.16,15%,,
Watkins,AVL,(H): WHU,0.16,14%,,
Tierney,ARS,(H): FUL,0.15,14%,,
Ward-Prowse,SOU,(H): MUN,0.15,14%,,
Zinchenko,ARS,(H): FUL,0.15,14%,,
Spence,TOT,(A): NFO,0.15,14%,,
A.Armstrong,SOU,(H): MUN,0.15,14%,,
Dasilva,BRE,(H): EVE,0.15,14%,,
Bamford,LEE,(A): BHA,0.15,14%,,
Adams,SOU,(H): MUN,0.15,14%,,
Vlasic,WHU,(A): AVL,0.15,14%,,
Elyounoussi,SOU,(H): MUN,0.15,14%,,
Bentancur,TOT,(A): NFO,0.15,14%,,
Elneny,ARS,(H): FUL,0.14,13%,,
Chilwell,CHE,(H): LEI,0.14,13%,,
Gelhardt,LEE,(A): BHA,0.14,13%,,
Lingard,NFO,(H): TOT,0.14,13%,,
Scamacca,WHU,(A): AVL,0.14,13%,,
Kanté,CHE,(H): LEI,0.14,13%,,
Xhaka,ARS,(H): FUL,0.14,13%,,
Fornals,WHU,(A): AVL,0.14,13%,,
Moutinho,WOL,(H): NEW,0.14,13%,,
Aaronson,LEE,(A): BHA,0.14,13%,,
Wilson-Esbrand,MCI,(H): CRY,0.14,13%,,
Albrighton,LEI,(A): CHE,0.14,13%,,
Wilson,NEW,(A): WOL,0.14,13%,,
Tella,SOU,(H): MUN,0.14,13%,,
Kovacic,CHE,(H): LEI,0.14,13%,,
Lamptey,BHA,(H): LEE,0.14,13%,,
Ashley Young,AVL,(H): WHU,0.14,13%,,
Lallana,BHA,(H): LEE,0.14,13%,,
Walker,MCI,(H): CRY,0.14,13%,,
Redmond,SOU,(H): MUN,0.14,13%,,
Johnson,NFO,(H): TOT,0.14,13%,,
Walcott,SOU,(H): MUN,0.14,13%,,
Rondón,EVE,(A): BRE,0.13,13%,,
Dele,EVE,(A): BRE,0.13,12%,,
Rodri,MCI,(H): CRY,0.13,12%,,
Wood,NEW,(A): WOL,0.13,12%,,
Bissouma,TOT,(A): NFO,0.13,12%,,
S.Armstrong,SOU,(H): MUN,0.13,12%,,
Lanzini,WHU,(A): AVL,0.13,12%,,
Partey,ARS,(H): FUL,0.13,12%,,
Calvert-Lewin,EVE,(A): BRE,0.13,12%,,
Fabinho,LIV,(H): BOU,0.13,12%,,
Loftus-Cheek,CHE,(H): LEI,0.13,12%,,
Iheanacho,LEI,(A): CHE,0.13,12%,,
Surridge,NFO,(H): TOT,0.13,12%,,
Pérez,LEI,(A): CHE,0.13,12%,,
Aribo,SOU,(H): MUN,0.13,12%,,
Ajer,BRE,(H): EVE,0.12,12%,,
Caicedo,BHA,(H): LEE,0.12,12%,,
Dias,MCI,(H): CRY,0.12,11%,,
Trippier,NEW,(A): WOL,0.12,11%,,
Eze,CRY,(A): MCI,0.12,11%,,
Olise,CRY,(A): MCI,0.12,11%,,
Shaw,MUN,(A): SOU,0.12,11%,,
Bruno Guimarães,NEW,(A): WOL,0.12,11%,,
Nørgaard,BRE,(H): EVE,0.12,11%,,
Daka,LEI,(A): CHE,0.12,11%,,
Almirón,NEW,(A): WOL,0.12,11%,,
Tomiyasu,ARS,(H): FUL,0.12,11%,,
Janelt,BRE,(H): EVE,0.12,11%,,
Cresswell,WHU,(A): AVL,0.12,11%,,
Roerslev,BRE,(H): EVE,0.11,11%,,
Jorginho,CHE,(H): LEI,0.11,11%,,
Awoniyi,NFO,(H): TOT,0.11,11%,,
Dendoncker,WOL,(H): NEW,0.11,11%,,
Aït-Nouri,WOL,(H): NEW,0.11,11%,,
Onyeka,BRE,(H): EVE,0.11,11%,,
Iwobi,EVE,(A): BRE,0.11,11%,,
Fred,MUN,(A): SOU,0.11,11%,,
Taylor,NFO,(H): TOT,0.11,10%,,
Baptiste,BRE,(H): EVE,0.11,10%,,
De Cordova-Reid,FUL,(A): ARS,0.11,10%,,
Andreas,FUL,(A): ARS,0.11,10%,,
Neves,WOL,(H): NEW,0.11,10%,,
Cundle,WOL,(H): NEW,0.11,10%,,
Semedo,WOL,(H): NEW,0.10,10%,,
Masuaku,WHU,(A): AVL,0.10,10%,,
Jonny,WOL,(H): NEW,0.10,10%,,
Hickey,BRE,(H): EVE,0.10,10%,,
Rúben Vinagre,EVE,(A): BRE,0.10,10%,,
Skipp,TOT,(A): NFO,0.10,10%,,
Stanislas,BOU,(A): LIV,0.10,10%,,
A.Doucouré,EVE,(A): BRE,0.10,10%,,
Vardy,LEI,(A): CHE,0.10,10%,,
Coufal,WHU,(A): AVL,0.10,10%,,
Højbjerg,TOT,(A): NFO,0.10,9%,,
McGinn,AVL,(H): WHU,0.10,9%,,
Patterson,EVE,(A): BRE,0.10,9%,,
Cafú,NFO,(H): TOT,0.10,9%,,
Kebano,FUL,(A): ARS,0.10,9%,,
Ramsey,AVL,(H): WHU,0.10,9%,,
Edouard,CRY,(A): MCI,0.10,9%,,
Cash,AVL,(H): WHU,0.09,9%,,
Muniz,FUL,(A): ARS,0.09,9%,,
Cucurella,BHA,(H): LEE,0.09,9%,,
Malacia,MUN,(A): SOU,0.09,9%,,
Mykolenko,EVE,(A): BRE,0.09,9%,,
Mitrović,FUL,(A): ARS,0.09,9%,,
Davies,EVE,(A): BRE,0.09,9%,,
Dewsbury-Hall,LEI,(A): CHE,0.09,9%,,
S.Longstaff,NEW,(A): WOL,0.09,9%,,
Anthony,BOU,(A): LIV,0.09,9%,,
Van de Beek,MUN,(A): SOU,0.09,9%,,
Shelvey,NEW,(A): WOL,0.09,9%,,
Toffolo,NFO,(H): TOT,0.09,9%,,
Billing,BOU,(A): LIV,0.09,9%,,
Allan,EVE,(A): BRE,0.09,9%,,
Aké,MCI,(H): CRY,0.09,9%,,
Gabriel,ARS,(H): FUL,0.09,8%,,
N.Williams,NFO,(H): TOT,0.09,8%,,
Willock,NEW,(A): WOL,0.09,8%,,
Laryea,NFO,(H): TOT,0.09,8%,,
Joelinton,NEW,(A): WOL,0.09,8%,,
Matip,LIV,(H): BOU,0.09,8%,,
Wan-Bissaka,MUN,(A): SOU,0.08,8%,,
O'Brien,NFO,(H): TOT,0.08,8%,,
Christie,BOU,(A): LIV,0.08,8%,,
Perraud,SOU,(H): MUN,0.08,8%,,
Romeu,SOU,(H): MUN,0.08,8%,,
Ayew,CRY,(A): MCI,0.08,8%,,
Cody Drameh,LEE,(A): BHA,0.08,8%,,
Walker-Peters,SOU,(H): MUN,0.08,8%,,
Diallo,SOU,(H): MUN,0.08,8%,,
Benteke,CRY,(A): MCI,0.08,7%,,
Coleman,EVE,(A): BRE,0.08,7%,,
Klich,LEE,(A): BHA,0.08,7%,,
Tielemans,LEI,(A): CHE,0.08,7%,,
Targett,NEW,(A): WOL,0.08,7%,,
Mateta,CRY,(A): MCI,0.08,7%,,
Lewis,NEW,(A): WOL,0.08,7%,,
Solanke,BOU,(A): LIV,0.07,7%,,
Henry,BRE,(H): EVE,0.07,7%,,
Zaha,CRY,(A): MCI,0.07,7%,,
McTominay,MUN,(A): SOU,0.07,7%,,
Dalot,MUN,(A): SOU,0.07,7%,,
Colback,NFO,(H): TOT,0.07,7%,,
Douglas Luiz,AVL,(H): WHU,0.07,7%,,
Marcondes,BOU,(A): LIV,0.07,7%,,
Soucek,WHU,(A): AVL,0.07,7%,,
Kristensen,LEE,(A): BHA,0.07,7%,,
Biancone,NFO,(H): TOT,0.07,7%,,
Azpilicueta,CHE,(H): LEI,0.07,7%,,
Dembélé,BOU,(A): LIV,0.07,7%,,
Kamara,AVL,(H): WHU,0.07,7%,,
Cairney,FUL,(A): ARS,0.07,7%,,
Valery,SOU,(H): MUN,0.07,6%,,
Johnson,WHU,(A): AVL,0.07,6%,,
Roca,LEE,(A): BHA,0.07,6%,,
Ricardo,LEI,(A): CHE,0.07,6%,,
Lowe,BOU,(A): LIV,0.06,6%,,
Forshaw,LEE,(A): BHA,0.06,6%,,
Rice,WHU,(A): AVL,0.06,6%,,
Hjelde,LEE,(A): BHA,0.06,6%,,
Bryan,FUL,(A): ARS,0.06,6%,,
Yates,NFO,(H): TOT,0.06,6%,,
Mings,AVL,(H): WHU,0.06,6%,,
McArthur,CRY,(A): MCI,0.06,6%,,
White,ARS,(H): FUL,0.06,5%,,
Struijk,LEE,(A): BHA,0.05,5%,,
Saliba,ARS,(H): FUL,0.05,5%,,
Ndidi,LEI,(A): CHE,0.05,5%,,
Thomas,LEI,(A): CHE,0.05,5%,,
Van Dijk,LIV,(H): BOU,0.05,5%,,
Schlupp,CRY,(A): MCI,0.05,5%,,
Adams,LEE,(A): BHA,0.05,5%,,
Chambers,AVL,(H): WHU,0.05,5%,,
Sarr,CHE,(H): LEI,0.05,5%,,
Ayling,LEE,(A): BHA,0.05,5%,,
Mendy,LEI,(A): CHE,0.05,5%,,
Konaté,LIV,(H): BOU,0.05,5%,,
Mbabu,FUL,(A): ARS,0.05,5%,,
Veltman,BHA,(H): LEE,0.05,5%,,
Milivojevic,CRY,(A): MCI,0.05,5%,,
Justin,LEI,(A): CHE,0.05,5%,,
Schär,NEW,(A): WOL,0.05,5%,,
Moore,BOU,(A): LIV,0.05,5%,,
Stones,MCI,(H): CRY,0.05,5%,,
Chalobah,CHE,(H): LEI,0.05,4%,,
Holgate,EVE,(A): BRE,0.05,4%,,
Koulibaly,CHE,(H): LEI,0.05,4%,,
Hughes,CRY,(A): MCI,0.04,4%,,
Diop,WHU,(A): AVL,0.04,4%,,
Lenglet,TOT,(A): NFO,0.04,4%,,
Palhinha,FUL,(A): ARS,0.04,4%,,
Clyne,CRY,(A): MCI,0.04,4%,,
Robinson,FUL,(A): ARS,0.04,4%,,
Castagne,LEI,(A): CHE,0.04,4%,,
Mee,BRE,(H): EVE,0.04,4%,,
Chalobah,FUL,(A): ARS,0.04,4%,,
Reed,FUL,(A): ARS,0.04,4%,,
Burn,NEW,(A): WOL,0.04,4%,,
Collins,WOL,(H): NEW,0.04,4%,,
Duffy,BHA,(H): LEE,0.04,4%,,
Ferguson,CRY,(A): MCI,0.04,4%,,
Tarkowski,EVE,(A): BRE,0.04,4%,,
Keane,EVE,(A): BRE,0.04,4%,,
Davies,TOT,(A): NFO,0.04,4%,,
Dawson,WHU,(A): AVL,0.04,4%,,
Toti,WOL,(H): NEW,0.04,4%,,
C.Doucouré,CRY,(A): MCI,0.04,4%,,
Mitchell,CRY,(A): MCI,0.04,4%,,
Smith,BOU,(A): LIV,0.04,3%,,
Lerma,BOU,(A): LIV,0.04,3%,,
Bech,BRE,(H): EVE,0.03,3%,,
Tete,FUL,(A): ARS,0.03,3%,,
Boly,WOL,(H): NEW,0.03,3%,,
Fredericks,BOU,(A): LIV,0.03,3%,,
Dunk,BHA,(H): LEE,0.03,3%,,
Webster,BHA,(H): LEE,0.03,3%,,
Koch,LEE,(A): BHA,0.03,3%,,
Sánchez,TOT,(A): NFO,0.03,3%,,
Martínez,MUN,(A): SOU,0.03,3%,,
Romero,TOT,(A): NFO,0.03,3%,,
Ward,CRY,(A): MCI,0.03,3%,,
Andersen,CRY,(A): MCI,0.03,3%,,
Godfrey,EVE,(A): BRE,0.03,3%,,
Lindelöf,MUN,(A): SOU,0.03,3%,,
McKenna,NFO,(H): TOT,0.03,3%,,
Pearson,BOU,(A): LIV,0.03,3%,,
Jansson,BRE,(H): EVE,0.03,3%,,
Varane,MUN,(A): SOU,0.03,3%,,
Zemura,BOU,(A): LIV,0.03,3%,,
Thiago Silva,CHE,(H): LEI,0.03,3%,,
Mina,EVE,(A): BRE,0.03,3%,,
Botman,NEW,(A): WOL,0.03,3%,,
Kilman,WOL,(H): NEW,0.03,3%,,
Cook,BOU,(A): LIV,0.03,3%,,
Maguire,MUN,(A): SOU,0.03,3%,,
Ogbonna,WHU,(A): AVL,0.03,3%,,
Konsa,AVL,(H): WHU,0.03,3%,,
Bella-Kotchap,SOU,(H): MUN,0.03,3%,,
Kongolo,FUL,(A): ARS,0.03,2%,,
Lascelles,NEW,(A): WOL,0.03,2%,,
Dier,TOT,(A): NFO,0.03,2%,,
Diego Carlos,AVL,(H): WHU,0.02,2%,,
Cooper,LEE,(A): BHA,0.02,2%,,
Lyanco,SOU,(H): MUN,0.02,2%,,
Evans,LEI,(A): CHE,0.02,2%,,
Worrall,NFO,(H): TOT,0.02,2%,,
Bednarek,SOU,(H): MUN,0.02,2%,,
Salisu,SOU,(H): MUN,0.02,2%,,
Richards,CRY,(A): MCI,0.02,2%,,
Guéhi,CRY,(A): MCI,0.02,2%,,
Llorente,LEE,(A): BHA,0.02,2%,,
Zouma,WHU,(A): AVL,0.02,2%,,
Coady,WOL,(H): NEW,0.02,2%,,
Amartey,LEI,(A): CHE,0.02,2%,,
Cook,NFO,(H): TOT,0.02,2%,,
Tosin,FUL,(A): ARS,0.02,2%,,
Alisson,LIV,(H): BOU,0.02,2%,,
Fofana,LEI,(A): CHE,0.02,2%,,
Niakhaté,NFO,(H): TOT,0.02,2%,,
Söyüncü,LEI,(A): CHE,0.02,2%,,
Ream,FUL,(A): ARS,0.01,1%,,
Kelly,BOU,(A): LIV,0.01,1%,,
James Hill,BOU,(A): LIV,0.01,1%,,
Mepham,BOU,(A): LIV,0.01,1%,,
Johnstone,CRY,(A): MCI,0.01,1%,,
Sá,WOL,(H): NEW,0.01,1%,,
Sánchez,BHA,(H): LEE,0.00,0%,,
Ederson,MCI,(H): CRY,0.00,0%,,
Ramsdale,ARS,(H): FUL,0.00,0%,,
Martínez,AVL,(H): WHU,0.00,0%,,
Raya,BRE,(H): EVE,0.00,0%,,
Mendy,CHE,(H): LEI,0.00,0%,,
Pickford,EVE,(A): BRE,0.00,0%,,
Ward,LEI,(A): CHE,0.00,0%,,
Pope,NEW,(A): WOL,0.00,0%,,
Henderson,NFO,(H): TOT,0.00,0%,,
McCarthy,SOU,(H): MUN,0.00,0%,,
Lloris,TOT,(A): NFO,0.00,0%,,
Daniel Iversen,LEI,(A): CHE,0.00,0%,,
Guaita,CRY,(A): MCI,0.00,0%,,
Rodák,FUL,(A): ARS,0.00,0%,,
Meslier,LEE,(A): BHA,0.00,0%,,
Schmeichel,LEI,(A): CHE,0.00,0%,,
De Gea,MUN,(A): SOU,0.00,0%,,
Fabianski,WHU,(A): AVL,0.00,0%,,
Travers,BOU,(A): LIV,0.00,0%,,
