Name,Team,Fixture,eAssists/90,Anytime%,,
Schär,NEW,(H): NFO,0.07,7%,,
Hickey,BRE,(A): LEI,0.07,7%,,
Douglas Luiz,AVL,(A): BOU,0.07,7%,,
Lerma,BOU,(H): AVL,0.07,7%,,
Hjelde,LEE,(H): WOL,0.07,7%,,
Castagne,LEI,(H): BRE,0.07,7%,,
Ferguson,CRY,(H): ARS,0.07,7%,,
Colback,NFO,(A): NEW,0.07,7%,,
Struijk,LEE,(H): WOL,0.07,7%,,
Matip,LIV,(A): FUL,0.07,7%,,
C.Doucouré,CRY,(H): ARS,0.07,7%,,
Kamara,AVL,(A): BOU,0.07,6%,,
Stacey,BOU,(H): AVL,0.07,6%,,
Adams,LEE,(H): WOL,0.07,6%,,
Mitchell,CRY,(H): ARS,0.07,6%,,
Gabriel,ARS,(A): CRY,0.06,6%,,
Pearson,BOU,(H): AVL,0.06,6%,,
Zemura,BOU,(H): AVL,0.06,6%,,
Cucurella,BHA,(A): MUN,0.06,6%,,
Burn,NEW,(H): NFO,0.06,6%,,
Romeu,SOU,(A): TOT,0.06,6%,,
Mings,AVL,(A): BOU,0.06,6%,,
Andersen,CRY,(H): ARS,0.06,6%,,
Diallo,SOU,(A): TOT,0.06,6%,,
Perraud,SOU,(A): TOT,0.06,6%,,
Davies,TOT,(H): SOU,0.06,6%,,
White,ARS,(A): CRY,0.06,5%,,
Cook,BOU,(H): AVL,0.06,5%,,
Walker-Peters,SOU,(A): TOT,0.06,5%,,
Azpilicueta,CHE,(A): EVE,0.06,5%,,
Ward,CRY,(H): ARS,0.06,5%,,
Yates,NFO,(A): NEW,0.06,5%,,
Aké,MCI,(A): WHU,0.05,5%,,
Soucek,WHU,(H): MCI,0.05,5%,,
Henry,BRE,(A): LEI,0.05,5%,,
Lenglet,TOT,(H): SOU,0.05,5%,,
Sarr,CHE,(A): EVE,0.05,5%,,
Valery,SOU,(A): TOT,0.05,5%,,
Mbabu,FUL,(H): LIV,0.05,5%,,
Johnson,WHU,(H): MCI,0.05,5%,,
Rice,WHU,(H): MCI,0.05,5%,,
Chambers,AVL,(A): BOU,0.05,4%,,
Reed,FUL,(H): LIV,0.04,4%,,
Palhinha,FUL,(H): LIV,0.04,4%,,
Botman,NEW,(H): NFO,0.04,4%,,
Holgate,EVE,(H): CHE,0.04,4%,,
Robinson,FUL,(H): LIV,0.04,4%,,
Van Dijk,LIV,(A): FUL,0.04,4%,,
Francois,FUL,(H): LIV,0.04,4%,,
Chalobah,CHE,(A): EVE,0.04,4%,,
Tete,FUL,(H): LIV,0.04,4%,,
Koulibaly,CHE,(A): EVE,0.04,4%,,
Guéhi,CRY,(H): ARS,0.04,4%,,
Evans,LEI,(H): BRE,0.04,4%,,
Sánchez,TOT,(H): SOU,0.04,4%,,
Konaté,LIV,(A): FUL,0.04,4%,,
Stones,MCI,(A): WHU,0.04,4%,,
Collins,WOL,(A): LEE,0.04,4%,,
Saliba,ARS,(A): CRY,0.04,4%,,
Romero,TOT,(H): SOU,0.04,4%,,
Martínez,MUN,(H): BHA,0.04,3%,,
Veltman,BHA,(A): MUN,0.03,3%,,
Tarkowski,EVE,(H): CHE,0.03,3%,,
Keane,EVE,(H): CHE,0.03,3%,,
Koch,LEE,(H): WOL,0.03,3%,,
Amartey,LEI,(H): BRE,0.03,3%,,
Lindelöf,MUN,(H): BHA,0.03,3%,,
Cooper,LEE,(H): WOL,0.03,3%,,
Varane,MUN,(H): BHA,0.03,3%,,
Mee,BRE,(A): LEI,0.03,3%,,
Bech,BRE,(A): LEI,0.03,3%,,
Fofana,LEI,(H): BRE,0.03,3%,,
McKenna,NFO,(A): NEW,0.03,3%,,
Maguire,MUN,(H): BHA,0.03,3%,,
Boly,WOL,(A): LEE,0.03,3%,,
Dawson,WHU,(H): MCI,0.03,3%,,
Godfrey,EVE,(H): CHE,0.03,3%,,
Llorente,LEE,(H): WOL,0.03,3%,,
Söyüncü,LEI,(H): BRE,0.03,3%,,
Dier,TOT,(H): SOU,0.03,3%,,
Kilman,WOL,(A): LEE,0.03,3%,,
Duffy,BHA,(A): MUN,0.03,3%,,
Kelly,BOU,(H): AVL,0.02,2%,,
Thiago Silva,CHE,(A): EVE,0.02,2%,,
Mina,EVE,(H): CHE,0.02,2%,,
Diego Carlos,AVL,(A): BOU,0.02,2%,,
Mepham,BOU,(H): AVL,0.02,2%,,
Worrall,NFO,(A): NEW,0.02,2%,,
Jansson,BRE,(A): LEI,0.02,2%,,
Dunk,BHA,(A): MUN,0.02,2%,,
Webster,BHA,(A): MUN,0.02,2%,,
Tosin,FUL,(H): LIV,0.02,2%,,
Cook,NFO,(A): NEW,0.02,2%,,
Bella-Kotchap,SOU,(A): TOT,0.02,2%,,
Ogbonna,WHU,(H): MCI,0.02,2%,,
Coady,WOL,(A): LEE,0.02,2%,,
Bednarek,SOU,(A): TOT,0.02,2%,,
Lyanco,SOU,(A): TOT,0.02,2%,,
Niakhaté,NFO,(A): NEW,0.02,2%,,
Salisu,SOU,(A): TOT,0.01,1%,,
Zouma,WHU,(H): MCI,0.01,1%,,
Ream,FUL,(H): LIV,0.01,1%,,
Alisson,LIV,(A): FUL,0.01,1%,,
Sá,WOL,(A): LEE,0.01,1%,,
Ward,LEI,(H): BRE,0.00,0%,,
Daniel Iversen,LEI,(H): BRE,0.00,0%,,
Sánchez,BHA,(A): MUN,0.00,0%,,
Pickford,EVE,(H): CHE,0.00,0%,,
Meslier,LEE,(H): WOL,0.00,0%,,
Schmeichel,LEI,(H): BRE,0.00,0%,,
Ederson,MCI,(A): WHU,0.00,0%,,
Pope,NEW,(H): NFO,0.00,0%,,
Henderson,NFO,(A): NEW,0.00,0%,,
Lloris,TOT,(H): SOU,0.00,0%,,
Ramsdale,ARS,(A): CRY,0.00,0%,,
Martínez,AVL,(A): BOU,0.00,0%,,
Travers,BOU,(H): AVL,0.00,0%,,
Raya,BRE,(A): LEI,0.00,0%,,
Mendy,CHE,(A): EVE,0.00,0%,,
Guaita,CRY,(H): ARS,0.00,0%,,
Rodák,FUL,(H): LIV,0.00,0%,,
De Gea,MUN,(H): BHA,0.00,0%,,
McCarthy,SOU,(A): TOT,0.00,0%,,
Fabianski,WHU,(H): MCI,0.00,0%,,
