Name,Team,Fixture,eGoals/90,Anytime%,,
Digne,AVL,(H): EVE,0.05,5%,,
Kamara,AVL,(H): EVE,0.05,5%,,
Lamptey,BHA,(H): NEW,0.05,5%,,
Kilman,WOL,(H): FUL,0.05,4%,,
Mings,AVL,(H): EVE,0.04,4%,,
Allan,EVE,(A): AVL,0.04,4%,,
Laryea,NFO,(H): WHU,0.04,4%,,
Sánchez,TOT,(A): CHE,0.04,4%,,
Martínez,MUN,(A): BRE,0.04,4%,,
Rúben Vinagre,EVE,(A): AVL,0.04,4%,,
Skipp,TOT,(A): CHE,0.04,4%,,
Walker-Peters,SOU,(H): LEE,0.04,4%,,
Bella-Kotchap,SOU,(H): LEE,0.04,4%,,
Toffolo,NFO,(H): WHU,0.04,4%,,
Tierney,ARS,(H): LEI,0.04,4%,,
Patterson,EVE,(A): AVL,0.04,4%,,
Palhinha,FUL,(A): WOL,0.04,4%,,
Maguire,MUN,(A): BRE,0.04,4%,,
Højbjerg,TOT,(A): CHE,0.04,4%,,
Cash,AVL,(H): EVE,0.04,4%,,
Boly,WOL,(H): FUL,0.04,4%,,
Coleman,EVE,(A): AVL,0.04,4%,,
Cresswell,WHU,(A): NFO,0.04,4%,,
Chalobah,FUL,(A): WOL,0.04,4%,,
Sarr,CHE,(H): TOT,0.04,4%,,
Burn,NEW,(A): BHA,0.04,4%,,
Trippier,NEW,(A): BHA,0.04,4%,,
Adams,LEE,(A): SOU,0.04,4%,,
Niakhaté,NFO,(H): WHU,0.04,4%,,
Tete,FUL,(A): WOL,0.04,4%,,
R.Sessegnon,TOT,(A): CHE,0.04,4%,,
Bech,BRE,(H): MUN,0.04,3%,,
Ndidi,LEI,(A): ARS,0.04,3%,,
Botman,NEW,(A): BHA,0.04,3%,,
Lyanco,SOU,(H): LEE,0.04,3%,,
Johnson,WHU,(A): NFO,0.04,3%,,
Mendy,LEI,(A): ARS,0.03,3%,,
Perraud,SOU,(H): LEE,0.03,3%,,
Mina,EVE,(A): AVL,0.03,3%,,
Davies,TOT,(A): CHE,0.03,3%,,
Koch,LEE,(A): SOU,0.03,3%,,
Bentancur,TOT,(A): CHE,0.03,3%,,
Tomiyasu,ARS,(H): LEI,0.03,3%,,
Tarkowski,EVE,(A): AVL,0.03,3%,,
Valery,SOU,(H): LEE,0.03,3%,,
Malacia,MUN,(A): BRE,0.03,3%,,
C.Doucouré,CRY,(A): LIV,0.03,3%,,
Kongolo,FUL,(A): WOL,0.03,3%,,
Hjelde,LEE,(A): SOU,0.03,3%,,
Ricardo,LEI,(A): ARS,0.03,3%,,
Roerslev,BRE,(H): MUN,0.03,3%,,
Cucurella,BHA,(H): NEW,0.03,3%,,
Godfrey,EVE,(A): AVL,0.03,3%,,
Cooper,LEE,(A): SOU,0.03,3%,,
Söyüncü,LEI,(A): ARS,0.03,3%,,
Salisu,SOU,(H): LEE,0.03,3%,,
Hickey,BRE,(H): MUN,0.03,3%,,
McArthur,CRY,(A): LIV,0.03,3%,,
Romero,TOT,(A): CHE,0.03,3%,,
Lenglet,TOT,(A): CHE,0.03,3%,,
Veltman,BHA,(H): NEW,0.03,3%,,
Walker,MCI,(H): BOU,0.03,3%,,
Evans,LEI,(A): ARS,0.03,3%,,
Zinchenko,ARS,(H): LEI,0.03,3%,,
McKenna,NFO,(H): WHU,0.03,2%,,
Lerma,BOU,(A): MCI,0.02,2%,,
Hughes,CRY,(A): LIV,0.02,2%,,
Tosin,FUL,(A): WOL,0.02,2%,,
Struijk,LEE,(A): SOU,0.02,2%,,
Kristensen,LEE,(A): SOU,0.02,2%,,
Shaw,MUN,(A): BRE,0.02,2%,,
Lindelöf,MUN,(A): BRE,0.02,2%,,
Dier,TOT,(A): CHE,0.02,2%,,
White,ARS,(H): LEI,0.02,2%,,
Fofana,LEI,(A): ARS,0.02,2%,,
Wan-Bissaka,MUN,(A): BRE,0.02,2%,,
Dalot,MUN,(A): BRE,0.02,2%,,
Pearson,BOU,(A): MCI,0.02,2%,,
Guéhi,CRY,(A): LIV,0.02,2%,,
Mbabu,FUL,(A): WOL,0.02,2%,,
Ajer,BRE,(H): MUN,0.02,2%,,
Bryan,FUL,(A): WOL,0.02,2%,,
Thomas,LEI,(A): ARS,0.02,2%,,
Reed,FUL,(A): WOL,0.02,2%,,
Amartey,LEI,(A): ARS,0.02,2%,,
Castagne,LEI,(A): ARS,0.02,2%,,
Targett,NEW,(A): BHA,0.02,2%,,
Cook,NFO,(H): WHU,0.02,2%,,
Coufal,WHU,(A): NFO,0.02,2%,,
James Hill,BOU,(A): MCI,0.02,2%,,
Cook,BOU,(A): MCI,0.02,2%,,
Justin,LEI,(A): ARS,0.02,2%,,
Cody Drameh,LEE,(A): SOU,0.02,2%,,
Mepham,BOU,(A): MCI,0.01,1%,,
Worrall,NFO,(H): WHU,0.01,1%,,
Zemura,BOU,(A): MCI,0.01,1%,,
Andersen,CRY,(A): LIV,0.01,1%,,
Ferguson,CRY,(A): LIV,0.01,1%,,
Ream,FUL,(A): WOL,0.01,1%,,
Robinson,FUL,(A): WOL,0.01,1%,,
Fredericks,BOU,(A): MCI,0.01,1%,,
Kelly,BOU,(A): MCI,0.01,1%,,
Stacey,BOU,(A): MCI,0.01,1%,,
Mitchell,CRY,(A): LIV,0.01,1%,,
Ward,CRY,(A): LIV,0.01,1%,,
Clyne,CRY,(A): LIV,0.01,1%,,
Smith,BOU,(A): MCI,0.01,1%,,
Alisson,LIV,(H): CRY,0.00,0%,,
Ramsdale,ARS,(H): LEI,0.00,0%,,
Martínez,AVL,(H): EVE,0.00,0%,,
Travers,BOU,(A): MCI,0.00,0%,,
Raya,BRE,(H): MUN,0.00,0%,,
Sánchez,BHA,(H): NEW,0.00,0%,,
Mendy,CHE,(H): TOT,0.00,0%,,
Guaita,CRY,(A): LIV,0.00,0%,,
Johnstone,CRY,(A): LIV,0.00,0%,,
Pickford,EVE,(A): AVL,0.00,0%,,
Rodák,FUL,(A): WOL,0.00,0%,,
Meslier,LEE,(A): SOU,0.00,0%,,
Schmeichel,LEI,(A): ARS,0.00,0%,,
Ward,LEI,(A): ARS,0.00,0%,,
Ederson,MCI,(H): BOU,0.00,0%,,
De Gea,MUN,(A): BRE,0.00,0%,,
Pope,NEW,(A): BHA,0.00,0%,,
Henderson,NFO,(H): WHU,0.00,0%,,
McCarthy,SOU,(H): LEE,0.00,0%,,
Lloris,TOT,(A): CHE,0.00,0%,,
Fabianski,WHU,(A): NFO,0.00,0%,,
Sá,WOL,(H): FUL,0.00,0%,,
Daniel Iversen,LEI,(A): ARS,0.00,0%,,
