Name,Team,Fixture,eGoals/90,Anytime%,,
Haaland,MCI,(H): BOU,0.98,62%,,
Salah,LIV,(H): CRY,0.70,50%,,
Darwin,LIV,(H): CRY,0.61,46%,,
Álvarez,MCI,(H): BOU,0.57,43%,,
Ronaldo,MUN,(A): BRE,0.55,42%,,
Mahrez,MCI,(H): BOU,0.53,41%,,
Diogo Jota,LIV,(H): CRY,0.52,40%,,
De Bruyne,MCI,(H): BOU,0.50,39%,,
Ings,AVL,(H): EVE,0.50,39%,,
Firmino,LIV,(H): CRY,0.43,35%,,
Mitrović,FUL,(A): WOL,0.42,34%,,
Jesus,ARS,(H): LEI,0.42,34%,,
Watkins,AVL,(H): EVE,0.41,34%,,
Bamford,LEE,(A): SOU,0.41,34%,,
Luis Díaz,LIV,(H): CRY,0.41,34%,,
Kane,TOT,(A): CHE,0.41,33%,,
Nketiah,ARS,(H): LEI,0.40,33%,,
Havertz,CHE,(H): TOT,0.40,33%,,
Archer,AVL,(H): EVE,0.40,33%,,
Saka,ARS,(H): LEI,0.39,32%,,
Toney,BRE,(H): MUN,0.38,32%,,
Maupay,BHA,(H): NEW,0.38,31%,,
Wilson,NEW,(A): BHA,0.38,31%,,
Calvert-Lewin,EVE,(A): AVL,0.38,31%,,
Foden,MCI,(H): BOU,0.38,31%,,
Scamacca,WHU,(A): NFO,0.37,31%,,
Vardy,LEI,(A): ARS,0.36,30%,,
Antonio,WHU,(A): NFO,0.36,30%,,
Gibbs-White,WOL,(H): FUL,0.36,30%,,
Werner,CHE,(H): TOT,0.35,30%,,
Undav,BHA,(H): NEW,0.35,29%,,
Welbeck,BHA,(H): NEW,0.34,29%,,
Grealish,MCI,(H): BOU,0.34,29%,,
Carvalho,LIV,(H): CRY,0.33,28%,,
Martinelli,ARS,(H): LEI,0.33,28%,,
Wood,NEW,(A): BHA,0.33,28%,,
Gündogan,MCI,(H): BOU,0.33,28%,,
A.Armstrong,SOU,(H): LEE,0.33,28%,,
Elliott,LIV,(H): CRY,0.32,28%,,
Pépé,ARS,(H): LEI,0.32,27%,,
Adams,SOU,(H): LEE,0.32,27%,,
Bowen,WHU,(A): NFO,0.31,27%,,
Milner,LIV,(H): CRY,0.31,27%,,
Smith Rowe,ARS,(H): LEI,0.30,26%,,
Mount,CHE,(H): TOT,0.30,26%,,
Neves,WOL,(H): FUL,0.30,26%,,
Hwang,WOL,(H): FUL,0.30,26%,,
Awoniyi,NFO,(H): WHU,0.30,26%,,
Gelhardt,LEE,(A): SOU,0.29,25%,,
Rondón,EVE,(A): AVL,0.29,25%,,
Sterling,CHE,(H): TOT,0.28,25%,,
Son,TOT,(A): CHE,0.28,25%,,
Taylor,NFO,(H): WHU,0.28,24%,,
Coutinho,AVL,(H): EVE,0.28,24%,,
Benrahma,WHU,(A): NFO,0.28,24%,,
Traoré,AVL,(H): EVE,0.27,24%,,
Martial,MUN,(A): BRE,0.27,24%,,
Johnson,NFO,(H): WHU,0.27,23%,,
Fernandes,MUN,(A): BRE,0.26,23%,,
Neto,WOL,(H): FUL,0.26,23%,,
Surridge,NFO,(H): WHU,0.25,22%,,
Ziyech,CHE,(H): TOT,0.25,22%,,
Enciso,BHA,(H): NEW,0.25,22%,,
Buendía,AVL,(H): EVE,0.24,21%,,
Pulisic,CHE,(H): TOT,0.24,21%,,
Iheanacho,LEI,(A): ARS,0.23,21%,,
Wissa,BRE,(H): MUN,0.23,21%,,
Bailey,AVL,(H): EVE,0.23,20%,,
Podence,WOL,(H): FUL,0.23,20%,,
Ward-Prowse,SOU,(H): LEE,0.22,20%,,
Daka,LEI,(A): ARS,0.22,20%,,
Lanzini,WHU,(A): NFO,0.22,20%,,
Richarlison,TOT,(A): CHE,0.22,20%,,
Elanga,MUN,(A): BRE,0.21,19%,,
Trossard,BHA,(H): NEW,0.21,19%,,
Fábio Vieira,ARS,(H): LEI,0.21,19%,,
Harrison,LEE,(A): SOU,0.21,19%,,
Ødegaard,ARS,(H): LEI,0.20,18%,,
Elyounoussi,SOU,(H): LEE,0.20,18%,,
Solanke,BOU,(A): MCI,0.20,18%,,
Vlasic,WHU,(A): NFO,0.20,18%,,
Fornals,WHU,(A): NFO,0.20,18%,,
Maddison,LEI,(A): ARS,0.20,18%,,
Bernardo,MCI,(H): BOU,0.20,18%,,
Sancho,MUN,(A): BRE,0.20,18%,,
Rodrigo,LEE,(A): SOU,0.19,18%,,
Redmond,SOU,(H): LEE,0.19,17%,,
Benteke,CRY,(A): LIV,0.19,17%,,
Mateta,CRY,(A): LIV,0.19,17%,,
Mbeumo,BRE,(H): MUN,0.19,17%,,
Mac Allister,BHA,(H): NEW,0.19,17%,,
Gray,EVE,(A): AVL,0.19,17%,,
Lewis-Potter,BRE,(H): MUN,0.19,17%,,
Barnes,LEI,(A): ARS,0.18,17%,,
Gordon,EVE,(A): AVL,0.18,17%,,
Jorginho,CHE,(H): TOT,0.18,16%,,
Rodri,MCI,(H): BOU,0.18,16%,,
S.Armstrong,SOU,(H): LEE,0.18,16%,,
Zaha,CRY,(A): LIV,0.17,16%,,
Rashford,MUN,(A): BRE,0.17,16%,,
Keita,LIV,(H): CRY,0.17,16%,,
Canós,BRE,(H): MUN,0.17,16%,,
Sinisterra,LEE,(A): SOU,0.17,16%,,
Aaronson,LEE,(A): SOU,0.17,15%,,
Fraser,NEW,(A): BHA,0.17,15%,,
Lingard,NFO,(H): WHU,0.16,15%,,
Kebano,FUL,(A): WOL,0.16,15%,,
Saint-Maximin,NEW,(A): BHA,0.16,14%,,
Adama,WOL,(H): FUL,0.15,14%,,
Jones,LIV,(H): CRY,0.15,14%,,
Dele,EVE,(A): AVL,0.15,14%,,
Andreas,FUL,(A): WOL,0.15,14%,,
Aribo,SOU,(H): LEE,0.15,14%,,
Gallagher,CHE,(H): TOT,0.15,14%,,
Knockaert,FUL,(A): WOL,0.15,14%,,
Groß,BHA,(H): NEW,0.15,14%,,
Wilson,FUL,(A): WOL,0.14,13%,,
James,LEE,(A): SOU,0.14,13%,,
Fabinho,LIV,(H): CRY,0.14,13%,,
Murphy,NEW,(A): BHA,0.14,13%,,
Bruno Guimarães,NEW,(A): BHA,0.14,13%,,
Lolley,NFO,(H): WHU,0.14,13%,,
Alonso,CHE,(H): TOT,0.14,13%,,
Edouard,CRY,(A): LIV,0.14,13%,,
Aké,MCI,(H): BOU,0.14,13%,,
Dendoncker,WOL,(H): FUL,0.14,13%,,
Ramsey,AVL,(H): EVE,0.13,12%,,
De Cordova-Reid,FUL,(A): WOL,0.13,12%,,
Eriksen,MUN,(A): BRE,0.13,12%,,
Pérez,LEI,(A): ARS,0.13,12%,,
Soucek,WHU,(A): NFO,0.13,12%,,
Matip,LIV,(H): CRY,0.12,11%,,
Lucas Moura,TOT,(A): CHE,0.12,11%,,
Alexander-Arnold,LIV,(H): CRY,0.12,11%,,
Kulusevski,TOT,(A): CHE,0.11,11%,,
McNeil,EVE,(A): AVL,0.11,11%,,
Thiago,LIV,(H): CRY,0.11,10%,,
Mwepu,BHA,(H): NEW,0.11,10%,,
Almirón,NEW,(A): BHA,0.11,10%,,
Jonny,WOL,(H): FUL,0.11,10%,,
Moore,BOU,(A): MCI,0.11,10%,,
Eze,CRY,(A): LIV,0.11,10%,,
Albrighton,LEI,(A): ARS,0.11,10%,,
Lowe,BOU,(A): MCI,0.10,10%,,
Moutinho,WOL,(H): FUL,0.10,10%,,
Billing,BOU,(A): MCI,0.10,10%,,
Phillips,MCI,(H): BOU,0.10,10%,,
James,CHE,(H): TOT,0.10,10%,,
Janelt,BRE,(H): MUN,0.10,10%,,
Ayew,CRY,(A): LIV,0.10,10%,,
Collins,WOL,(H): FUL,0.10,9%,,
Yates,NFO,(H): WHU,0.10,9%,,
Olise,CRY,(A): LIV,0.09,9%,,
Willock,NEW,(A): BHA,0.09,9%,,
Cundle,WOL,(H): FUL,0.09,9%,,
Gabriel,ARS,(H): LEI,0.09,9%,,
Partey,ARS,(H): LEI,0.09,9%,,
Douglas Luiz,AVL,(H): EVE,0.09,9%,,
Cairney,FUL,(A): WOL,0.09,9%,,
Chilwell,CHE,(H): TOT,0.09,9%,,
Henderson,LIV,(H): CRY,0.09,9%,,
Lallana,BHA,(H): NEW,0.09,8%,,
Klich,LEE,(A): SOU,0.09,8%,,
Dias,MCI,(H): BOU,0.09,8%,,
Dasilva,BRE,(H): MUN,0.08,8%,,
Stones,MCI,(H): BOU,0.08,8%,,
Fred,MUN,(A): BRE,0.08,8%,,
Xhaka,ARS,(H): LEI,0.08,8%,,
Dembélé,BOU,(A): MCI,0.08,8%,,
Webster,BHA,(H): NEW,0.08,8%,,
Van Dijk,LIV,(H): CRY,0.08,8%,,
Bednarek,SOU,(H): LEE,0.08,8%,,
Tielemans,LEI,(A): ARS,0.08,8%,,
Romeu,SOU,(H): LEE,0.08,7%,,
Dawson,WHU,(A): NFO,0.08,7%,,
Rice,WHU,(A): NFO,0.08,7%,,
N.Williams,NFO,(H): WHU,0.08,7%,,
Sambi,ARS,(H): LEI,0.07,7%,,
Jensen,BRE,(H): MUN,0.07,7%,,
Nørgaard,BRE,(H): MUN,0.07,7%,,
Dunk,BHA,(H): NEW,0.07,7%,,
Mee,BRE,(H): MUN,0.07,7%,,
Davies,EVE,(A): AVL,0.07,7%,,
Llorente,LEE,(A): SOU,0.07,7%,,
Coady,WOL,(H): FUL,0.07,7%,,
Iwobi,EVE,(A): AVL,0.07,7%,,
Holgate,EVE,(A): AVL,0.07,7%,,
Joelinton,NEW,(A): BHA,0.07,7%,,
Doherty,TOT,(A): CHE,0.07,7%,,
Aït-Nouri,WOL,(H): FUL,0.07,7%,,
Anthony,BOU,(A): MCI,0.07,7%,,
Kovacic,CHE,(H): TOT,0.07,7%,,
O'Brien,NFO,(H): WHU,0.07,7%,,
Ashley Young,AVL,(H): EVE,0.07,7%,,
Keane,EVE,(A): AVL,0.07,6%,,
Diego Carlos,AVL,(H): EVE,0.07,6%,,
McGinn,AVL,(H): EVE,0.07,6%,,
Marcondes,BOU,(A): MCI,0.07,6%,,
Onyeka,BRE,(H): MUN,0.07,6%,,
Caicedo,BHA,(H): NEW,0.07,6%,,
Robertson,LIV,(H): CRY,0.07,6%,,
Mykolenko,EVE,(A): AVL,0.06,6%,,
Bissouma,TOT,(A): CHE,0.06,6%,,
Van de Beek,MUN,(A): BRE,0.06,6%,,
Biancone,NFO,(H): WHU,0.06,6%,,
Konsa,AVL,(H): EVE,0.06,6%,,
Chalobah,CHE,(H): TOT,0.06,6%,,
Colback,NFO,(H): WHU,0.06,6%,,
Cancelo,MCI,(H): BOU,0.06,6%,,
Christie,BOU,(A): MCI,0.06,6%,,
A.Doucouré,EVE,(A): AVL,0.06,6%,,
Forshaw,LEE,(A): SOU,0.06,6%,,
Konaté,LIV,(H): CRY,0.06,6%,,
Elneny,ARS,(H): LEI,0.06,6%,,
Saliba,ARS,(H): LEI,0.06,6%,,
Chambers,AVL,(H): EVE,0.06,6%,,
Kanté,CHE,(H): TOT,0.06,6%,,
Dewsbury-Hall,LEI,(A): ARS,0.06,6%,,
Varane,MUN,(A): BRE,0.06,6%,,
Azpilicueta,CHE,(H): TOT,0.06,5%,,
Loftus-Cheek,CHE,(H): TOT,0.06,5%,,
Roca,LEE,(A): SOU,0.06,5%,,
McTominay,MUN,(A): BRE,0.06,5%,,
S.Longstaff,NEW,(A): BHA,0.06,5%,,
Ogbonna,WHU,(A): NFO,0.05,5%,,
Duffy,BHA,(H): NEW,0.05,5%,,
Cafú,NFO,(H): WHU,0.05,5%,,
Perišić,TOT,(A): CHE,0.05,5%,,
Semedo,WOL,(H): FUL,0.05,5%,,
Koulibaly,CHE,(H): TOT,0.05,5%,,
Diallo,SOU,(H): LEE,0.05,5%,,
Zouma,WHU,(A): NFO,0.05,5%,,
Henry,BRE,(H): MUN,0.05,5%,,
Schlupp,CRY,(A): LIV,0.05,5%,,
Jansson,BRE,(H): MUN,0.05,5%,,
March,BHA,(H): NEW,0.05,5%,,
Thiago Silva,CHE,(H): TOT,0.05,5%,,
Schär,NEW,(A): BHA,0.05,5%,,
