Name,Team,Fixture,eGoals/90,Anytime%,,
Soucek,WHU,(H): TOT,0.10,10%,,
Chilwell,CHE,(A): SOU,0.10,9%,,
Cairney,FUL,(H): BHA,0.10,9%,,
Gabriel,ARS,(H): AVL,0.09,9%,,
Henderson,LIV,(H): NEW,0.09,9%,,
Xande Silva,NFO,(A): MCI,0.09,9%,,
Iwobi,EVE,(A): LEE,0.09,9%,,
Dias,MCI,(H): NFO,0.09,9%,,
Tella,SOU,(H): CHE,0.09,9%,,
Partey,ARS,(H): AVL,0.09,9%,,
Janelt,BRE,(A): CRY,0.09,9%,,
Murphy,NEW,(A): LIV,0.09,9%,,
Stones,MCI,(H): NFO,0.09,9%,,
Jonny,WOL,(A): BOU,0.09,9%,,
Moutinho,WOL,(A): BOU,0.09,9%,,
Masuaku,WHU,(H): TOT,0.09,8%,,
Bruno Guimarães,NEW,(A): LIV,0.09,8%,,
Doherty,TOT,(A): WHU,0.09,8%,,
Xhaka,ARS,(H): AVL,0.09,8%,,
Lallana,BHA,(A): FUL,0.09,8%,,
Llorente,LEE,(H): EVE,0.08,8%,,
Ramsey,AVL,(A): ARS,0.08,8%,,
Bissouma,TOT,(A): WHU,0.08,8%,,
Van Dijk,LIV,(H): NEW,0.08,8%,,
Collins,WOL,(A): BOU,0.08,8%,,
Kovacic,CHE,(A): SOU,0.08,8%,,
Almirón,NEW,(A): LIV,0.08,8%,,
Lingard,NFO,(A): MCI,0.08,8%,,
Dewsbury-Hall,LEI,(H): MUN,0.08,7%,,
Davies,EVE,(A): LEE,0.08,7%,,
Roca,LEE,(H): EVE,0.08,7%,,
Cundle,WOL,(A): BOU,0.08,7%,,
Dasilva,BRE,(A): CRY,0.07,7%,,
Webster,BHA,(A): FUL,0.07,7%,,
Fred,MUN,(A): LEI,0.07,7%,,
Holgate,EVE,(A): LEE,0.07,7%,,
Lolley,NFO,(A): MCI,0.07,7%,,
Keane,EVE,(A): LEE,0.07,7%,,
Forshaw,LEE,(H): EVE,0.07,7%,,
Jensen,BRE,(A): CRY,0.07,7%,,
Baptiste,BRE,(A): CRY,0.07,7%,,
Chalobah,CHE,(A): SOU,0.07,7%,,
C.Doucouré,CRY,(H): BRE,0.07,7%,,
Dunk,BHA,(A): FUL,0.07,7%,,
Mykolenko,EVE,(A): LEE,0.07,7%,,
Perišić,TOT,(A): WHU,0.07,7%,,
McArthur,CRY,(H): BRE,0.07,6%,,
Rice,WHU,(H): TOT,0.07,6%,,
Spence,TOT,(A): WHU,0.07,6%,,
Nørgaard,BRE,(A): CRY,0.07,6%,,
Kanté,CHE,(A): SOU,0.07,6%,,
Loftus-Cheek,CHE,(A): SOU,0.07,6%,,
Tomkins,CRY,(H): BRE,0.07,6%,,
Caicedo,BHA,(A): FUL,0.06,6%,,
Robertson,LIV,(H): NEW,0.06,6%,,
Mee,BRE,(A): CRY,0.06,6%,,
Azpilicueta,CHE,(A): SOU,0.06,6%,,
A.Doucouré,EVE,(A): LEE,0.06,6%,,
Elneny,ARS,(H): AVL,0.06,6%,,
Onyeka,BRE,(A): CRY,0.06,6%,,
Cancelo,MCI,(H): NFO,0.06,6%,,
Dawson,WHU,(H): TOT,0.06,6%,,
Aït-Nouri,WOL,(A): BOU,0.06,6%,,
Konaté,LIV,(H): NEW,0.06,6%,,
Saliba,ARS,(H): AVL,0.06,6%,,
Willock,NEW,(A): LIV,0.06,6%,,
Koulibaly,CHE,(A): SOU,0.06,6%,,
Sánchez,TOT,(A): WHU,0.06,6%,,
Van de Beek,MUN,(A): LEI,0.06,5%,,
Skipp,TOT,(A): WHU,0.06,5%,,
Coady,WOL,(A): BOU,0.06,5%,,
Douglas Luiz,AVL,(A): ARS,0.06,5%,,
Thiago Silva,CHE,(A): SOU,0.06,5%,,
Gomez,LIV,(H): NEW,0.06,5%,,
Bednarek,SOU,(H): CHE,0.06,5%,,
Hughes,CRY,(H): BRE,0.05,5%,,
Romeu,SOU,(H): CHE,0.05,5%,,
Lerma,BOU,(H): WOL,0.05,5%,,
Højbjerg,TOT,(A): WHU,0.05,5%,,
Ayling,LEE,(H): EVE,0.05,5%,,
Allan,EVE,(A): LEE,0.05,5%,,
Varane,MUN,(A): LEI,0.05,5%,,
Duffy,BHA,(A): FUL,0.05,5%,,
Palhinha,FUL,(H): BHA,0.05,5%,,
McTominay,MUN,(A): LEI,0.05,5%,,
R.Sessegnon,TOT,(A): WHU,0.05,5%,,
Joelinton,NEW,(A): LIV,0.05,5%,,
Pearson,BOU,(H): WOL,0.05,5%,,
Patterson,EVE,(A): LEE,0.05,5%,,
Ndidi,LEI,(H): MUN,0.05,5%,,
Mendy,LEI,(H): MUN,0.05,5%,,
Yates,NFO,(A): MCI,0.05,5%,,
March,BHA,(A): FUL,0.05,4%,,
Lamptey,BHA,(A): FUL,0.05,4%,,
Guéhi,CRY,(H): BRE,0.05,4%,,
Coleman,EVE,(A): LEE,0.05,4%,,
Rúben Vinagre,EVE,(A): LEE,0.05,4%,,
Ashley Young,AVL,(A): ARS,0.05,4%,,
Henry,BRE,(A): CRY,0.04,4%,,
Chalobah,FUL,(H): BHA,0.04,4%,,
Tete,FUL,(H): BHA,0.04,4%,,
Adams,LEE,(H): EVE,0.04,4%,,
Richards,CRY,(H): BRE,0.04,4%,,
Tierney,ARS,(H): AVL,0.04,4%,,
Jansson,BRE,(A): CRY,0.04,4%,,
Sarr,CHE,(A): SOU,0.04,4%,,
Ogbonna,WHU,(H): TOT,0.04,4%,,
Davies,TOT,(A): WHU,0.04,4%,,
Bentancur,TOT,(A): WHU,0.04,4%,,
Toti,WOL,(A): BOU,0.04,4%,,
Ricardo,LEI,(H): MUN,0.04,4%,,
Martínez,MUN,(A): LEI,0.04,4%,,
McGinn,AVL,(A): ARS,0.04,4%,,
Diego Carlos,AVL,(A): ARS,0.04,4%,,
Zouma,WHU,(H): TOT,0.04,4%,,
Semedo,WOL,(A): BOU,0.04,4%,,
Cook,BOU,(H): WOL,0.04,4%,,
Koch,LEE,(H): EVE,0.04,4%,,
Söyüncü,LEI,(H): MUN,0.04,4%,,
Shelvey,NEW,(A): LIV,0.04,4%,,
James Hill,BOU,(H): WOL,0.04,4%,,
Konsa,AVL,(A): ARS,0.04,4%,,
Kongolo,FUL,(H): BHA,0.04,4%,,
Zinchenko,ARS,(H): AVL,0.04,4%,,
Maguire,MUN,(A): LEI,0.04,4%,,
N.Williams,NFO,(A): MCI,0.04,4%,,
Diallo,SOU,(H): CHE,0.04,4%,,
Kilman,WOL,(A): BOU,0.04,4%,,
Mina,EVE,(A): LEE,0.04,4%,,
Cooper,LEE,(H): EVE,0.04,4%,,
S.Longstaff,NEW,(A): LIV,0.04,4%,,
Romero,TOT,(A): WHU,0.04,4%,,
Diop,WHU,(H): TOT,0.04,4%,,
Lenglet,TOT,(A): WHU,0.04,4%,,
Hjelde,LEE,(H): EVE,0.04,3%,,
Evans,LEI,(H): MUN,0.04,3%,,
Tarkowski,EVE,(A): LEE,0.03,3%,,
O'Brien,NFO,(A): MCI,0.03,3%,,
Chambers,AVL,(A): ARS,0.03,3%,,
Ferguson,CRY,(H): BRE,0.03,3%,,
Boly,WOL,(A): BOU,0.03,3%,,
Tomiyasu,ARS,(H): AVL,0.03,3%,,
Mepham,BOU,(H): WOL,0.03,3%,,
Bech,BRE,(A): CRY,0.03,3%,,
Andersen,CRY,(H): BRE,0.03,3%,,
Godfrey,EVE,(A): LEE,0.03,3%,,
Cresswell,WHU,(H): TOT,0.03,3%,,
Roerslev,BRE,(A): CRY,0.03,3%,,
Johnson,WHU,(H): TOT,0.03,3%,,
Digne,AVL,(A): ARS,0.03,3%,,
Kamara,AVL,(A): ARS,0.03,3%,,
Zemura,BOU,(H): WOL,0.03,3%,,
Firpo,LEE,(H): EVE,0.03,3%,,
Fofana,LEI,(H): MUN,0.03,3%,,
Walker,MCI,(H): NFO,0.03,3%,,
Schär,NEW,(A): LIV,0.03,3%,,
Colback,NFO,(A): MCI,0.03,3%,,
Biancone,NFO,(A): MCI,0.03,3%,,
Walker-Peters,SOU,(H): CHE,0.03,3%,,
Bella-Kotchap,SOU,(H): CHE,0.03,3%,,
Dier,TOT,(A): WHU,0.03,3%,,
Cucurella,BHA,(A): FUL,0.03,3%,,
Lascelles,NEW,(A): LIV,0.03,3%,,
White,ARS,(H): AVL,0.03,3%,,
Mings,AVL,(A): ARS,0.03,3%,,
Struijk,LEE,(H): EVE,0.03,3%,,
Kristensen,LEE,(H): EVE,0.03,3%,,
Malacia,MUN,(A): LEI,0.03,3%,,
Hickey,BRE,(A): CRY,0.03,3%,,
Pinnock,BRE,(A): CRY,0.03,3%,,
Veltman,BHA,(A): FUL,0.03,3%,,
Tosin,FUL,(H): BHA,0.03,3%,,
Cafú,NFO,(A): MCI,0.03,3%,,
Amartey,LEI,(H): MUN,0.03,3%,,
Cash,AVL,(A): ARS,0.03,2%,,
Castagne,LEI,(H): MUN,0.03,2%,,
Thomas,LEI,(H): MUN,0.03,2%,,
Lyanco,SOU,(H): CHE,0.03,2%,,
Bryan,FUL,(H): BHA,0.02,2%,,
Telles,MUN,(A): LEI,0.02,2%,,
Burn,NEW,(A): LIV,0.02,2%,,
Perraud,SOU,(H): CHE,0.02,2%,,
Mbabu,FUL,(H): BHA,0.02,2%,,
Kelly,BOU,(H): WOL,0.02,2%,,
Reed,FUL,(H): BHA,0.02,2%,,
Laryea,NFO,(A): MCI,0.02,2%,,
Valery,SOU,(H): CHE,0.02,2%,,
Justin,LEI,(H): MUN,0.02,2%,,
Lindelöf,MUN,(A): LEI,0.02,2%,,
Botman,NEW,(A): LIV,0.02,2%,,
Fredericks,BOU,(H): WOL,0.02,2%,,
Stacey,BOU,(H): WOL,0.02,2%,,
Mitchell,CRY,(H): BRE,0.02,2%,,
Shaw,MUN,(A): LEI,0.02,2%,,
B.Williams,MUN,(A): LEI,0.02,2%,,
Trippier,NEW,(A): LIV,0.02,2%,,
Salisu,SOU,(H): CHE,0.02,2%,,
Toffolo,NFO,(A): MCI,0.02,2%,,
Cody Drameh,LEE,(H): EVE,0.02,2%,,
Ward,CRY,(H): BRE,0.02,2%,,
Clyne,CRY,(H): BRE,0.02,2%,,
Wan-Bissaka,MUN,(A): LEI,0.02,2%,,
Dalot,MUN,(A): LEI,0.02,2%,,
Ajer,BRE,(A): CRY,0.02,2%,,
Niakhaté,NFO,(A): MCI,0.02,2%,,
Ream,FUL,(H): BHA,0.02,2%,,
Robinson,FUL,(H): BHA,0.02,2%,,
Lewis,NEW,(A): LIV,0.02,2%,,
Manquillo,NEW,(A): LIV,0.02,2%,,
Coufal,WHU,(H): TOT,0.01,1%,,
Smith,BOU,(H): WOL,0.01,1%,,
McKenna,NFO,(A): MCI,0.01,1%,,
Targett,NEW,(A): LIV,0.01,1%,,
Krafth,NEW,(A): LIV,0.01,1%,,
Cook,NFO,(A): MCI,0.01,1%,,
Worrall,NFO,(A): MCI,0.01,1%,,
Alisson,LIV,(H): NEW,0.00,0%,,
Ramsdale,ARS,(H): AVL,0.00,0%,,
Martínez,AVL,(A): ARS,0.00,0%,,
Travers,BOU,(H): WOL,0.00,0%,,
Raya,BRE,(A): CRY,0.00,0%,,
Sánchez,BHA,(A): FUL,0.00,0%,,
Mendy,CHE,(A): SOU,0.00,0%,,
Guaita,CRY,(H): BRE,0.00,0%,,
Johnstone,CRY,(H): BRE,0.00,0%,,
Pickford,EVE,(A): LEE,0.00,0%,,
Rodák,FUL,(H): BHA,0.00,0%,,
Meslier,LEE,(H): EVE,0.00,0%,,
Schmeichel,LEI,(H): MUN,0.00,0%,,
Ward,LEI,(H): MUN,0.00,0%,,
Ederson,MCI,(H): NFO,0.00,0%,,
De Gea,MUN,(A): LEI,0.00,0%,,
Pope,NEW,(A): LIV,0.00,0%,,
Henderson,NFO,(A): MCI,0.00,0%,,
McCarthy,SOU,(H): CHE,0.00,0%,,
Bazunu,SOU,(H): CHE,0.00,0%,,
Lloris,TOT,(A): WHU,0.00,0%,,
Fabianski,WHU,(H): TOT,0.00,0%,,
Sá,WOL,(A): BOU,0.00,0%,,
Daniel Iversen,LEI,(H): MUN,0.00,0%,,
