Name,Team,Fixture,eGoals/90,Anytime%,,
Haaland,MCI,(H): NFO,1.03,64%,,
Salah,LIV,(H): NEW,0.68,49%,,
Darwin,LIV,(H): NEW,0.59,45%,,
Álvarez,MCI,(H): NFO,0.59,45%,,
Mahrez,MCI,(H): NFO,0.57,43%,,
De Bruyne,MCI,(H): NFO,0.54,42%,,
Diogo Jota,LIV,(H): NEW,0.52,41%,,
Kane,TOT,(A): WHU,0.51,40%,,
Bamford,LEE,(H): EVE,0.50,39%,,
Ronaldo,MUN,(A): LEI,0.50,39%,,
Mitrović,FUL,(H): BHA,0.49,39%,,
Vardy,LEI,(H): MUN,0.48,38%,,
Firmino,LIV,(H): NEW,0.46,37%,,
Havertz,CHE,(A): SOU,0.45,36%,,
Nketiah,ARS,(H): AVL,0.45,36%,,
Solanke,BOU,(H): WOL,0.43,35%,,
Jesus,ARS,(H): AVL,0.43,35%,,
Mateta,CRY,(H): BRE,0.42,34%,,
Benteke,CRY,(H): BRE,0.42,34%,,
Saka,ARS,(H): AVL,0.41,34%,,
Luis Díaz,LIV,(H): NEW,0.41,33%,,
Foden,MCI,(H): NFO,0.40,33%,,
Calvert-Lewin,EVE,(A): LEE,0.40,33%,,
Werner,CHE,(A): SOU,0.40,33%,,
Zaha,CRY,(H): BRE,0.38,32%,,
Grealish,MCI,(H): NFO,0.37,31%,,
Son,TOT,(A): WHU,0.35,30%,,
Toney,BRE,(A): CRY,0.35,30%,,
Maupay,BHA,(A): FUL,0.35,30%,,
Martinelli,ARS,(H): AVL,0.35,29%,,
Gelhardt,LEE,(H): EVE,0.35,29%,,
Gündogan,MCI,(H): NFO,0.34,29%,,
Muniz,FUL,(H): BHA,0.34,29%,,
Undav,BHA,(A): FUL,0.34,29%,,
Mount,CHE,(A): SOU,0.34,29%,,
Rondón,EVE,(A): LEE,0.33,28%,,
Carvalho,LIV,(H): NEW,0.33,28%,,
Smith Rowe,ARS,(H): AVL,0.33,28%,,
Welbeck,BHA,(A): FUL,0.32,28%,,
Sterling,CHE,(A): SOU,0.32,28%,,
Edouard,CRY,(H): BRE,0.31,27%,,
Iheanacho,LEI,(H): MUN,0.31,26%,,
Ings,AVL,(A): ARS,0.30,26%,,
Stanislas,BOU,(H): WOL,0.30,26%,,
Daka,LEI,(H): MUN,0.30,26%,,
Milner,LIV,(H): NEW,0.30,26%,,
Scamacca,WHU,(H): TOT,0.30,26%,,
Gibbs-White,WOL,(A): BOU,0.29,25%,,
Antonio,WHU,(H): TOT,0.29,25%,,
Richarlison,TOT,(A): WHU,0.29,25%,,
Ziyech,CHE,(A): SOU,0.28,25%,,
Elliott,LIV,(H): NEW,0.28,25%,,
Pulisic,CHE,(A): SOU,0.27,24%,,
Maddison,LEI,(H): MUN,0.27,24%,,
Harrison,LEE,(H): EVE,0.25,22%,,
Watkins,AVL,(A): ARS,0.25,22%,,
Bowen,WHU,(H): TOT,0.25,22%,,
Archer,AVL,(A): ARS,0.24,22%,,
Hwang,WOL,(A): BOU,0.24,22%,,
Barnes,LEI,(H): MUN,0.24,22%,,
Enciso,BHA,(A): FUL,0.24,22%,,
Rodrigo,LEE,(H): EVE,0.24,21%,,
Neves,WOL,(A): BOU,0.24,21%,,
Eze,CRY,(H): BRE,0.24,21%,,
Fernandes,MUN,(A): LEI,0.24,21%,,
Wilson,NEW,(A): LIV,0.24,21%,,
A.Armstrong,SOU,(H): CHE,0.24,21%,,
Martial,MUN,(A): LEI,0.23,21%,,
Lowe,BOU,(H): WOL,0.23,21%,,
Benrahma,WHU,(H): TOT,0.23,21%,,
Fábio Vieira,ARS,(H): AVL,0.23,20%,,
Ayew,CRY,(H): BRE,0.23,20%,,
Adams,SOU,(H): CHE,0.22,20%,,
Wissa,BRE,(A): CRY,0.22,20%,,
Bernardo,MCI,(H): NFO,0.22,20%,,
Wood,NEW,(A): LIV,0.21,19%,,
Olise,CRY,(H): BRE,0.21,19%,,
Ødegaard,ARS,(H): AVL,0.21,19%,,
Billing,BOU,(H): WOL,0.21,19%,,
Gray,EVE,(A): LEE,0.21,19%,,
Neto,WOL,(A): BOU,0.21,19%,,
Moore,BOU,(H): WOL,0.20,19%,,
Sinisterra,LEE,(H): EVE,0.20,19%,,
Jorginho,CHE,(A): SOU,0.20,18%,,
Aaronson,LEE,(H): EVE,0.20,18%,,
Bryan Gil,TOT,(A): WHU,0.20,18%,,
Elanga,MUN,(A): LEI,0.20,18%,,
Trossard,BHA,(A): FUL,0.20,18%,,
Gordon,EVE,(A): LEE,0.20,18%,,
Rodri,MCI,(H): NFO,0.19,17%,,
Cavaleiro,FUL,(H): BHA,0.19,17%,,
Podence,WOL,(A): BOU,0.19,17%,,
Kebano,FUL,(H): BHA,0.18,17%,,
Dembélé,BOU,(H): WOL,0.18,17%,,
James,LEE,(H): EVE,0.18,17%,,
Lanzini,WHU,(H): TOT,0.18,16%,,
Traoré,AVL,(A): ARS,0.18,16%,,
Mac Allister,BHA,(A): FUL,0.18,16%,,
Sancho,MUN,(A): LEI,0.18,16%,,
Walcott,SOU,(H): CHE,0.18,16%,,
Mbeumo,BRE,(A): CRY,0.18,16%,,
Wilson,FUL,(H): BHA,0.18,16%,,
Andreas,FUL,(H): BHA,0.18,16%,,
Coutinho,AVL,(A): ARS,0.17,16%,,
Pérez,LEI,(H): MUN,0.17,16%,,
Lewis-Potter,BRE,(A): CRY,0.17,16%,,
Dele,EVE,(A): LEE,0.17,16%,,
Hudson-Odoi,CHE,(A): SOU,0.17,16%,,
Vlasic,WHU,(H): TOT,0.17,15%,,
Keita,LIV,(H): NEW,0.17,15%,,
Rashford,MUN,(A): LEI,0.16,15%,,
Fornals,WHU,(H): TOT,0.16,15%,,
Ward-Prowse,SOU,(H): CHE,0.16,15%,,
Alonso,CHE,(A): SOU,0.16,14%,,
De Cordova-Reid,FUL,(H): BHA,0.16,14%,,
Anthony,BOU,(H): WOL,0.15,14%,,
Canós,BRE,(A): CRY,0.15,14%,,
Marcondes,BOU,(H): WOL,0.15,14%,,
Gallagher,CHE,(A): SOU,0.15,14%,,
Kulusevski,TOT,(A): WHU,0.15,14%,,
Albrighton,LEI,(H): MUN,0.15,14%,,
Buendía,AVL,(A): ARS,0.15,14%,,
Groß,BHA,(A): FUL,0.15,14%,,
Awoniyi,NFO,(A): MCI,0.15,14%,,
Fabinho,LIV,(H): NEW,0.14,13%,,
Redmond,SOU,(H): CHE,0.14,13%,,
Taylor,NFO,(A): MCI,0.14,13%,,
Bailey,AVL,(A): ARS,0.14,13%,,
Elyounoussi,SOU,(H): CHE,0.14,13%,,
Lucas Moura,TOT,(A): WHU,0.14,13%,,
Jones,LIV,(H): NEW,0.14,13%,,
Adama,WOL,(A): BOU,0.13,13%,,
Johnson,NFO,(A): MCI,0.13,12%,,
Christie,BOU,(H): WOL,0.13,12%,,
Aké,MCI,(H): NFO,0.13,12%,,
Surridge,NFO,(A): MCI,0.13,12%,,
S.Armstrong,SOU,(H): CHE,0.13,12%,,
McNeil,EVE,(A): LEE,0.12,12%,,
Milivojevic,CRY,(H): BRE,0.12,12%,,
Laporte,MCI,(H): NFO,0.12,12%,,
Matip,LIV,(H): NEW,0.12,11%,,
Schlupp,CRY,(H): BRE,0.12,11%,,
Alexander-Arnold,LIV,(H): NEW,0.12,11%,,
Eriksen,MUN,(A): LEI,0.12,11%,,
James,CHE,(A): SOU,0.11,11%,,
Dendoncker,WOL,(A): BOU,0.11,11%,,
Thiago,LIV,(H): NEW,0.11,10%,,
Phillips,MCI,(H): NFO,0.11,10%,,
Klich,LEE,(H): EVE,0.11,10%,,
Mwepu,BHA,(A): FUL,0.11,10%,,
Tielemans,LEI,(H): MUN,0.11,10%,,
Fraser,NEW,(A): LIV,0.10,10%,,
Ghoddos,BRE,(A): CRY,0.10,10%,,
Aribo,SOU,(H): CHE,0.10,10%,,
Saint-Maximin,NEW,(A): LIV,0.10,10%,,
