Name,Team,Fixture,eAssists/90,Anytime%
Kane,TOT,(H): WOL,0.78,54%
Haaland,MCI,(A): NEW,0.64,47%
Vardy,LEI,(H): SOU,0.58,44%
Salah,LIV,(A): MUN,0.52,41%
Mitrović,FUL,(H): BRE,0.52,40%
Son,TOT,(H): WOL,0.50,39%
Jesus,ARS,(A): BOU,0.44,36%
Richarlison,TOT,(H): WOL,0.43,35%
Gordon,EVE,(H): NFO,0.43,35%
Rondón,EVE,(H): NFO,0.42,34%
Toney,BRE,(A): FUL,0.41,34%
Firmino,LIV,(A): MUN,0.40,33%
Broja,CHE,(A): LEE,0.40,33%
Gray,EVE,(H): NFO,0.40,33%
Zaha,CRY,(H): AVL,0.39,32%
Nketiah,ARS,(A): BOU,0.39,32%
Maddison,LEI,(H): SOU,0.39,32%
Ings,AVL,(A): CRY,0.39,32%
Ronaldo,MUN,(H): LIV,0.39,32%
Dele,EVE,(H): NFO,0.38,32%
Iheanacho,LEI,(H): SOU,0.38,32%
Luis Díaz,LIV,(A): MUN,0.38,31%
Mateta,CRY,(H): AVL,0.37,31%
Solanke,BOU,(H): ARS,0.37,31%
Scamacca,WHU,(H): BHA,0.37,31%
Carvalho,LIV,(A): MUN,0.36,30%
Álvarez,MCI,(A): NEW,0.36,30%
Saka,ARS,(A): BOU,0.36,30%
Daka,LEI,(H): SOU,0.36,30%
De Bruyne,MCI,(A): NEW,0.36,30%
Martinelli,ARS,(A): BOU,0.35,29%
Sterling,CHE,(A): LEE,0.34,29%
Bamford,LEE,(H): CHE,0.34,29%
Smith Rowe,ARS,(A): BOU,0.34,29%
Havertz,CHE,(A): LEE,0.32,28%
Edouard,CRY,(H): AVL,0.32,28%
Moore,BOU,(H): ARS,0.32,27%
Antonio,WHU,(H): BHA,0.32,27%
Bowen,WHU,(H): BHA,0.31,27%
Mahrez,MCI,(A): NEW,0.31,26%
Wilson,NEW,(H): MCI,0.30,26%
Awoniyi,NFO,(A): EVE,0.30,26%
Stanislas,BOU,(H): ARS,0.29,26%
Lucas Moura,TOT,(H): WOL,0.29,25%
Welbeck,BHA,(A): WHU,0.29,25%
Undav,BHA,(A): WHU,0.28,25%
Maupay,BHA,(A): WHU,0.28,24%
Foden,MCI,(A): NEW,0.28,24%
Rodrigo,LEE,(H): CHE,0.27,24%
Mount,CHE,(A): LEE,0.27,23%
Lowe,BOU,(H): ARS,0.26,23%
Wood,NEW,(H): MCI,0.26,23%
Watkins,AVL,(A): CRY,0.26,23%
Kulusevski,TOT,(H): WOL,0.26,23%
Johnson,NFO,(A): EVE,0.26,23%
Groß,BHA,(A): WHU,0.26,23%
Surridge,NFO,(A): EVE,0.26,23%
Wissa,BRE,(A): FUL,0.25,22%
Pulisic,CHE,(A): LEE,0.24,22%
Ziyech,CHE,(A): LEE,0.24,21%
Gelhardt,LEE,(H): CHE,0.24,21%
Milner,LIV,(A): MUN,0.24,21%
Benrahma,WHU,(H): BHA,0.24,21%
A.Armstrong,SOU,(A): LEI,0.24,21%
Mbeumo,BRE,(A): FUL,0.24,21%
Dembélé,BOU,(H): ARS,0.23,20%
Gündogan,MCI,(A): NEW,0.22,20%
Adams,SOU,(A): LEI,0.22,20%
Cornet,WHU,(H): BHA,0.22,20%
Ebiowei,CRY,(H): AVL,0.22,20%
Dennis,NFO,(A): EVE,0.22,20%
Grealish,MCI,(A): NEW,0.22,19%
Kebano,FUL,(H): BRE,0.21,19%
Mara,SOU,(A): LEI,0.21,19%
Lanzini,WHU,(H): BHA,0.21,19%
Praet,LEI,(H): SOU,0.21,19%
Ayew,CRY,(H): AVL,0.21,19%
Bailey,AVL,(A): CRY,0.20,18%
Olise,CRY,(H): AVL,0.20,18%
Muniz,FUL,(H): BRE,0.19,18%
Guedes,WOL,(A): TOT,0.19,17%
Coutinho,AVL,(A): CRY,0.19,17%
Buendía,AVL,(A): CRY,0.19,17%
Fornals,WHU,(H): BHA,0.18,17%
De Cordova-Reid,FUL,(H): BRE,0.18,16%
Jorginho,CHE,(A): LEE,0.18,16%
Andreas,FUL,(H): BRE,0.18,16%
Ward-Prowse,SOU,(A): LEI,0.18,16%
Eze,CRY,(H): AVL,0.17,16%
McNeil,EVE,(H): NFO,0.17,16%
James,LEE,(H): CHE,0.17,15%
Aribo,SOU,(A): LEI,0.17,15%
James,CHE,(A): LEE,0.16,15%
Keita,LIV,(A): MUN,0.16,15%
Elliott,LIV,(A): MUN,0.16,14%
Elyounoussi,SOU,(A): LEI,0.15,14%
Neves,WOL,(A): TOT,0.15,14%
Harrison,LEE,(H): CHE,0.15,14%
Ødegaard,ARS,(A): BOU,0.15,14%
Billing,BOU,(H): ARS,0.15,14%
Sinisterra,LEE,(H): CHE,0.15,14%
Lingard,NFO,(A): EVE,0.15,14%
Hudson-Odoi,CHE,(A): LEE,0.15,14%
Hwang,WOL,(A): TOT,0.15,14%
Trossard,BHA,(A): WHU,0.15,14%
Anthony,BOU,(H): ARS,0.14,13%
Dewsbury-Hall,LEI,(H): SOU,0.14,13%
Gibbs-White,WOL,(A): TOT,0.14,13%
Sancho,MUN,(H): LIV,0.14,13%
Doherty,TOT,(H): WOL,0.14,13%
Bernardo,MCI,(A): NEW,0.14,13%
Gallagher,CHE,(A): LEE,0.13,13%
Elanga,MUN,(H): LIV,0.13,13%
Dasilva,BRE,(A): FUL,0.13,12%
Francois,FUL,(H): BRE,0.13,12%
Fernandes,MUN,(H): LIV,0.13,12%
Mwepu,BHA,(A): WHU,0.13,12%
Tielemans,LEI,(H): SOU,0.13,12%
Redmond,SOU,(A): LEI,0.13,12%
Cairney,FUL,(H): BRE,0.13,12%
S.Armstrong,SOU,(A): LEI,0.13,12%
Onana,EVE,(H): NFO,0.13,12%
Milivojevic,CRY,(H): AVL,0.13,12%
Bissouma,TOT,(H): WOL,0.13,12%
Rashford,MUN,(H): LIV,0.12,12%
Fraser,NEW,(H): MCI,0.12,12%
Soucek,WHU,(H): BHA,0.12,12%
Aaronson,LEE,(H): CHE,0.12,11%
Albrighton,LEI,(H): SOU,0.12,11%
Saint-Maximin,NEW,(H): MCI,0.12,11%
Davies,EVE,(H): NFO,0.12,11%
Klich,LEE,(H): CHE,0.12,11%
Christie,BOU,(H): ARS,0.12,11%
Jensen,BRE,(A): FUL,0.11,11%
Podence,WOL,(A): TOT,0.11,11%
Keane,EVE,(H): NFO,0.11,11%
Neto,WOL,(A): TOT,0.11,11%
Rodri,MCI,(A): NEW,0.11,10%
Almirón,NEW,(H): MCI,0.11,10%
Mee,BRE,(A): FUL,0.11,10%
Xhaka,ARS,(A): BOU,0.11,10%
R.Sessegnon,TOT,(H): WOL,0.11,10%
Perišić,TOT,(H): WOL,0.11,10%
Chilwell,CHE,(A): LEE,0.10,10%
Janelt,BRE,(A): FUL,0.10,10%
Iwobi,EVE,(H): NFO,0.10,10%
Murphy,NEW,(H): MCI,0.10,10%
Bruno Guimarães,NEW,(H): MCI,0.10,10%
Tavernier,BOU,(H): ARS,0.10,10%
Højbjerg,TOT,(H): WOL,0.10,10%
Lallana,BHA,(A): WHU,0.10,9%
Holgate,EVE,(H): NFO,0.10,9%
Fabinho,LIV,(A): MUN,0.10,9%
Mykolenko,EVE,(H): NFO,0.10,9%
A.Doucouré,EVE,(H): NFO,0.10,9%
Koulibaly,CHE,(A): LEE,0.10,9%
Schlupp,CRY,(H): AVL,0.09,9%
Emerson Royal,TOT,(H): WOL,0.09,9%
Mac Allister,BHA,(A): WHU,0.09,9%
Anderson,NEW,(H): MCI,0.09,9%
Sánchez,TOT,(H): WOL,0.09,8%
Alexander-Arnold,LIV,(A): MUN,0.09,8%
Aké,MCI,(A): NEW,0.08,8%
Walker-Peters,SOU,(A): LEI,0.08,8%
Eriksen,MUN,(H): LIV,0.08,8%
Gilmour,CHE,(A): LEE,0.08,8%
Rice,WHU,(H): BHA,0.08,8%
Ramsey,AVL,(A): CRY,0.08,8%
Coady,EVE,(H): NFO,0.08,8%
Castagne,LEI,(H): SOU,0.08,8%
Gabriel,ARS,(A): BOU,0.08,7%
Partey,ARS,(A): BOU,0.07,7%
Lerma,BOU,(H): ARS,0.07,7%
Allan,EVE,(H): NFO,0.07,7%
N.Williams,NFO,(A): EVE,0.07,7%
Dier,TOT,(H): WOL,0.07,7%
Dawson,WHU,(H): BHA,0.07,7%
Onyeka,BRE,(A): FUL,0.07,7%
Nørgaard,BRE,(A): FUL,0.07,7%
Mendy,LEI,(H): SOU,0.07,7%
Patterson,EVE,(H): NFO,0.07,7%
Chalobah,CHE,(A): LEE,0.07,7%
Dendoncker,WOL,(A): TOT,0.07,7%
Douglas Luiz,AVL,(A): CRY,0.07,7%
Coleman,EVE,(H): NFO,0.07,6%
Willock,NEW,(H): MCI,0.07,6%
Ndidi,LEI,(H): SOU,0.07,6%
Henderson,LIV,(A): MUN,0.07,6%
Fred,MUN,(H): LIV,0.07,6%
Vinagre,EVE,(H): NFO,0.07,6%
Romeu,SOU,(A): LEI,0.06,6%
Webster,BHA,(A): WHU,0.06,6%
Azpilicueta,CHE,(A): LEE,0.06,6%
Freuler,NFO,(A): EVE,0.06,6%
Dunk,BHA,(A): WHU,0.06,6%
Bednarek,SOU,(A): LEI,0.06,6%
Biancone,NFO,(A): EVE,0.06,6%
Söyüncü,LEI,(H): SOU,0.06,6%
Schär,NEW,(H): MCI,0.06,6%
Davies,TOT,(H): WOL,0.06,6%
Henry,BRE,(A): FUL,0.06,6%
Loftus-Cheek,CHE,(A): LEE,0.06,6%
Roca,LEE,(H): CHE,0.06,6%
Stones,MCI,(A): NEW,0.06,6%
Dias,MCI,(A): NEW,0.06,6%
Saliba,ARS,(A): BOU,0.06,5%
Hughes,CRY,(H): AVL,0.06,5%
Thomas,LEI,(H): SOU,0.06,5%
Bentancur,TOT,(H): WOL,0.06,5%
Romero,TOT,(H): WOL,0.06,5%
Lenglet,TOT,(H): WOL,0.06,5%
C.Doucouré,CRY,(H): AVL,0.06,5%
O'Brien,NFO,(A): EVE,0.06,5%
Forshaw,LEE,(H): CHE,0.06,5%
Llorente,LEE,(H): CHE,0.06,5%
Tarkowski,EVE,(H): NFO,0.05,5%
Palhinha,FUL,(H): BRE,0.05,5%
Van Dijk,LIV,(A): MUN,0.05,5%
Hickey,BRE,(A): FUL,0.05,5%
Duffy,FUL,(H): BRE,0.05,5%
Robertson,LIV,(A): MUN,0.05,5%
Gomez,LIV,(A): MUN,0.05,5%
Van de Beek,MUN,(H): LIV,0.05,5%
Joelinton,NEW,(H): MCI,0.05,5%
Colback,NFO,(A): EVE,0.05,5%
Caicedo,BHA,(A): WHU,0.05,5%
Thiago Silva,CHE,(A): LEE,0.05,5%
Chalobah,FUL,(H): BRE,0.05,5%
Konaté,LIV,(A): MUN,0.05,5%
Ogbonna,WHU,(H): BHA,0.05,5%
Moutinho,WOL,(A): TOT,0.05,5%
Ronan,WOL,(A): TOT,0.05,5%
Cundle,WOL,(A): TOT,0.05,5%
Pearson,BOU,(H): ARS,0.05,4%
Jansson,BRE,(A): FUL,0.05,4%
Lamptey,BHA,(A): WHU,0.05,4%
Lavia,SOU,(A): LEI,0.05,4%
Collins,WOL,(A): TOT,0.05,4%
Konsa,AVL,(A): CRY,0.04,4%
Tete,FUL,(H): BRE,0.04,4%
S.Longstaff,NEW,(H): MCI,0.04,4%
Zouma,WHU,(H): BHA,0.04,4%
Toffolo,NFO,(A): EVE,0.04,4%
Mangala,NFO,(A): EVE,0.04,4%
McGinn,AVL,(A): CRY,0.04,4%
Cook,BOU,(H): ARS,0.04,4%
Bech,BRE,(A): FUL,0.04,4%
Guéhi,CRY,(H): AVL,0.04,4%
McTominay,MUN,(H): LIV,0.04,4%
Djenepo,SOU,(A): LEI,0.04,4%
Evans,LEI,(H): SOU,0.04,4%
Fofana,LEI,(H): SOU,0.04,4%
Jonny,WOL,(A): TOT,0.04,4%
Phillips,LIV,(A): MUN,0.04,4%
Niakhaté,NFO,(A): EVE,0.04,4%
Tierney,ARS,(A): BOU,0.04,4%
Zemura,BOU,(H): ARS,0.04,4%
Justin,LEI,(H): SOU,0.04,4%
Cucurella,CHE,(A): LEE,0.04,4%
Cancelo,MCI,(A): NEW,0.04,4%
Varane,MUN,(H): LIV,0.04,4%
Lascelles,NEW,(H): MCI,0.04,4%
Chambers,AVL,(A): CRY,0.04,4%
Andersen,CRY,(H): AVL,0.04,4%
Senesi,BOU,(H): ARS,0.04,4%
Digne,AVL,(A): CRY,0.04,3%
Roerslev,BRE,(A): FUL,0.04,3%
Amartey,LEI,(H): SOU,0.04,3%
Johnson,WHU,(H): BHA,0.04,3%
Hill,BOU,(H): ARS,0.04,3%
Kouyaté,NFO,(A): EVE,0.04,3%
Kamara,AVL,(A): CRY,0.03,3%
Cresswell,WHU,(H): BHA,0.03,3%
March,BHA,(A): WHU,0.03,3%
Bella-Kotchap,SOU,(A): LEI,0.03,3%
Tomiyasu,ARS,(A): BOU,0.03,3%
Trippier,NEW,(H): MCI,0.03,3%
Perraud,SOU,(A): LEI,0.03,3%
Martínez,MUN,(H): LIV,0.03,3%
Tosin,FUL,(H): BRE,0.03,3%
Hjelde,LEE,(H): CHE,0.03,3%
Maguire,MUN,(H): LIV,0.03,3%
Burn,NEW,(H): MCI,0.03,3%
Botman,NEW,(H): MCI,0.03,3%
Stephens,SOU,(A): LEI,0.03,3%
Mings,AVL,(A): CRY,0.03,3%
Stacey,BOU,(H): ARS,0.03,3%
Adams,LEE,(H): CHE,0.03,3%
Bryan,FUL,(H): BRE,0.03,3%
Koch,LEE,(H): CHE,0.03,3%
Smith,BOU,(H): ARS,0.03,3%
Valery,SOU,(A): LEI,0.03,3%
Cash,AVL,(A): CRY,0.03,2%
Mepham,BOU,(H): ARS,0.03,2%
Reed,FUL,(H): BRE,0.03,2%
Cooper,LEE,(H): CHE,0.03,2%
Aït-Nouri,WOL,(A): TOT,0.03,2%
Zinchenko,ARS,(A): BOU,0.02,2%
Kilman,WOL,(A): TOT,0.02,2%
McKenna,NFO,(A): EVE,0.02,2%
Mbabu,FUL,(H): BRE,0.02,2%
Dummett,NEW,(H): MCI,0.02,2%
