Name,Team,Fixture,eAssists/90,Anytime%
Haaland,MCI,(A): WOL,0.77,54%
Kane,TOT,(H): LEI,0.73,52%
Ronaldo,MUN,(H): LEE,0.59,44%
Wilson,NEW,(H): BOU,0.58,44%
Isak,NEW,(H): BOU,0.53,41%
Ings,AVL,(H): SOU,0.52,41%
Wood,NEW,(H): BOU,0.51,40%
Mitrović,FUL,(A): NFO,0.50,40%
Álvarez,MCI,(A): WOL,0.44,36%
Archer,AVL,(H): SOU,0.42,35%
Son,TOT,(H): LEI,0.42,35%
Calvert-Lewin,EVE,(H): WHU,0.42,34%
Nketiah,ARS,(A): BRE,0.42,34%
Watkins,AVL,(H): SOU,0.40,33%
Richarlison,TOT,(H): LEI,0.39,32%
Jesus,ARS,(A): BRE,0.38,32%
Martial,MUN,(H): LEE,0.38,32%
Salah,LIV,(A): CHE,0.38,32%
Darwin,LIV,(A): CHE,0.38,31%
Awoniyi,NFO,(H): FUL,0.38,31%
Toney,BRE,(H): ARS,0.37,31%
Maupay,EVE,(H): WHU,0.36,30%
Groß,BHA,(H): CRY,0.35,30%
Zaha,CRY,(A): BHA,0.35,30%
Mahrez,MCI,(A): WOL,0.35,30%
Saka,ARS,(A): BRE,0.35,30%
Undav,BHA,(H): CRY,0.35,30%
Firmino,LIV,(A): CHE,0.34,29%
Welbeck,BHA,(H): CRY,0.34,29%
Johnson,NFO,(H): FUL,0.34,28%
Bamford,LEE,(A): MUN,0.33,28%
Pierre-Emerick Aubameyang,CHE,(H): LIV,0.33,28%
Rondón,EVE,(H): WHU,0.33,28%
Martinelli,ARS,(A): BRE,0.33,28%
Scamacca,WHU,(A): EVE,0.32,28%
Vardy,LEI,(A): TOT,0.32,27%
Solanke,BOU,(A): NEW,0.31,27%
Diogo Jota,LIV,(A): CHE,0.31,27%
De Bruyne,MCI,(A): WOL,0.31,27%
Gordon,EVE,(H): WHU,0.31,27%
Antonio,WHU,(A): EVE,0.31,27%
Lucas Moura,TOT,(H): LEI,0.31,26%
Mateta,CRY,(A): BHA,0.30,26%
Luis Díaz,LIV,(A): CHE,0.29,25%
Gray,EVE,(H): WHU,0.29,25%
Gündogan,MCI,(A): WOL,0.28,25%
Rashford,MUN,(H): LEE,0.28,25%
Coutinho,AVL,(H): SOU,0.28,24%
Bailey,AVL,(H): SOU,0.28,24%
Almirón,NEW,(H): BOU,0.28,24%
Fernandes,MUN,(H): LEE,0.27,23%
Bowen,WHU,(A): EVE,0.26,23%
Adams,SOU,(A): AVL,0.26,23%
Trossard,BHA,(H): CRY,0.26,23%
Smith Rowe,ARS,(A): BRE,0.26,23%
Sancho,MUN,(H): LEE,0.25,22%
Jiménez,WOL,(H): MCI,0.25,22%
Mara,SOU,(A): AVL,0.25,22%
Moore,BOU,(A): NEW,0.25,22%
Antony,MUN,(H): LEE,0.25,22%
Buendía,AVL,(H): SOU,0.25,22%
Grealish,MCI,(A): WOL,0.25,22%
Foden,MCI,(A): WOL,0.24,22%
Saint-Maximin,NEW,(H): BOU,0.24,22%
Dennis,NFO,(H): FUL,0.24,22%
Edouard,CRY,(A): BHA,0.24,22%
Rodrigo,LEE,(A): MUN,0.24,22%
Fraser,NEW,(H): BOU,0.24,21%
A.Armstrong,SOU,(A): AVL,0.23,21%
Sterling,CHE,(H): LIV,0.23,21%
Stanislas,BOU,(A): NEW,0.23,20%
Elanga,MUN,(H): LEE,0.23,20%
Gelhardt,LEE,(A): MUN,0.23,20%
Benrahma,WHU,(A): EVE,0.22,20%
Lanzini,WHU,(A): EVE,0.21,19%
Havertz,CHE,(H): LIV,0.21,19%
Kulusevski,TOT,(H): LEI,0.21,19%
Bernardo,MCI,(A): WOL,0.21,19%
Pulisic,CHE,(H): LIV,0.20,18%
Stansfield,FUL,(A): NFO,0.20,18%
Damsgaard,BRE,(H): ARS,0.20,18%
Fornals,WHU,(A): EVE,0.20,18%
Cornet,WHU,(A): EVE,0.20,18%
Carvalho,LIV,(A): CHE,0.20,18%
Iheanacho,LEI,(A): TOT,0.19,17%
Gibbs-White,NFO,(H): FUL,0.19,17%
Mbeumo,BRE,(H): ARS,0.19,17%
Daka,LEI,(A): TOT,0.19,17%
Fábio Vieira,ARS,(A): BRE,0.19,17%
Wissa,BRE,(H): ARS,0.19,17%
Mount,CHE,(H): LIV,0.19,17%
Ebiowei,CRY,(A): BHA,0.19,17%
Milner,LIV,(A): CHE,0.19,17%
Maddison,LEI,(A): TOT,0.19,17%
Lingard,NFO,(H): FUL,0.19,17%
Lewis-Potter,BRE,(H): ARS,0.18,17%
Ødegaard,ARS,(A): BRE,0.18,16%
Mac Allister,BHA,(H): CRY,0.18,16%
Mitoma,BHA,(H): CRY,0.18,16%
Harrison,LEE,(A): MUN,0.17,16%
Barnes,LEI,(A): TOT,0.17,16%
Ward-Prowse,SOU,(A): AVL,0.17,16%
Kebano,FUL,(A): NFO,0.17,16%
De Cordova-Reid,FUL,(A): NFO,0.17,16%
Bruno Guimarães,NEW,(H): BOU,0.17,15%
Redmond,SOU,(A): AVL,0.16,15%
Walcott,SOU,(A): AVL,0.15,14%
Guedes,WOL,(H): MCI,0.15,14%
Olise,CRY,(A): BHA,0.15,14%
Ayew,CRY,(A): BHA,0.15,14%
S.Armstrong,SOU,(A): AVL,0.15,14%
Elyounoussi,SOU,(A): AVL,0.15,14%
Aaronson,LEE,(A): MUN,0.15,14%
McNeil,EVE,(H): WHU,0.15,14%
Andreas,FUL,(A): NFO,0.15,14%
Eriksen,MUN,(H): LEE,0.15,14%
Aribo,SOU,(A): AVL,0.14,13%
Mwepu,BHA,(H): CRY,0.14,13%
Van de Beek,MUN,(H): LEE,0.14,13%
Sinisterra,LEE,(A): MUN,0.14,13%
Hwang,WOL,(H): MCI,0.14,13%
Eze,CRY,(A): BHA,0.13,12%
Elliott,LIV,(A): CHE,0.13,12%
Anthony,BOU,(A): NEW,0.13,12%
Jorginho,CHE,(H): LIV,0.12,12%
Doherty,TOT,(H): LEI,0.12,12%
James,LEE,(A): MUN,0.12,11%
Podence,WOL,(H): MCI,0.12,11%
Willock,NEW,(H): BOU,0.12,11%
Neves,WOL,(H): MCI,0.12,11%
Francois,FUL,(A): NFO,0.12,11%
Pérez,LEI,(A): TOT,0.12,11%
Bissouma,TOT,(H): LEI,0.12,11%
Toffolo,NFO,(H): FUL,0.11,11%
Joelinton,NEW,(H): BOU,0.11,11%
Fred,MUN,(H): LEE,0.11,11%
Yates,NFO,(H): FUL,0.11,11%
Neto,WOL,(H): MCI,0.11,11%
Billing,BOU,(A): NEW,0.11,10%
R.Sessegnon,TOT,(H): LEI,0.11,10%
Christie,BOU,(A): NEW,0.11,10%
Schär,NEW,(H): BOU,0.11,10%
Soucek,WHU,(A): EVE,0.11,10%
Ramsey,AVL,(H): SOU,0.10,10%
Praet,LEI,(A): TOT,0.10,10%
Gabriel,ARS,(A): BRE,0.10,10%
Cairney,FUL,(A): NFO,0.10,10%
Gallagher,CHE,(H): LIV,0.10,10%
Højbjerg,TOT,(H): LEI,0.10,10%
Keita,LIV,(A): CHE,0.10,9%
N.Williams,NFO,(H): FUL,0.10,9%
Rodri,MCI,(A): WOL,0.10,9%
Perišić,TOT,(H): LEI,0.10,9%
Xhaka,ARS,(A): BRE,0.10,9%
James,CHE,(H): LIV,0.10,9%
Milivojevic,CRY,(A): BHA,0.10,9%
Adama,WOL,(H): MCI,0.10,9%
Douglas Luiz,AVL,(H): SOU,0.09,9%
March,BHA,(H): CRY,0.09,9%
Jones,LIV,(A): CHE,0.09,9%
Janelt,BRE,(H): ARS,0.09,9%
Nørgaard,BRE,(H): ARS,0.09,8%
Jensen,BRE,(H): ARS,0.09,8%
Palhinha,FUL,(A): NFO,0.09,8%
Alexander-Arnold,LIV,(A): CHE,0.09,8%
Tavernier,BOU,(A): NEW,0.09,8%
Dasilva,BRE,(H): ARS,0.09,8%
Rice,WHU,(A): EVE,0.09,8%
Davies,EVE,(H): WHU,0.08,8%
Mee,BRE,(H): ARS,0.08,8%
Onana,EVE,(H): WHU,0.08,8%
Emerson Royal,TOT,(H): LEI,0.08,8%
Aké,MCI,(A): WOL,0.08,8%
Lamptey,BHA,(H): CRY,0.08,8%
S.Longstaff,NEW,(H): BOU,0.08,8%
Skipp,TOT,(H): LEI,0.08,8%
Phillips,MCI,(A): WOL,0.08,8%
McTominay,MUN,(H): LEE,0.08,8%
Thiago,LIV,(A): CHE,0.08,7%
Keane,EVE,(H): WHU,0.08,7%
Casemiro,MUN,(H): LEE,0.08,7%
Sambi,ARS,(A): BRE,0.07,7%
A.Doucouré,EVE,(H): WHU,0.07,7%
Klich,LEE,(A): MUN,0.07,7%
Baptiste,BRE,(H): ARS,0.07,7%
Webster,BHA,(H): CRY,0.07,7%
Biancone,NFO,(H): FUL,0.07,7%
Sánchez,TOT,(H): LEI,0.07,7%
Nakamba,AVL,(H): SOU,0.07,7%
Dunk,BHA,(H): CRY,0.07,7%
Fabinho,LIV,(A): CHE,0.07,7%
Mykolenko,EVE,(H): WHU,0.07,7%
Matip,LIV,(A): CHE,0.07,7%
Partey,ARS,(A): BRE,0.07,7%
Lerma,BOU,(A): NEW,0.07,6%
Iwobi,EVE,(H): WHU,0.07,6%
Dendoncker,WOL,(H): MCI,0.07,6%
Young,AVL,(H): SOU,0.07,6%
Chilwell,CHE,(H): LIV,0.07,6%
Colback,NFO,(H): FUL,0.07,6%
McGinn,AVL,(H): SOU,0.07,6%
Schlupp,CRY,(A): BHA,0.06,6%
Trippier,NEW,(H): BOU,0.06,6%
Djenepo,SOU,(A): AVL,0.06,6%
Albrighton,LEI,(A): TOT,0.06,6%
Van Dijk,LIV,(A): CHE,0.06,6%
Varane,MUN,(H): LEE,0.06,6%
Bednarek,SOU,(A): AVL,0.06,6%
Tielemans,LEI,(A): TOT,0.06,6%
Mbete,MCI,(A): WOL,0.06,6%
Dier,TOT,(H): LEI,0.06,6%
Dawson,WHU,(A): EVE,0.06,6%
Konsa,AVL,(H): SOU,0.06,6%
Onyeka,BRE,(H): ARS,0.06,6%
Mangala,NFO,(H): FUL,0.06,6%
Dewsbury-Hall,LEI,(A): TOT,0.06,6%
Koulibaly,CHE,(H): LIV,0.06,6%
Chambers,AVL,(H): SOU,0.06,6%
Vinagre,EVE,(H): WHU,0.06,6%
Caicedo,BHA,(H): CRY,0.06,6%
Allan,EVE,(H): WHU,0.06,6%
Romeu,SOU,(A): AVL,0.06,5%
Rothwell,BOU,(A): NEW,0.06,5%
Freuler,NFO,(H): FUL,0.06,5%
O'Brien,NFO,(H): FUL,0.06,5%
Burn,NEW,(H): BOU,0.05,5%
Lenglet,TOT,(H): LEI,0.05,5%
Martínez,MUN,(H): LEE,0.05,5%
Van Hecke,BHA,(H): CRY,0.05,5%
Loftus-Cheek,CHE,(H): LIV,0.05,5%
Hughes,CRY,(A): BHA,0.05,5%
Maguire,MUN,(H): LEE,0.05,5%
Coady,EVE,(H): WHU,0.05,5%
Elneny,ARS,(A): BRE,0.05,5%
Saliba,ARS,(A): BRE,0.05,5%
McArthur,CRY,(A): BHA,0.05,5%
Andersen,CRY,(A): BHA,0.05,5%
Patterson,EVE,(H): WHU,0.05,5%
Henderson,LIV,(A): CHE,0.05,5%
Lavia,SOU,(A): AVL,0.05,5%
Colwill,BHA,(H): CRY,0.05,5%
Coleman,EVE,(H): WHU,0.05,5%
Botman,NEW,(H): BOU,0.05,5%
Romero,TOT,(H): LEI,0.05,5%
Moutinho,WOL,(H): MCI,0.05,5%
Digne,AVL,(H): SOU,0.05,5%
Kovacic,CHE,(H): LIV,0.05,5%
Tomkins,CRY,(A): BHA,0.05,5%
Llorente,LEE,(A): MUN,0.05,5%
Stones,MCI,(A): WOL,0.05,5%
Dias,MCI,(A): WOL,0.05,5%
Walker-Peters,SOU,(A): AVL,0.05,5%
Bentancur,TOT,(H): LEI,0.05,5%
Davies,TOT,(H): LEI,0.05,5%
Matheus,WOL,(H): MCI,0.05,5%
Chalobah,FUL,(A): NFO,0.05,4%
Kamara,AVL,(H): SOU,0.04,4%
Pearson,BOU,(A): NEW,0.04,4%
Chalobah,CHE,(H): LIV,0.04,4%
Manquillo,NEW,(H): BOU,0.04,4%
Diallo,SOU,(A): AVL,0.04,4%
Collins,WOL,(H): MCI,0.04,4%
Estupiñán,BHA,(H): CRY,0.04,4%
Tierney,ARS,(A): BRE,0.04,4%
Sergio Gómez,MCI,(A): WOL,0.04,4%
Zanka,BRE,(H): ARS,0.04,4%
Mings,AVL,(H): SOU,0.04,4%
Zouma,WHU,(A): EVE,0.04,4%
Azpilicueta,CHE,(H): LIV,0.04,4%
Tarkowski,EVE,(H): WHU,0.04,4%
C.Doucouré,CRY,(A): BHA,0.04,4%
Cook,BOU,(A): NEW,0.04,4%
Henry,BRE,(H): ARS,0.04,4%
Ayling,LEE,(A): MUN,0.04,4%
Roca,LEE,(A): MUN,0.04,4%
Soumaré,LEI,(A): TOT,0.04,4%
Cresswell,WHU,(A): EVE,0.04,4%
Jansson,BRE,(H): ARS,0.04,4%
Konaté,LIV,(A): CHE,0.04,4%
Targett,NEW,(H): BOU,0.04,4%
Hickey,BRE,(H): ARS,0.04,4%
Cash,AVL,(H): SOU,0.04,4%
Cancelo,MCI,(A): WOL,0.04,4%
Bella-Kotchap,SOU,(A): AVL,0.04,4%
Jonny,WOL,(H): MCI,0.04,4%
Kehrer,WHU,(A): EVE,0.04,4%
Thiago Silva,CHE,(H): LIV,0.03,3%
Tete,FUL,(A): NFO,0.03,3%
Robertson,LIV,(A): CHE,0.03,3%
Hill,BOU,(A): NEW,0.03,3%
Fredericks,BOU,(A): NEW,0.03,3%
Zemura,BOU,(A): NEW,0.03,3%
Ndidi,LEI,(A): TOT,0.03,3%
Zinchenko,ARS,(A): BRE,0.03,3%
Lindelöf,MUN,(H): LEE,0.03,3%
Johnson,WHU,(A): EVE,0.03,3%
Guéhi,CRY,(A): BHA,0.03,3%
Lyanco,SOU,(A): AVL,0.03,3%
Diop,FUL,(A): NFO,0.03,3%
Senesi,BOU,(A): NEW,0.03,3%
Tomiyasu,ARS,(A): BRE,0.03,3%
Veltman,BHA,(H): CRY,0.03,3%
Castagne,LEI,(A): TOT,0.03,3%
Bech,BRE,(H): ARS,0.03,3%
Tsimikas,LIV,(A): CHE,0.03,3%
Kouyaté,NFO,(H): FUL,0.03,3%
McKenna,NFO,(H): FUL,0.03,3%
Malacia,MUN,(H): LEE,0.03,3%
Shaw,MUN,(H): LEE,0.03,3%
Söyüncü,LEI,(A): TOT,0.03,3%
Dalot,MUN,(H): LEE,0.03,3%
Aït-Nouri,WOL,(H): MCI,0.03,3%
Adams,LEE,(A): MUN,0.03,3%
Stacey,BOU,(A): NEW,0.03,2%
Mepham,BOU,(A): NEW,0.03,2%
Roerslev,BRE,(H): ARS,0.03,2%
Tosin,FUL,(A): NFO,0.03,2%
Cooper,LEE,(A): MUN,0.03,2%
Thomas,LEI,(A): TOT,0.03,2%
Fofana,CHE,(H): LIV,0.03,2%
Ajer,BRE,(H): ARS,0.02,2%
Cucurella,CHE,(H): LIV,0.02,2%
Wan-Bissaka,MUN,(H): LEE,0.02,2%
Perraud,SOU,(A): AVL,0.02,2%
Bryan,FUL,(A): NFO,0.02,2%
Koch,LEE,(A): MUN,0.02,2%
Gomez,LIV,(A): CHE,0.02,2%
Valery,SOU,(A): AVL,0.02,2%
Salisu,SOU,(A): AVL,0.02,2%
Kilman,WOL,(H): MCI,0.02,2%
Reed,FUL,(A): NFO,0.02,2%
Cook,NFO,(H): FUL,0.02,2%
Boly,WOL,(H): MCI,0.02,2%
Smith,BOU,(A): NEW,0.02,2%
Firpo,LEE,(A): MUN,0.02,2%
Mbabu,FUL,(A): NFO,0.02,2%
Emerson,WHU,(A): EVE,0.02,2%
Evans,LEI,(A): TOT,0.02,2%
Worrall,NFO,(H): FUL,0.02,2%
Struijk,LEE,(A): MUN,0.02,2%
Kelly,BOU,(A): NEW,0.02,2%
