Name,Team,Fixture,eAssists/90,Anytime%
Haaland,MCI,(H): SOU,1.02,64%
Pierre-Emerick Aubameyang,CHE,(H): WOL,0.55,42%
Kane,TOT,(A): BHA,0.54,42%
Álvarez,MCI,(H): SOU,0.53,41%
Wilson,NEW,(H): BRE,0.50,39%
Zaha,CRY,(H): LEE,0.48,38%
Vardy,LEI,(A): BOU,0.48,38%
Ronaldo,MUN,(A): EVE,0.47,38%
Mahrez,MCI,(H): SOU,0.47,38%
Isak,NEW,(H): BRE,0.46,37%
Ings,AVL,(A): NFO,0.46,37%
Mateta,CRY,(H): LEE,0.43,35%
Scamacca,WHU,(H): FUL,0.42,34%
Antonio,WHU,(H): FUL,0.41,34%
Solanke,BOU,(H): LEI,0.41,33%
Calvert-Lewin,EVE,(H): MUN,0.40,33%
De Bruyne,MCI,(H): SOU,0.40,33%
Mitrović,FUL,(A): WHU,0.40,33%
Sterling,CHE,(H): WOL,0.39,32%
Salah,LIV,(A): ARS,0.38,32%
Darwin,LIV,(A): ARS,0.38,32%
Gündogan,MCI,(H): SOU,0.37,31%
Havertz,CHE,(H): WOL,0.37,31%
Firmino,LIV,(A): ARS,0.36,30%
Bamford,LEE,(A): CRY,0.36,30%
Toney,BRE,(A): NEW,0.36,30%
Grealish,MCI,(H): SOU,0.35,30%
Edouard,CRY,(H): LEE,0.35,30%
Watkins,AVL,(A): NFO,0.35,29%
Awoniyi,NFO,(H): AVL,0.35,29%
Archer,AVL,(A): NFO,0.34,29%
Pulisic,CHE,(H): WOL,0.34,29%
Bowen,WHU,(H): FUL,0.34,29%
Moore,BOU,(H): LEI,0.33,28%
Foden,MCI,(H): SOU,0.33,28%
Mount,CHE,(H): WOL,0.33,28%
Nketiah,ARS,(H): LIV,0.33,28%
Diogo Jota,LIV,(A): ARS,0.32,27%
Son,TOT,(A): BHA,0.32,27%
Martial,MUN,(A): EVE,0.32,27%
Johnson,NFO,(H): AVL,0.32,27%
Stanislas,BOU,(H): LEI,0.31,27%
Richarlison,TOT,(A): BHA,0.31,26%
Benrahma,WHU,(H): FUL,0.31,26%
Maupay,EVE,(H): MUN,0.30,26%
Jesus,ARS,(H): LIV,0.30,26%
Iheanacho,LEI,(A): BOU,0.30,26%
Luis Díaz,LIV,(A): ARS,0.29,26%
Undav,BHA,(H): TOT,0.29,25%
Daka,LEI,(A): BOU,0.28,25%
Welbeck,BHA,(H): TOT,0.28,24%
Lanzini,WHU,(H): FUL,0.28,24%
Saka,ARS,(H): LIV,0.28,24%
Groß,BHA,(H): TOT,0.28,24%
Ebiowei,CRY,(H): LEE,0.28,24%
Maddison,LEI,(A): BOU,0.28,24%
Bernardo,MCI,(H): SOU,0.27,24%
Enciso,BHA,(H): TOT,0.27,23%
Gordon,EVE,(H): MUN,0.27,23%
Rodrigo,LEE,(A): CRY,0.27,23%
Barnes,LEI,(A): BOU,0.26,23%
Jiménez,WOL,(A): CHE,0.26,23%
Cornet,WHU,(H): FUL,0.26,23%
Martinelli,ARS,(H): LIV,0.26,23%
Fornals,WHU,(H): FUL,0.26,23%
Bailey,AVL,(A): NFO,0.25,22%
Coutinho,AVL,(A): NFO,0.25,22%
Gray,EVE,(H): MUN,0.25,22%
Dembélé,BOU,(H): LEI,0.24,22%
Gelhardt,LEE,(A): CRY,0.24,21%
Palmer,MCI,(H): SOU,0.24,21%
Dennis,NFO,(H): AVL,0.24,21%
Almirón,NEW,(H): BRE,0.23,21%
Rashford,MUN,(A): EVE,0.23,21%
Carvalho,LIV,(A): ARS,0.23,20%
Fernandes,MUN,(A): EVE,0.23,20%
Lucas Moura,TOT,(A): BHA,0.23,20%
Smith Rowe,ARS,(H): LIV,0.22,20%
Ayew,CRY,(H): LEE,0.21,19%
Olise,CRY,(H): LEE,0.21,19%
Saint-Maximin,NEW,(H): BRE,0.21,19%
Trossard,BHA,(H): TOT,0.21,19%
Fraser,NEW,(H): BRE,0.21,19%
Buendía,AVL,(A): NFO,0.21,19%
Jorginho,CHE,(H): WOL,0.21,19%
Sancho,MUN,(A): EVE,0.21,19%
Antony,MUN,(A): EVE,0.20,19%
Damsgaard,BRE,(A): NEW,0.20,18%
Gallagher,CHE,(H): WOL,0.19,17%
Eze,CRY,(H): LEE,0.19,17%
Wissa,BRE,(A): NEW,0.19,17%
Harrison,LEE,(A): CRY,0.19,17%
Mbeumo,BRE,(A): NEW,0.18,17%
Elanga,MUN,(A): EVE,0.18,17%
Stansfield,FUL,(A): WHU,0.18,17%
Lewis-Potter,BRE,(A): NEW,0.18,17%
Gibbs-White,NFO,(H): AVL,0.18,16%
Milner,LIV,(A): ARS,0.18,16%
Lingard,NFO,(H): AVL,0.17,16%
