Name,Team,Fixture,eAssists/90,Anytime%
Pérez,LEI,(A): BOU,0.17,16%
Anthony,BOU,(H): LEI,0.17,15%
Praet,LEI,(A): BOU,0.17,15%
Guedes,WOL,(A): CHE,0.16,15%
Fábio Vieira,ARS,(H): LIV,0.16,15%
Aaronson,LEE,(A): CRY,0.16,15%
Kulusevski,TOT,(A): BHA,0.16,14%
James,CHE,(H): WOL,0.15,14%
Murphy,NEW,(H): BRE,0.15,14%
Adams,SOU,(A): MCI,0.15,14%
Sinisterra,LEE,(A): CRY,0.15,14%
Mac Allister,BHA,(H): TOT,0.15,14%
Mara,SOU,(A): MCI,0.15,14%
Christie,BOU,(H): LEI,0.14,13%
Hwang,WOL,(A): CHE,0.14,13%
Bruno Guimarães,NEW,(H): BRE,0.14,13%
Milivojevic,CRY,(H): LEE,0.14,13%
Billing,BOU,(H): LEI,0.14,13%
Canós,BRE,(A): NEW,0.14,13%
De Cordova-Reid,FUL,(A): WHU,0.14,13%
Wilson,FUL,(A): WHU,0.14,13%
James,LEE,(A): CRY,0.14,13%
Elliott,LIV,(A): ARS,0.14,13%
Ødegaard,ARS,(H): LIV,0.14,13%
A.Armstrong,SOU,(A): MCI,0.14,13%
Soucek,WHU,(H): FUL,0.14,13%
McNeil,EVE,(H): MUN,0.14,13%
Kebano,FUL,(A): WHU,0.13,13%
Rodri,MCI,(H): SOU,0.13,12%
Podence,WOL,(A): CHE,0.13,12%
Lallana,BHA,(H): TOT,0.12,12%
Neves,WOL,(A): CHE,0.12,12%
Mitoma,BHA,(H): TOT,0.12,12%
Phillips,MCI,(H): SOU,0.12,11%
Andreas,FUL,(A): WHU,0.12,11%
Rice,WHU,(H): FUL,0.12,11%
Neto,WOL,(A): CHE,0.12,11%
Tavernier,BOU,(H): LEI,0.12,11%
Eriksen,MUN,(A): EVE,0.12,11%
Van de Beek,MUN,(A): EVE,0.11,11%
Laporte,MCI,(H): SOU,0.11,10%
Mwepu,BHA,(H): TOT,0.11,10%
Adama,WOL,(A): CHE,0.10,10%
Chilwell,CHE,(H): WOL,0.10,10%
Toffolo,NFO,(H): AVL,0.10,10%
Ward-Prowse,SOU,(A): MCI,0.10,10%
Tielemans,LEI,(A): BOU,0.10,10%
Yates,NFO,(H): AVL,0.10,10%
Ghoddos,BRE,(A): NEW,0.10,10%
Jones,LIV,(A): ARS,0.10,9%
Willock,NEW,(H): BRE,0.10,9%
Keita,LIV,(A): ARS,0.10,9%
Joelinton,NEW,(H): BRE,0.10,9%
Koulibaly,CHE,(H): WOL,0.10,9%
Aké,MCI,(H): SOU,0.10,9%
Francois,FUL,(A): WHU,0.10,9%
Ramsey,AVL,(A): NFO,0.09,9%
Loftus-Cheek,CHE,(H): WOL,0.09,9%
Schlupp,CRY,(H): LEE,0.09,9%
Dewsbury-Hall,LEI,(A): BOU,0.09,9%
Walcott,SOU,(A): MCI,0.09,9%
Doherty,TOT,(A): BHA,0.09,9%
Albrighton,LEI,(A): BOU,0.09,9%
N.Williams,NFO,(H): AVL,0.09,9%
Schär,NEW,(H): BRE,0.09,9%
Alexander-Arnold,LIV,(A): ARS,0.09,8%
Fred,MUN,(A): EVE,0.09,8%
S.Armstrong,SOU,(A): MCI,0.09,8%
Janelt,BRE,(A): NEW,0.09,8%
Jensen,BRE,(A): NEW,0.09,8%
Klich,LEE,(A): CRY,0.09,8%
Elyounoussi,SOU,(A): MCI,0.09,8%
Bissouma,TOT,(A): BHA,0.09,8%
Lerma,BOU,(H): LEI,0.09,8%
Aribo,SOU,(A): MCI,0.09,8%
Nørgaard,BRE,(A): NEW,0.08,8%
Dasilva,BRE,(A): NEW,0.08,8%
Douglas Luiz,AVL,(A): NFO,0.08,8%
Hughes,CRY,(H): LEE,0.08,8%
Kovacic,CHE,(H): WOL,0.08,8%
Xhaka,ARS,(H): LIV,0.08,8%
Gabriel,ARS,(H): LIV,0.08,8%
Onana,EVE,(H): MUN,0.08,8%
Davies,EVE,(H): MUN,0.08,8%
R.Sessegnon,TOT,(A): BHA,0.08,8%
Dawson,WHU,(H): FUL,0.08,8%
Mee,BRE,(A): NEW,0.08,8%
Thiago,LIV,(A): ARS,0.08,7%
Højbjerg,TOT,(A): BHA,0.08,7%
Rothwell,BOU,(H): LEI,0.08,7%
Cairney,FUL,(A): WHU,0.08,7%
McArthur,CRY,(H): LEE,0.07,7%
Fabinho,LIV,(A): ARS,0.07,7%
March,BHA,(H): TOT,0.07,7%
Perišić,TOT,(A): BHA,0.07,7%
Baptiste,BRE,(A): NEW,0.07,7%
Chalobah,CHE,(H): WOL,0.07,7%
Andersen,CRY,(H): LEE,0.07,7%
Young,AVL,(A): NFO,0.07,7%
A.Doucouré,EVE,(H): MUN,0.07,7%
S.Longstaff,NEW,(H): BRE,0.07,7%
Azpilicueta,CHE,(H): WOL,0.07,7%
Forshaw,LEE,(A): CRY,0.07,7%
Matip,LIV,(A): ARS,0.07,7%
Tomkins,CRY,(H): LEE,0.07,7%
Keane,EVE,(H): MUN,0.07,7%
Iwobi,EVE,(H): MUN,0.07,6%
Palhinha,FUL,(A): WHU,0.07,6%
Stones,MCI,(H): SOU,0.07,6%
Biancone,NFO,(H): AVL,0.07,6%
Kanté,CHE,(H): WOL,0.07,6%
Dias,MCI,(H): SOU,0.07,6%
Dendoncker,WOL,(A): CHE,0.07,6%
Nakamba,AVL,(A): NFO,0.07,6%
Mykolenko,EVE,(H): MUN,0.07,6%
McTominay,MUN,(A): EVE,0.07,6%
Lamptey,BHA,(H): TOT,0.06,6%
Holgate,EVE,(H): MUN,0.06,6%
Van Dijk,LIV,(A): ARS,0.06,6%
Emerson Royal,TOT,(A): BHA,0.06,6%
Skipp,TOT,(A): BHA,0.06,6%
Casemiro,MUN,(A): EVE,0.06,6%
Lascelles,NEW,(H): BRE,0.06,6%
Onyeka,BRE,(A): NEW,0.06,6%
Soumaré,LEI,(A): BOU,0.06,6%
Colback,NFO,(H): AVL,0.06,6%
Pearson,BOU,(H): LEI,0.06,6%
Webster,BHA,(H): TOT,0.06,6%
McGinn,AVL,(A): NFO,0.06,6%
Thiago Silva,CHE,(H): WOL,0.06,6%
Dunk,BHA,(H): TOT,0.06,6%
Mendy,LEI,(A): BOU,0.06,6%
C.Doucouré,CRY,(H): LEE,0.06,6%
Trippier,NEW,(H): BRE,0.06,5%
Mangala,NFO,(H): AVL,0.06,5%
Freuler,NFO,(H): AVL,0.06,5%
Sánchez,TOT,(A): BHA,0.06,5%
Zouma,WHU,(H): FUL,0.06,5%
Downes,WHU,(H): FUL,0.06,5%
Elneny,ARS,(H): LIV,0.05,5%
Henderson,LIV,(A): ARS,0.05,5%
Moutinho,WOL,(A): CHE,0.05,5%
O'Brien,NFO,(H): AVL,0.05,5%
Vinagre,EVE,(H): MUN,0.05,5%
Partey,ARS,(H): LIV,0.05,5%
Konsa,AVL,(A): NFO,0.05,5%
Cook,BOU,(H): LEI,0.05,5%
Llorente,LEE,(A): CRY,0.05,5%
Coleman,EVE,(H): MUN,0.05,5%
Ndidi,LEI,(A): BOU,0.05,5%
Varane,MUN,(A): EVE,0.05,5%
Chambers,AVL,(A): NFO,0.05,5%
Cresswell,WHU,(H): FUL,0.05,5%
Aguerd,WHU,(H): FUL,0.05,5%
Patterson,EVE,(H): MUN,0.05,5%
Coady,EVE,(H): MUN,0.05,5%
Caicedo,BHA,(H): TOT,0.05,5%
Dier,TOT,(A): BHA,0.05,5%
Kehrer,WHU,(H): FUL,0.05,5%
Matheus,WOL,(A): CHE,0.05,5%
Cancelo,MCI,(H): SOU,0.05,5%
Burn,NEW,(H): BRE,0.05,5%
Van Hecke,BHA,(H): TOT,0.04,4%
Guéhi,CRY,(H): LEE,0.04,4%
Castagne,LEI,(A): BOU,0.04,4%
Botman,NEW,(H): BRE,0.04,4%
Collins,WOL,(A): CHE,0.04,4%
Martínez,MUN,(A): EVE,0.04,4%
Digne,AVL,(A): NFO,0.04,4%
Zemura,BOU,(H): LEI,0.04,4%
Vestergaard,LEI,(A): BOU,0.04,4%
Fofana,CHE,(H): WOL,0.04,4%
Maguire,MUN,(A): EVE,0.04,4%
Kamara,AVL,(A): NFO,0.04,4%
Fredericks,BOU,(H): LEI,0.04,4%
Cucurella,CHE,(H): WOL,0.04,4%
Roca,LEE,(A): CRY,0.04,4%
Johnson,WHU,(H): FUL,0.04,4%
Richards,NFO,(H): AVL,0.04,4%
Hill,BOU,(H): LEI,0.04,4%
Colwill,BHA,(H): TOT,0.04,4%
Ayling,LEE,(A): CRY,0.04,4%
Söyüncü,LEI,(A): BOU,0.04,4%
Lenglet,TOT,(A): BHA,0.04,4%
Senesi,BOU,(H): LEI,0.04,4%
Saliba,ARS,(H): LIV,0.04,4%
Manquillo,NEW,(H): BRE,0.04,4%
Konaté,LIV,(A): ARS,0.04,4%
Tarkowski,EVE,(H): MUN,0.04,4%
Thomas,LEI,(A): BOU,0.04,4%
Bentancur,TOT,(A): BHA,0.04,4%
Romero,TOT,(A): BHA,0.04,4%
Mings,AVL,(A): NFO,0.04,4%
Jansson,BRE,(A): NEW,0.04,4%
Henry,BRE,(A): NEW,0.04,4%
Estupiñán,BHA,(H): TOT,0.04,4%
Chalobah,FUL,(A): WHU,0.04,4%
Davies,TOT,(A): BHA,0.04,4%
Duffy,FUL,(A): WHU,0.04,3%
Bednarek,SOU,(A): MCI,0.04,3%
Jonny,WOL,(A): CHE,0.04,3%
Hickey,BRE,(A): NEW,0.04,3%
Tierney,ARS,(H): LIV,0.03,3%
Robertson,LIV,(A): ARS,0.03,3%
Djenepo,SOU,(A): MCI,0.03,3%
Mepham,BOU,(H): LEI,0.03,3%
Cash,AVL,(A): NFO,0.03,3%
Targett,NEW,(H): BRE,0.03,3%
Romeu,SOU,(A): MCI,0.03,3%
Stacey,BOU,(H): LEI,0.03,3%
Evans,LEI,(A): BOU,0.03,3%
Lavia,SOU,(A): MCI,0.03,3%
Emerson,WHU,(H): FUL,0.03,3%
Tsimikas,LIV,(A): ARS,0.03,3%
Smith,BOU,(H): LEI,0.03,3%
Diallo,SOU,(A): MCI,0.03,3%
Adams,LEE,(A): CRY,0.03,3%
Pinnock,BRE,(A): NEW,0.03,3%
Cooper,LEE,(A): CRY,0.03,3%
Lindelöf,MUN,(A): EVE,0.03,3%
McKenna,NFO,(H): AVL,0.03,3%
Walker-Peters,SOU,(A): MCI,0.03,3%
Aït-Nouri,WOL,(A): CHE,0.03,3%
Veltman,BHA,(H): TOT,0.03,3%
Tete,FUL,(A): WHU,0.03,3%
Amartey,LEI,(A): BOU,0.03,3%
Gomez,LIV,(A): ARS,0.03,3%
Kouyaté,NFO,(H): AVL,0.03,3%
Koch,LEE,(A): CRY,0.03,2%
Zinchenko,ARS,(H): LIV,0.03,2%
Diop,FUL,(A): WHU,0.03,2%
Bech,BRE,(A): NEW,0.02,2%
Kilman,WOL,(A): CHE,0.02,2%
Malacia,MUN,(A): EVE,0.02,2%
Tomiyasu,ARS,(H): LIV,0.02,2%
Kelly,BOU,(H): LEI,0.02,2%
Roerslev,BRE,(A): NEW,0.02,2%
Firpo,LEE,(A): CRY,0.02,2%
Boly,WOL,(A): CHE,0.02,2%
Justin,LEI,(A): BOU,0.02,2%
Shaw,MUN,(A): EVE,0.02,2%
Ajer,BRE,(A): NEW,0.02,2%
Tosin,FUL,(A): WHU,0.02,2%
Dalot,MUN,(A): EVE,0.02,2%
Cook,NFO,(H): AVL,0.02,2%
Bella-Kotchap,SOU,(A): MCI,0.02,2%
Clyne,CRY,(H): LEE,0.02,2%
Struijk,LEE,(A): CRY,0.02,2%
Walker,MCI,(H): SOU,0.02,2%
Wan-Bissaka,MUN,(A): EVE,0.02,2%
Coufal,WHU,(H): FUL,0.02,2%
Ward,CRY,(H): LEE,0.02,2%
Mitchell,CRY,(H): LEE,0.02,2%
Bryan,FUL,(A): WHU,0.02,2%
Reed,FUL,(A): WHU,0.02,2%
Worrall,NFO,(H): AVL,0.02,2%
Lyanco,SOU,(A): MCI,0.02,2%
Mbabu,FUL,(A): WHU,0.02,2%
Semedo,WOL,(A): CHE,0.02,2%
Drameh,LEE,(A): CRY,0.02,2%
Kristensen,LEE,(A): CRY,0.01,1%
White,ARS,(H): LIV,0.01,1%
Valery,SOU,(A): MCI,0.01,1%
Perraud,SOU,(A): MCI,0.01,1%
Salisu,SOU,(A): MCI,0.01,1%
Ream,FUL,(A): WHU,0.01,1%
Robinson,FUL,(A): WHU,0.01,1%
Alisson,LIV,(A): ARS,0.00,0%
Leno,FUL,(A): WHU,0.00,0%
Ramsdale,ARS,(H): LIV,0.00,0%
Martínez,AVL,(A): NFO,0.00,0%
Travers,BOU,(H): LEI,0.00,0%
Raya,BRE,(A): NEW,0.00,0%
Sánchez,BHA,(H): TOT,0.00,0%
Mendy,CHE,(H): WOL,0.00,0%
Guaita,CRY,(H): LEE,0.00,0%
Pickford,EVE,(H): MUN,0.00,0%
Meslier,LEE,(A): CRY,0.00,0%
Ward,LEI,(A): BOU,0.00,0%
Ederson,MCI,(H): SOU,0.00,0%
De Gea,MUN,(A): EVE,0.00,0%
Pope,NEW,(H): BRE,0.00,0%
Henderson,NFO,(H): AVL,0.00,0%
Bazunu,SOU,(A): MCI,0.00,0%
Lloris,TOT,(A): BHA,0.00,0%
Fabianski,WHU,(H): FUL,0.00,0%
Sá,WOL,(A): CHE,0.00,0%
Neto,BOU,(H): LEI,0.00,0%
