Name,Team,Fixture,eAssists/90,Anytime%
Haaland,MCI,(H): TOT,0.74,53%
Salah,LIV,(H): WOL,0.62,46%
Darwin,LIV,(H): WOL,0.62,46%
Firmino,LIV,(H): WOL,0.56,43%
Bamford,LEE,(H): NFO,0.55,42%
Nketiah,ARS,(H): EVE,0.53,41%
Vardy,LEI,(H): AVL,0.52,41%
Diogo Jota,LIV,(H): WOL,0.52,41%
Jesus,ARS,(H): EVE,0.51,40%
Rodrigo,LEE,(H): NFO,0.49,39%
Luis Díaz,LIV,(H): WOL,0.49,38%
Pierre-Emerick Aubameyang,CHE,(A): FUL,0.47,37%
Saka,ARS,(H): EVE,0.46,37%
Martinelli,ARS,(H): EVE,0.43,35%
Zaha,CRY,(H): MUN,0.43,35%
Ronaldo,MUN,(A): CRY,0.43,35%
Mitrović,FUL,(H): CHE,0.41,34%
Álvarez,MCI,(H): TOT,0.41,33%
Toney,BRE,(A): SOU,0.40,33%
Solanke,BOU,(H): BHA,0.40,33%
Ings,AVL,(A): LEI,0.37,31%
Mateta,CRY,(H): MUN,0.36,30%
Kane,TOT,(A): MCI,0.36,30%
Scamacca,WHU,(H): NEW,0.35,30%
Carvalho,LIV,(H): WOL,0.35,29%
Groß,BHA,(A): BOU,0.34,29%
Antonio,WHU,(H): NEW,0.34,29%
Isak,NEW,(A): WHU,0.34,29%
Sterling,CHE,(A): FUL,0.34,29%
Undav,BHA,(A): BOU,0.34,28%
Milner,LIV,(H): WOL,0.33,28%
Mahrez,MCI,(H): TOT,0.33,28%
Welbeck,BHA,(A): BOU,0.33,28%
Adams,SOU,(H): BRE,0.33,28%
Wood,NEW,(A): WHU,0.32,27%
Daka,LEI,(H): AVL,0.32,27%
Mara,SOU,(H): BRE,0.32,27%
Smith Rowe,ARS,(H): EVE,0.31,27%
Moore,BOU,(H): BHA,0.31,27%
Maddison,LEI,(H): AVL,0.31,27%
Iheanacho,LEI,(H): AVL,0.31,27%
Havertz,CHE,(A): FUL,0.31,27%
Archer,AVL,(A): LEI,0.30,26%
Edouard,CRY,(H): MUN,0.30,26%
Harrison,LEE,(H): NFO,0.29,26%
Barnes,LEI,(H): AVL,0.29,25%
Bowen,WHU,(H): NEW,0.29,25%
A.Armstrong,SOU,(H): BRE,0.29,25%
De Bruyne,MCI,(H): TOT,0.29,25%
Watkins,AVL,(A): LEI,0.29,25%
Stanislas,BOU,(H): BHA,0.28,25%
Pulisic,CHE,(A): FUL,0.28,25%
Martial,MUN,(A): CRY,0.28,24%
Mount,CHE,(A): FUL,0.28,24%
Awoniyi,NFO,(A): LEE,0.27,24%
Calvert-Lewin,EVE,(A): ARS,0.27,24%
Gündogan,MCI,(H): TOT,0.27,24%
Benrahma,WHU,(H): NEW,0.26,23%
Trossard,BHA,(A): BOU,0.25,22%
Aaronson,LEE,(H): NFO,0.25,22%
Johnson,NFO,(A): LEE,0.24,22%
Ødegaard,ARS,(H): EVE,0.24,21%
Lanzini,WHU,(H): NEW,0.24,21%
Fábio Vieira,ARS,(H): EVE,0.24,21%
Sinisterra,LEE,(H): NFO,0.23,21%
Foden,MCI,(H): TOT,0.23,21%
Maupay,EVE,(A): ARS,0.23,21%
Ebiowei,CRY,(H): MUN,0.23,20%
Grealish,MCI,(H): TOT,0.23,20%
Fornals,WHU,(H): NEW,0.22,20%
Fernandes,MUN,(A): CRY,0.22,20%
Ward-Prowse,SOU,(H): BRE,0.22,20%
Damsgaard,BRE,(A): SOU,0.22,20%
Gordon,EVE,(A): ARS,0.22,19%
Cornet,WHU,(H): NEW,0.22,19%
Elliott,LIV,(H): WOL,0.21,19%
Rashford,MUN,(A): CRY,0.21,19%
Rondón,EVE,(A): ARS,0.21,19%
Son,TOT,(A): MCI,0.21,19%
Jiménez,WOL,(A): LIV,0.21,19%
James,LEE,(H): NFO,0.20,19%
Dembélé,BOU,(H): BHA,0.20,18%
Gray,EVE,(A): ARS,0.20,18%
Mbeumo,BRE,(A): SOU,0.20,18%
Redmond,SOU,(H): BRE,0.20,18%
Lewis-Potter,BRE,(A): SOU,0.20,18%
Coutinho,AVL,(A): LEI,0.20,18%
Wissa,BRE,(A): SOU,0.20,18%
Bailey,AVL,(A): LEI,0.20,18%
Bernardo,MCI,(H): TOT,0.19,18%
S.Armstrong,SOU,(H): BRE,0.19,17%
Antony,MUN,(A): CRY,0.19,17%
Sancho,MUN,(A): CRY,0.19,17%
