Name,Team,Fixture,eAssists/90,Anytime%
Elyounoussi,SOU,(H): BRE,0.18,17%
Pérez,LEI,(H): AVL,0.18,17%
Richarlison,TOT,(A): MCI,0.18,17%
Buendía,AVL,(A): LEI,0.18,17%
Olise,CRY,(H): MUN,0.18,17%
Aribo,SOU,(H): BRE,0.18,16%
Ayew,CRY,(H): MUN,0.18,16%
Dennis,NFO,(A): LEE,0.18,16%
Jorginho,CHE,(A): FUL,0.18,16%
Praet,LEI,(H): AVL,0.18,16%
Almirón,NEW,(A): WHU,0.17,16%
Mac Allister,BHA,(A): BOU,0.17,16%
Stansfield,FUL,(H): CHE,0.17,16%
Keita,LIV,(H): WOL,0.17,15%
Elanga,MUN,(A): CRY,0.16,15%
Anthony,BOU,(H): BHA,0.16,15%
Mitoma,BHA,(A): BOU,0.16,15%
Saint-Maximin,NEW,(A): WHU,0.16,15%
Eze,CRY,(H): MUN,0.16,14%
Fraser,NEW,(A): WHU,0.16,14%
Jones,LIV,(H): WOL,0.15,14%
Alexander-Arnold,LIV,(H): WOL,0.15,14%
Klich,LEE,(H): NFO,0.14,13%
Gibbs-White,NFO,(A): LEE,0.14,13%
Kebano,FUL,(H): CHE,0.14,13%
Billing,BOU,(H): BHA,0.14,13%
De Cordova-Reid,FUL,(H): CHE,0.14,13%
Lingard,NFO,(A): LEE,0.14,13%
Gabriel,ARS,(H): EVE,0.14,13%
Gallagher,CHE,(A): FUL,0.14,13%
James,CHE,(A): FUL,0.14,13%
Mwepu,BHA,(A): BOU,0.13,13%
Christie,BOU,(H): BHA,0.13,12%
Guedes,WOL,(A): LIV,0.13,12%
Xhaka,ARS,(H): EVE,0.12,11%
Soucek,WHU,(H): NEW,0.12,11%
Matip,LIV,(H): WOL,0.12,11%
Fabinho,LIV,(H): WOL,0.12,11%
Milivojevic,CRY,(H): MUN,0.12,11%
Andreas,FUL,(H): CHE,0.12,11%
Hwang,WOL,(A): LIV,0.12,11%
Tavernier,BOU,(H): BHA,0.11,11%
Bruno Guimarães,NEW,(A): WHU,0.11,10%
Van de Beek,MUN,(A): CRY,0.10,10%
Van Dijk,LIV,(H): WOL,0.10,10%
Eriksen,MUN,(A): CRY,0.10,10%
Podence,WOL,(A): LIV,0.10,10%
Francois,FUL,(H): CHE,0.10,10%
Neves,WOL,(A): LIV,0.10,9%
Janelt,BRE,(A): SOU,0.10,9%
Tielemans,LEI,(H): AVL,0.10,9%
Kulusevski,TOT,(A): MCI,0.10,9%
McNeil,EVE,(A): ARS,0.10,9%
Jensen,BRE,(A): SOU,0.10,9%
Albrighton,LEI,(H): AVL,0.10,9%
Nørgaard,BRE,(A): SOU,0.10,9%
Dasilva,BRE,(A): SOU,0.10,9%
Rice,WHU,(H): NEW,0.10,9%
Dewsbury-Hall,LEI,(H): AVL,0.10,9%
Chilwell,CHE,(A): FUL,0.09,9%
Mee,BRE,(A): SOU,0.09,9%
Sambi,ARS,(H): EVE,0.09,9%
Neto,WOL,(A): LIV,0.09,9%
Rodri,MCI,(H): TOT,0.09,9%
Lerma,BOU,(H): BHA,0.09,8%
Henderson,LIV,(H): WOL,0.09,8%
Koulibaly,CHE,(A): FUL,0.09,8%
Cairney,FUL,(H): CHE,0.08,8%
Fred,MUN,(A): CRY,0.08,8%
Llorente,LEE,(H): NFO,0.08,8%
Toffolo,NFO,(A): LEE,0.08,8%
March,BHA,(A): BOU,0.08,8%
Alzate,BHA,(A): BOU,0.08,8%
Yates,NFO,(A): LEE,0.08,8%
Baptiste,BRE,(A): SOU,0.08,8%
Loftus-Cheek,CHE,(A): FUL,0.08,8%
Aké,MCI,(H): TOT,0.08,8%
Bednarek,SOU,(H): BRE,0.08,8%
Ramsey,AVL,(A): LEI,0.08,7%
Lamptey,BHA,(A): BOU,0.08,7%
Willock,NEW,(A): WHU,0.08,7%
Schlupp,CRY,(H): MUN,0.07,7%
Joelinton,NEW,(A): WHU,0.07,7%
Adama,WOL,(A): LIV,0.07,7%
Palhinha,FUL,(H): CHE,0.07,7%
Webster,BHA,(A): BOU,0.07,7%
N.Williams,NFO,(A): LEE,0.07,7%
Romeu,SOU,(H): BRE,0.07,7%
Djenepo,SOU,(H): BRE,0.07,7%
Saliba,ARS,(H): EVE,0.07,7%
Phillips,MCI,(H): TOT,0.07,7%
Schär,NEW,(A): WHU,0.07,7%
Kovacic,CHE,(A): FUL,0.07,7%
Douglas Luiz,AVL,(A): LEI,0.07,7%
Dunk,BHA,(A): BOU,0.07,7%
Dawson,WHU,(H): NEW,0.07,7%
McArthur,CRY,(H): MUN,0.07,6%
Ayling,LEE,(H): NFO,0.07,6%
Roca,LEE,(H): NFO,0.07,6%
Hughes,CRY,(H): MUN,0.07,6%
Lavia,SOU,(H): BRE,0.07,6%
Andersen,CRY,(H): MUN,0.06,6%
Konaté,LIV,(H): WOL,0.06,6%
Tsimikas,LIV,(H): WOL,0.06,6%
Soumaré,LEI,(H): AVL,0.06,6%
Doherty,TOT,(A): MCI,0.06,6%
Walker-Peters,SOU,(H): BRE,0.06,6%
Azpilicueta,CHE,(A): FUL,0.06,6%
Robertson,LIV,(H): WOL,0.06,6%
Pearson,BOU,(H): BHA,0.06,5%
McTominay,MUN,(A): CRY,0.06,5%
Diallo,SOU,(H): BRE,0.06,5%
Bissouma,TOT,(A): MCI,0.06,5%
Onana,EVE,(A): ARS,0.06,5%
Casemiro,MUN,(A): CRY,0.06,5%
Tierney,ARS,(H): EVE,0.06,5%
Davies,EVE,(A): ARS,0.06,5%
Dendoncker,WOL,(A): LIV,0.06,5%
Caicedo,BHA,(A): BOU,0.05,5%
Biancone,NFO,(A): LEE,0.05,5%
Ndidi,LEI,(H): AVL,0.05,5%
Nakamba,AVL,(A): LEI,0.05,5%
Cafú,NFO,(A): LEE,0.05,5%
S.Longstaff,NEW,(A): WHU,0.05,5%
R.Sessegnon,TOT,(A): MCI,0.05,5%
Colwill,BHA,(A): BOU,0.05,5%
Keane,EVE,(A): ARS,0.05,5%
A.Doucouré,EVE,(A): ARS,0.05,5%
Thiago Silva,CHE,(A): FUL,0.05,5%
Højbjerg,TOT,(A): MCI,0.05,5%
Castagne,LEI,(H): AVL,0.05,5%
Colback,NFO,(A): LEE,0.05,5%
C.Doucouré,CRY,(H): MUN,0.05,5%
Zanka,BRE,(A): SOU,0.05,5%
McGinn,AVL,(A): LEI,0.05,5%
Cook,BOU,(H): BHA,0.05,5%
Stones,MCI,(H): TOT,0.05,5%
Dias,MCI,(H): TOT,0.05,5%
Zouma,WHU,(H): NEW,0.05,5%
Mykolenko,EVE,(A): ARS,0.05,4%
Zinchenko,ARS,(H): EVE,0.05,4%
Varane,MUN,(A): CRY,0.05,4%
Bella-Kotchap,SOU,(H): BRE,0.04,4%
Konsa,AVL,(A): LEI,0.04,4%
Söyüncü,LEI,(H): AVL,0.04,4%
Estupiñán,BHA,(A): BOU,0.04,4%
Iwobi,EVE,(A): ARS,0.04,4%
Cooper,LEE,(H): NFO,0.04,4%
Gomez,LIV,(H): WOL,0.04,4%
Perišić,TOT,(A): MCI,0.04,4%
Adams,LEE,(H): NFO,0.04,4%
Tomiyasu,ARS,(H): EVE,0.04,4%
Chambers,AVL,(A): LEI,0.04,4%
Fredericks,BOU,(H): BHA,0.04,4%
Jansson,BRE,(A): SOU,0.04,4%
Henry,BRE,(A): SOU,0.04,4%
Cresswell,WHU,(H): NEW,0.04,4%
Moutinho,WOL,(A): LIV,0.04,4%
Martínez,MUN,(A): CRY,0.04,4%
Hill,BOU,(H): BHA,0.04,4%
Zemura,BOU,(H): BHA,0.04,4%
Trippier,NEW,(A): WHU,0.04,4%
Emerson Royal,TOT,(A): MCI,0.04,4%
Kehrer,WHU,(H): NEW,0.04,4%
Thomas,LEI,(H): AVL,0.04,4%
Maguire,MUN,(A): CRY,0.04,4%
Lyanco,SOU,(H): BRE,0.04,4%
Hickey,BRE,(A): SOU,0.04,4%
O'Brien,NFO,(A): LEE,0.04,4%
Senesi,BOU,(H): BHA,0.04,4%
Freuler,NFO,(A): LEE,0.04,4%
Matheus,WOL,(A): LIV,0.04,4%
Guéhi,CRY,(H): MUN,0.04,4%
Chalobah,FUL,(H): CHE,0.04,4%
Koch,LEE,(H): NFO,0.04,4%
Collins,WOL,(A): LIV,0.04,4%
Vinagre,EVE,(A): ARS,0.04,4%
Allan,EVE,(A): ARS,0.04,4%
Fofana,CHE,(A): FUL,0.04,4%
Sánchez,TOT,(A): MCI,0.04,4%
Johnson,WHU,(H): NEW,0.04,4%
Digne,AVL,(A): LEI,0.04,3%
Cucurella,CHE,(A): FUL,0.04,3%
Firpo,LEE,(H): NFO,0.04,3%
Burn,NEW,(A): WHU,0.04,3%
Coady,EVE,(A): ARS,0.04,3%
Coleman,EVE,(A): ARS,0.03,3%
Cancelo,MCI,(H): TOT,0.03,3%
Patterson,EVE,(A): ARS,0.03,3%
Kamara,AVL,(A): LEI,0.03,3%
Evans,LEI,(H): AVL,0.03,3%
Botman,NEW,(A): WHU,0.03,3%
Struijk,LEE,(H): NFO,0.03,3%
Jonny,WOL,(A): LIV,0.03,3%
Mings,AVL,(A): LEI,0.03,3%
Mepham,BOU,(H): BHA,0.03,3%
Perraud,SOU,(H): BRE,0.03,3%
Veltman,BHA,(A): BOU,0.03,3%
Salisu,SOU,(H): BRE,0.03,3%
Dier,TOT,(A): MCI,0.03,3%
Stacey,BOU,(H): BHA,0.03,3%
Roerslev,BRE,(A): SOU,0.03,3%
Tete,FUL,(H): CHE,0.03,3%
Valery,SOU,(H): BRE,0.03,3%
Cash,AVL,(A): LEI,0.03,3%
Smith,BOU,(H): BHA,0.03,3%
Tarkowski,EVE,(A): ARS,0.03,3%
Amartey,LEI,(H): AVL,0.03,3%
Lenglet,TOT,(A): MCI,0.03,3%
Ajer,BRE,(A): SOU,0.03,2%
Diop,FUL,(H): CHE,0.03,2%
Romero,TOT,(A): MCI,0.02,2%
Emerson,WHU,(H): NEW,0.02,2%
Kristensen,LEE,(H): NFO,0.02,2%
Justin,LEI,(H): AVL,0.02,2%
Targett,NEW,(A): WHU,0.02,2%
Bentancur,TOT,(A): MCI,0.02,2%
Aït-Nouri,WOL,(A): LIV,0.02,2%
Davies,TOT,(A): MCI,0.02,2%
Kelly,BOU,(H): BHA,0.02,2%
Malacia,MUN,(A): CRY,0.02,2%
Kouyaté,NFO,(A): LEE,0.02,2%
Tosin,FUL,(H): CHE,0.02,2%
Shaw,MUN,(A): CRY,0.02,2%
McKenna,NFO,(A): LEE,0.02,2%
White,ARS,(H): EVE,0.02,2%
Bryan,FUL,(H): CHE,0.02,2%
Dalot,MUN,(A): CRY,0.02,2%
Kilman,WOL,(A): LIV,0.02,2%
Reed,FUL,(H): CHE,0.02,2%
Boly,WOL,(A): LIV,0.02,2%
Wan-Bissaka,MUN,(A): CRY,0.02,2%
Mbabu,FUL,(H): CHE,0.02,2%
Clyne,CRY,(H): MUN,0.02,2%
Mitchell,CRY,(H): MUN,0.02,2%
Cook,NFO,(A): LEE,0.02,2%
Coufal,WHU,(H): NEW,0.02,2%
Ward,CRY,(H): MUN,0.01,1%
Worrall,NFO,(A): LEE,0.01,1%
Semedo,WOL,(A): LIV,0.01,1%
Ream,FUL,(H): CHE,0.01,1%
Robinson,FUL,(H): CHE,0.01,1%
Walker,MCI,(H): TOT,0.01,1%
Alisson,LIV,(H): WOL,0.00,0%
Leno,FUL,(H): CHE,0.00,0%
Ramsdale,ARS,(H): EVE,0.00,0%
Martínez,AVL,(A): LEI,0.00,0%
Travers,BOU,(H): BHA,0.00,0%
Raya,BRE,(A): SOU,0.00,0%
Sánchez,BHA,(A): BOU,0.00,0%
Mendy,CHE,(A): FUL,0.00,0%
Guaita,CRY,(H): MUN,0.00,0%
Pickford,EVE,(A): ARS,0.00,0%
Meslier,LEE,(H): NFO,0.00,0%
Ward,LEI,(H): AVL,0.00,0%
Ederson,MCI,(H): TOT,0.00,0%
De Gea,MUN,(A): CRY,0.00,0%
Pope,NEW,(A): WHU,0.00,0%
Henderson,NFO,(A): LEE,0.00,0%
Bazunu,SOU,(H): BRE,0.00,0%
Lloris,TOT,(A): MCI,0.00,0%
Fabianski,WHU,(H): NEW,0.00,0%
Sá,WOL,(A): LIV,0.00,0%
Neto,BOU,(H): BHA,0.00,0%
