Name,Team,Fixture,eAssists/90,Anytime%
Haaland,MCI,(H): NFO,1.19,70%
Salah,LIV,(H): NEW,0.66,48%
Firmino,LIV,(H): NEW,0.61,46%
Álvarez,MCI,(H): NFO,0.58,44%
Rodrigo,LEE,(H): EVE,0.58,44%
Mahrez,MCI,(H): NFO,0.56,43%
Kane,TOT,(A): WHU,0.55,42%
De Bruyne,MCI,(H): NFO,0.49,39%
Ronaldo,MUN,(A): LEI,0.49,39%
Bamford,LEE,(H): EVE,0.49,39%
Solanke,BOU,(H): WOL,0.48,38%
Luis Díaz,LIV,(H): NEW,0.48,38%
Zaha,CRY,(H): BRE,0.46,37%
Vardy,LEI,(H): MUN,0.45,36%
Mitrović,FUL,(H): BHA,0.45,36%
Carvalho,LIV,(H): NEW,0.44,36%
Saka,ARS,(H): AVL,0.43,35%
Jesus,ARS,(H): AVL,0.43,35%
Mateta,CRY,(H): BRE,0.42,35%
Nketiah,ARS,(H): AVL,0.41,34%
Gündogan,MCI,(H): NFO,0.41,33%
Moore,BOU,(H): WOL,0.39,33%
Sterling,CHE,(A): SOU,0.39,32%
Foden,MCI,(H): NFO,0.39,32%
Martinelli,ARS,(H): AVL,0.38,32%
Smith Rowe,ARS,(H): AVL,0.37,31%
Grealish,MCI,(H): NFO,0.37,31%
Jiménez,WOL,(A): BOU,0.36,31%
Gelhardt,LEE,(H): EVE,0.35,29%
Son,TOT,(A): WHU,0.34,29%
Havertz,CHE,(A): SOU,0.34,29%
Groß,BHA,(A): FUL,0.33,28%
Undav,BHA,(A): FUL,0.33,28%
Toney,BRE,(A): CRY,0.33,28%
Bernardo,MCI,(H): NFO,0.33,28%
Welbeck,BHA,(A): FUL,0.33,28%
Richarlison,TOT,(A): WHU,0.32,28%
Edouard,CRY,(H): BRE,0.32,28%
Pulisic,CHE,(A): SOU,0.32,27%
Milner,LIV,(H): NEW,0.31,27%
Scamacca,WHU,(H): TOT,0.31,27%
Maupay,EVE,(A): LEE,0.30,26%
Iheanacho,LEI,(H): MUN,0.30,26%
Maddison,LEI,(H): MUN,0.28,25%
Ings,AVL,(A): ARS,0.28,25%
Antonio,WHU,(H): TOT,0.28,24%
Harrison,LEE,(H): EVE,0.27,24%
Mount,CHE,(A): SOU,0.27,24%
Rondón,EVE,(A): LEE,0.27,24%
Barnes,LEI,(H): MUN,0.27,24%
Fernandes,MUN,(A): LEI,0.27,24%
Rashford,MUN,(A): LEI,0.27,23%
Ebiowei,CRY,(H): BRE,0.25,22%
Fábio Vieira,ARS,(H): AVL,0.25,22%
Daka,LEI,(H): MUN,0.25,22%
Ziyech,CHE,(A): SOU,0.25,22%
Gordon,EVE,(A): LEE,0.25,22%
Isak,NEW,(A): LIV,0.24,22%
Archer,AVL,(A): ARS,0.24,21%
