Name,Team,Fixture,eAssists/90,Anytime%
Aaronson,LEE,(H): EVE,0.24,21%
Wood,NEW,(A): LIV,0.24,21%
Sinisterra,LEE,(H): EVE,0.24,21%
Clark,LIV,(H): NEW,0.23,21%
Adams,SOU,(H): CHE,0.23,21%
Ødegaard,ARS,(H): AVL,0.23,21%
Guedes,WOL,(A): BOU,0.23,20%
Olise,CRY,(H): BRE,0.23,20%
Gray,EVE,(A): LEE,0.23,20%
Dembélé,BOU,(H): WOL,0.23,20%
Bowen,WHU,(H): TOT,0.22,20%
Trossard,BHA,(A): FUL,0.22,20%
Watkins,AVL,(A): ARS,0.22,20%
Martial,MUN,(A): LEI,0.22,20%
Sancho,MUN,(A): LEI,0.22,20%
Hwang,WOL,(A): BOU,0.22,19%
Mara,SOU,(H): CHE,0.22,19%
Ayew,CRY,(H): BRE,0.21,19%
A.Armstrong,SOU,(H): CHE,0.20,19%
Lucas Moura,TOT,(A): WHU,0.20,18%
Podence,WOL,(A): BOU,0.20,18%
Elliott,LIV,(H): NEW,0.20,18%
Eze,CRY,(H): BRE,0.19,17%
Pérez,LEI,(H): MUN,0.19,17%
Benrahma,WHU,(H): TOT,0.19,17%
Cornet,WHU,(H): TOT,0.19,17%
Anthony,BOU,(H): WOL,0.18,17%
Damsgaard,BRE,(A): CRY,0.18,16%
James,LEE,(H): EVE,0.18,16%
Awoniyi,NFO,(A): MCI,0.18,16%
Wissa,BRE,(A): CRY,0.17,16%
Elanga,MUN,(A): LEI,0.17,16%
Mbeumo,BRE,(A): CRY,0.17,16%
Jorginho,CHE,(A): SOU,0.17,16%
Billing,BOU,(H): WOL,0.17,15%
Lewis-Potter,BRE,(A): CRY,0.17,15%
Klich,LEE,(H): EVE,0.17,15%
Neves,WOL,(A): BOU,0.17,15%
Mac Allister,BHA,(A): FUL,0.17,15%
Stansfield,FUL,(H): BHA,0.17,15%
Fornals,WHU,(H): TOT,0.17,15%
Lanzini,WHU,(H): TOT,0.17,15%
Rodri,MCI,(H): NFO,0.16,15%
Coutinho,AVL,(A): ARS,0.16,15%
Ward-Prowse,SOU,(H): CHE,0.16,15%
Christie,BOU,(H): WOL,0.16,15%
Kebano,FUL,(H): BHA,0.15,14%
Kulusevski,TOT,(A): WHU,0.15,14%
De Cordova-Reid,FUL,(H): BHA,0.15,14%
Neto,WOL,(A): BOU,0.15,14%
Redmond,SOU,(H): CHE,0.15,14%
Mitoma,BHA,(A): FUL,0.15,14%
Milivojevic,CRY,(H): BRE,0.15,14%
Alexander-Arnold,LIV,(H): NEW,0.15,14%
Surridge,NFO,(A): MCI,0.15,14%
S.Armstrong,SOU,(H): CHE,0.14,13%
Johnson,NFO,(A): MCI,0.14,13%
James,CHE,(A): SOU,0.14,13%
Hudson-Odoi,CHE,(A): SOU,0.14,13%
Buendía,AVL,(A): ARS,0.14,13%
Walcott,SOU,(H): CHE,0.14,13%
Bailey,AVL,(A): ARS,0.13,13%
Aké,MCI,(H): NFO,0.13,12%
Almirón,NEW,(A): LIV,0.13,12%
Lallana,BHA,(A): FUL,0.13,12%
Mwepu,BHA,(A): FUL,0.13,12%
Andreas,FUL,(H): BHA,0.13,12%
Aribo,SOU,(H): CHE,0.13,12%
Xhaka,ARS,(H): AVL,0.12,11%
Elyounoussi,SOU,(H): CHE,0.12,11%
Saint-Maximin,NEW,(A): LIV,0.12,11%
Gabriel,ARS,(H): AVL,0.12,11%
Phillips,MCI,(H): NFO,0.12,11%
Thiago,LIV,(H): NEW,0.11,11%
Eriksen,MUN,(A): LEI,0.11,11%
Dennis,NFO,(A): MCI,0.11,11%
Tavernier,BOU,(H): WOL,0.11,11%
Fabinho,LIV,(H): NEW,0.11,10%
Van de Beek,MUN,(A): LEI,0.11,10%
Fraser,NEW,(A): LIV,0.11,10%
Chilwell,CHE,(A): SOU,0.11,10%
Sambi,ARS,(H): AVL,0.11,10%
Tielemans,LEI,(H): MUN,0.10,10%
McNeil,EVE,(A): LEE,0.10,10%
Dendoncker,WOL,(A): BOU,0.10,10%
Soucek,WHU,(H): TOT,0.10,10%
Murphy,NEW,(A): LIV,0.10,10%
Lerma,BOU,(H): WOL,0.10,9%
Van Dijk,LIV,(H): NEW,0.10,9%
Fred,MUN,(A): LEI,0.10,9%
Mbete,MCI,(H): NFO,0.09,9%
Schlupp,CRY,(H): BRE,0.09,9%
Cairney,FUL,(H): BHA,0.09,9%
Albrighton,LEI,(H): MUN,0.09,9%
Doherty,TOT,(A): WHU,0.09,9%
Koulibaly,CHE,(A): SOU,0.09,9%
Palhinha,FUL,(H): BHA,0.09,8%
Partey,ARS,(H): AVL,0.09,8%
Gibbs-White,NFO,(A): MCI,0.09,8%
Dewsbury-Hall,LEI,(H): MUN,0.08,8%
Dasilva,BRE,(A): CRY,0.08,8%
Henderson,LIV,(H): NEW,0.08,8%
Bissouma,TOT,(A): WHU,0.08,8%
R.Sessegnon,TOT,(A): WHU,0.08,8%
Lingard,NFO,(A): MCI,0.08,8%
Stones,MCI,(H): NFO,0.08,8%
Mee,BRE,(A): CRY,0.08,8%
Jensen,BRE,(A): CRY,0.08,8%
Kovacic,CHE,(A): SOU,0.08,8%
Llorente,LEE,(H): EVE,0.08,8%
Dias,MCI,(H): NFO,0.08,7%
Roca,LEE,(H): EVE,0.08,7%
Bruno Guimarães,NEW,(A): LIV,0.08,7%
Andersen,CRY,(H): BRE,0.07,7%
Rice,WHU,(H): TOT,0.07,7%
Nørgaard,BRE,(A): CRY,0.07,7%
Janelt,BRE,(A): CRY,0.07,7%
Chalobah,CHE,(A): SOU,0.07,7%
Moutinho,WOL,(A): BOU,0.07,7%
Webster,BHA,(A): FUL,0.07,7%
Højbjerg,TOT,(A): WHU,0.07,7%
Perišić,TOT,(A): WHU,0.07,7%
March,BHA,(A): FUL,0.07,7%
Hughes,CRY,(H): BRE,0.07,7%
Collins,WOL,(A): BOU,0.07,7%
Matheus,WOL,(A): BOU,0.07,7%
Onana,EVE,(A): LEE,0.07,7%
Dunk,BHA,(A): FUL,0.07,6%
Sergio Gómez,MCI,(H): NFO,0.07,6%
Saliba,ARS,(H): AVL,0.07,6%
Baptiste,BRE,(A): CRY,0.07,6%
Lamptey,BHA,(A): FUL,0.07,6%
Pearson,BOU,(H): WOL,0.07,6%
Davies,EVE,(A): LEE,0.07,6%
McTominay,MUN,(A): LEI,0.06,6%
Casemiro,MUN,(A): LEI,0.06,6%
Azpilicueta,CHE,(A): SOU,0.06,6%
Robertson,LIV,(H): NEW,0.06,6%
Phillips,LIV,(H): NEW,0.06,6%
Keane,EVE,(A): LEE,0.06,6%
Ramsey,AVL,(A): ARS,0.06,6%
Loftus-Cheek,CHE,(A): SOU,0.06,6%
Sánchez,TOT,(A): WHU,0.06,6%
Emerson Royal,TOT,(A): WHU,0.06,6%
Cancelo,MCI,(H): NFO,0.06,6%
Mendy,LEI,(H): MUN,0.06,6%
Willock,NEW,(A): LIV,0.06,6%
C.Doucouré,CRY,(H): BRE,0.06,6%
Elneny,ARS,(H): AVL,0.06,5%
Castagne,LEI,(H): MUN,0.06,5%
Schär,NEW,(A): LIV,0.06,5%
Jonny,WOL,(A): BOU,0.06,5%
Cook,BOU,(H): WOL,0.05,5%
Caicedo,BHA,(A): FUL,0.05,5%
Holgate,EVE,(A): LEE,0.05,5%
Romeu,SOU,(H): CHE,0.05,5%
Bednarek,SOU,(H): CHE,0.05,5%
Dawson,WHU,(H): TOT,0.05,5%
Yates,NFO,(A): MCI,0.05,5%
Tsimikas,LIV,(H): NEW,0.05,5%
Douglas Luiz,AVL,(A): ARS,0.05,5%
Mykolenko,EVE,(A): LEE,0.05,5%
Toffolo,NFO,(A): MCI,0.05,5%
Iwobi,EVE,(A): LEE,0.05,5%
Varane,MUN,(A): LEI,0.05,5%
Joelinton,NEW,(A): LIV,0.05,5%
Richards,CRY,(H): BRE,0.05,5%
Thiago Silva,CHE,(A): SOU,0.05,5%
Hill,BOU,(H): WOL,0.05,4%
Senesi,BOU,(H): WOL,0.05,4%
Ndidi,LEI,(H): MUN,0.04,4%
Lavia,SOU,(H): CHE,0.04,4%
Walker-Peters,SOU,(H): CHE,0.04,4%
Dier,TOT,(A): WHU,0.04,4%
Allan,EVE,(A): LEE,0.04,4%
Söyüncü,LEI,(H): MUN,0.04,4%
Thomas,LEI,(H): MUN,0.04,4%
Martínez,MUN,(A): LEI,0.04,4%
Tierney,ARS,(H): AVL,0.04,4%
Gomez,LIV,(H): NEW,0.04,4%
Maguire,MUN,(A): LEI,0.04,4%
Coady,EVE,(A): LEE,0.04,4%
Aït-Nouri,WOL,(A): BOU,0.04,4%
Spence,TOT,(A): WHU,0.04,4%
Duffy,FUL,(H): BHA,0.04,4%
Zemura,BOU,(H): WOL,0.04,4%
Guéhi,CRY,(H): BRE,0.04,4%
Cooper,LEE,(H): EVE,0.04,4%
N.Williams,NFO,(A): MCI,0.04,4%
S.Longstaff,NEW,(A): LIV,0.04,4%
Romero,TOT,(A): WHU,0.04,4%
Patterson,EVE,(A): LEE,0.04,4%
Adams,LEE,(H): EVE,0.04,4%
Lenglet,TOT,(A): WHU,0.04,4%
Cucurella,CHE,(A): SOU,0.04,4%
Coleman,EVE,(A): LEE,0.04,4%
Vinagre,EVE,(A): LEE,0.04,4%
Estupiñán,BHA,(A): FUL,0.04,4%
Fofana,CHE,(A): SOU,0.04,4%
Zouma,WHU,(H): TOT,0.04,4%
Tomiyasu,ARS,(H): AVL,0.04,3%
Henry,BRE,(A): CRY,0.04,3%
Koch,LEE,(H): EVE,0.04,3%
Kilman,WOL,(A): BOU,0.04,3%
Firpo,LEE,(H): EVE,0.03,3%
Davies,TOT,(A): WHU,0.03,3%
Hickey,BRE,(A): CRY,0.03,3%
Chambers,AVL,(A): ARS,0.03,3%
McGinn,AVL,(A): ARS,0.03,3%
Stacey,BOU,(H): WOL,0.03,3%
Mepham,BOU,(H): WOL,0.03,3%
Jansson,BRE,(A): CRY,0.03,3%
Bentancur,TOT,(A): WHU,0.03,3%
Boly,WOL,(A): BOU,0.03,3%
Konsa,AVL,(A): ARS,0.03,3%
Colback,NFO,(A): MCI,0.03,3%
Biancone,NFO,(A): MCI,0.03,3%
Cresswell,WHU,(H): TOT,0.03,3%
Kehrer,WHU,(H): TOT,0.03,3%
Cafú,NFO,(A): MCI,0.03,3%
Bech,BRE,(A): CRY,0.03,3%
Struijk,LEE,(H): EVE,0.03,3%
Bella-Kotchap,SOU,(H): CHE,0.03,3%
Tarkowski,EVE,(A): LEE,0.03,3%
Tete,FUL,(H): BHA,0.03,3%
Zinchenko,ARS,(H): AVL,0.03,3%
Smith,BOU,(H): WOL,0.03,3%
Evans,LEI,(H): MUN,0.03,3%
Roerslev,BRE,(A): CRY,0.03,3%
Ajer,BRE,(A): CRY,0.03,3%
Burn,NEW,(A): LIV,0.03,3%
Lyanco,SOU,(H): CHE,0.03,3%
Djenepo,SOU,(H): CHE,0.03,3%
Semedo,WOL,(A): BOU,0.03,3%
Mangala,NFO,(A): MCI,0.03,3%
Freuler,NFO,(A): MCI,0.03,3%
Digne,AVL,(A): ARS,0.03,2%
Veltman,BHA,(A): FUL,0.03,2%
Amartey,LEI,(H): MUN,0.03,2%
O'Brien,NFO,(A): MCI,0.03,2%
Trippier,NEW,(A): LIV,0.02,2%
Kamara,AVL,(A): ARS,0.02,2%
Kelly,BOU,(H): WOL,0.02,2%
Justin,LEI,(H): MUN,0.02,2%
Shaw,MUN,(A): LEI,0.02,2%
Botman,NEW,(A): LIV,0.02,2%
Perraud,SOU,(H): CHE,0.02,2%
Johnson,WHU,(H): TOT,0.02,2%
Mings,AVL,(A): ARS,0.02,2%
Salisu,SOU,(H): CHE,0.02,2%
Malacia,MUN,(A): LEI,0.02,2%
Tosin,FUL,(H): BHA,0.02,2%
Reed,FUL,(H): BHA,0.02,2%
Kristensen,LEE,(H): EVE,0.02,2%
Walker,MCI,(H): NFO,0.02,2%
Dalot,MUN,(A): LEI,0.02,2%
Cash,AVL,(A): ARS,0.02,2%
Bryan,FUL,(H): BHA,0.02,2%
Mbabu,FUL,(H): BHA,0.02,2%
Emerson,WHU,(H): TOT,0.02,2%
Clyne,CRY,(H): BRE,0.02,2%
Ward,CRY,(H): BRE,0.02,2%
Mitchell,CRY,(H): BRE,0.02,2%
Valery,SOU,(H): CHE,0.02,2%
White,ARS,(H): AVL,0.01,1%
Kouyaté,NFO,(A): MCI,0.01,1%
Ream,FUL,(H): BHA,0.01,1%
Robinson,FUL,(H): BHA,0.01,1%
Coufal,WHU,(H): TOT,0.01,1%
Targett,NEW,(A): LIV,0.01,1%
McKenna,NFO,(A): MCI,0.01,1%
Cook,NFO,(A): MCI,0.01,1%
Worrall,NFO,(A): MCI,0.01,1%
Alisson,LIV,(H): NEW,0.00,0%
Leno,FUL,(H): BHA,0.00,0%
Ramsdale,ARS,(H): AVL,0.00,0%
Martínez,AVL,(A): ARS,0.00,0%
Travers,BOU,(H): WOL,0.00,0%
Raya,BRE,(A): CRY,0.00,0%
Sánchez,BHA,(A): FUL,0.00,0%
Mendy,CHE,(A): SOU,0.00,0%
Guaita,CRY,(H): BRE,0.00,0%
Pickford,EVE,(A): LEE,0.00,0%
Meslier,LEE,(H): EVE,0.00,0%
Ward,LEI,(H): MUN,0.00,0%
Ederson,MCI,(H): NFO,0.00,0%
De Gea,MUN,(A): LEI,0.00,0%
Pope,NEW,(A): LIV,0.00,0%
Henderson,NFO,(A): MCI,0.00,0%
Bazunu,SOU,(H): CHE,0.00,0%
Lloris,TOT,(A): WHU,0.00,0%
Fabianski,WHU,(H): TOT,0.00,0%
Sá,WOL,(A): BOU,0.00,0%
