Name,Team,Fixture,eAssists/90,Anytime%
Haaland,MCI,(H): MUN,0.84,57%
Vardy,LEI,(H): NFO,0.62,46%
Salah,LIV,(H): BHA,0.57,43%
Darwin,LIV,(H): BHA,0.56,43%
Firmino,LIV,(H): BHA,0.52,41%
Mitrović,FUL,(H): NEW,0.49,39%
Bamford,LEE,(H): AVL,0.48,38%
Diogo Jota,LIV,(H): BHA,0.48,38%
Kane,TOT,(A): ARS,0.47,37%
Álvarez,MCI,(H): MUN,0.45,36%
Toney,BRE,(A): BOU,0.44,36%
Luis Díaz,LIV,(H): BHA,0.44,35%
Wilson,NEW,(A): FUL,0.43,35%
Solanke,BOU,(H): BRE,0.42,35%
Pierre-Emerick Aubameyang,CHE,(A): CRY,0.41,33%
Nketiah,ARS,(H): TOT,0.40,33%
Isak,NEW,(A): FUL,0.40,33%
Scamacca,WHU,(H): WOL,0.39,32%
Ings,AVL,(A): LEE,0.39,32%
Calvert-Lewin,EVE,(A): SOU,0.39,32%
Daka,LEI,(H): NFO,0.39,32%
Antonio,WHU,(H): WOL,0.38,31%
Jesus,ARS,(H): TOT,0.37,31%
Mahrez,MCI,(H): MUN,0.37,31%
Zaha,CRY,(H): CHE,0.37,31%
Maddison,LEI,(H): NFO,0.36,31%
Iheanacho,LEI,(H): NFO,0.36,30%
Moore,BOU,(H): BRE,0.35,30%
Rodrigo,LEE,(H): AVL,0.35,29%
Barnes,LEI,(H): NFO,0.34,29%
Adams,SOU,(H): EVE,0.34,29%
De Bruyne,MCI,(H): MUN,0.34,29%
Saka,ARS,(H): TOT,0.34,28%
Mara,SOU,(H): EVE,0.33,28%
Gelhardt,LEE,(H): AVL,0.33,28%
Greenwood,LEE,(H): AVL,0.32,28%
Carvalho,LIV,(H): BHA,0.32,28%
Archer,AVL,(A): LEE,0.32,27%
Mateta,CRY,(H): CHE,0.32,27%
Stanislas,BOU,(H): BRE,0.32,27%
Jiménez,WOL,(A): WHU,0.32,27%
Martinelli,ARS,(H): TOT,0.32,27%
Bowen,WHU,(H): WOL,0.31,27%
Gündogan,MCI,(H): MUN,0.30,26%
Watkins,AVL,(A): LEE,0.30,26%
A.Armstrong,SOU,(H): EVE,0.30,26%
Maupay,EVE,(A): SOU,0.29,25%
Sterling,CHE,(A): CRY,0.28,24%
Benrahma,WHU,(H): WOL,0.28,24%
Milner,LIV,(H): BHA,0.27,24%
Grealish,MCI,(H): MUN,0.27,24%
Havertz,CHE,(A): CRY,0.27,24%
Son,TOT,(A): ARS,0.27,24%
Ronaldo,MUN,(A): MCI,0.27,23%
Smith Rowe,ARS,(H): TOT,0.27,23%
Foden,MCI,(H): MUN,0.27,23%
Awoniyi,NFO,(A): LEI,0.26,23%
Lanzini,WHU,(H): WOL,0.26,23%
Edouard,CRY,(H): CHE,0.26,23%
Gordon,EVE,(A): SOU,0.26,23%
Damsgaard,BRE,(A): BOU,0.25,22%
Harrison,LEE,(H): AVL,0.25,22%
Pulisic,CHE,(A): CRY,0.25,22%
Richarlison,TOT,(A): ARS,0.24,22%
Cornet,WHU,(H): WOL,0.24,21%
Johnson,NFO,(A): LEI,0.24,21%
Fornals,WHU,(H): WOL,0.24,21%
Mount,CHE,(A): CRY,0.23,21%
Gray,EVE,(A): SOU,0.23,21%
Wissa,BRE,(A): BOU,0.23,21%
Mbeumo,BRE,(A): BOU,0.23,21%
Ward-Prowse,SOU,(H): EVE,0.23,20%
Pérez,LEI,(H): NFO,0.23,20%
Lewis-Potter,BRE,(A): BOU,0.23,20%
Coutinho,AVL,(A): LEE,0.22,20%
Bernardo,MCI,(H): MUN,0.22,19%
Bailey,AVL,(A): LEE,0.21,19%
Praet,LEI,(H): NFO,0.21,19%
Stansfield,FUL,(H): NEW,0.21,19%
Ebiowei,CRY,(H): CHE,0.21,19%
Aaronson,LEE,(H): AVL,0.21,19%
Redmond,SOU,(H): EVE,0.21,19%
Almirón,NEW,(A): FUL,0.21,19%
Elliott,LIV,(H): BHA,0.20,18%
Sinisterra,LEE,(H): AVL,0.20,18%
Guedes,WOL,(A): WHU,0.20,18%
S.Armstrong,SOU,(H): EVE,0.20,18%
Elyounoussi,SOU,(H): EVE,0.20,18%
Lucas Moura,TOT,(A): ARS,0.19,17%
Aribo,SOU,(H): EVE,0.19,17%
Fábio Vieira,ARS,(H): TOT,0.19,17%
Fraser,NEW,(A): FUL,0.18,17%
Saint-Maximin,NEW,(A): FUL,0.18,17%
Undav,BHA,(A): LIV,0.18,17%
James,LEE,(H): AVL,0.18,17%
Buendía,AVL,(A): LEE,0.18,16%
Hwang,WOL,(A): WHU,0.18,16%
Martial,MUN,(A): MCI,0.18,16%
Anthony,BOU,(H): BRE,0.18,16%
Welbeck,BHA,(A): LIV,0.18,16%
Groß,BHA,(A): LIV,0.18,16%
Canós,BRE,(A): BOU,0.17,16%
Wilson,FUL,(H): NEW,0.17,16%
De Cordova-Reid,FUL,(H): NEW,0.17,16%
Dennis,NFO,(A): LEI,0.17,16%
Kebano,FUL,(H): NEW,0.17,16%
Ødegaard,ARS,(H): TOT,0.17,16%
Enciso,BHA,(A): LIV,0.17,16%
Ayew,CRY,(H): CHE,0.16,15%
Olise,CRY,(H): CHE,0.16,15%
Podence,WOL,(A): WHU,0.15,14%
Neves,WOL,(A): WHU,0.15,14%
Christie,BOU,(H): BRE,0.15,14%
Jorginho,CHE,(A): CRY,0.15,14%
Andreas,FUL,(H): NEW,0.15,14%
Billing,BOU,(H): BRE,0.15,14%
Jones,LIV,(H): BHA,0.15,14%
Keita,LIV,(H): BHA,0.15,14%
Eze,CRY,(H): CHE,0.14,13%
Neto,WOL,(A): WHU,0.14,13%
Gibbs-White,NFO,(A): LEI,0.14,13%
Murphy,NEW,(A): FUL,0.14,13%
