Name,Team,Fixture,eAssists/90,Anytime%,,
Muniz,FUL,(A): TOT,0.10,10%,,
McArthur,CRY,(A): NEW,0.10,10%,,
Biancone,NFO,(H): BOU,0.10,10%,,
Jonny,WOL,(H): SOU,0.10,10%,,
Semedo,WOL,(H): SOU,0.10,10%,,
Fredericks,BOU,(A): NFO,0.10,10%,,
Henry,BRE,(H): LEE,0.10,10%,,
Lanzini,WHU,(A): CHE,0.10,10%,,
Watkins,AVL,(H): MCI,0.10,10%,,
Mitrović,FUL,(A): TOT,0.10,10%,,
Mangala,NFO,(H): BOU,0.10,10%,,
Targett,NEW,(H): CRY,0.10,10%,,
Colback,NFO,(H): BOU,0.10,10%,,
Elneny,ARS,(A): MUN,0.10,9%,,
Smith,BOU,(A): NFO,0.10,9%,,
Onyeka,BRE,(H): LEE,0.10,9%,,
Dele,EVE,(H): LIV,0.10,9%,,
Firpo,LEE,(A): BRE,0.10,9%,,
Soumaré,LEI,(A): BHA,0.10,9%,,
Willock,NEW,(H): CRY,0.10,9%,,
Hickey,BRE,(H): LEE,0.10,9%,,
Xhaka,ARS,(A): MUN,0.09,9%,,
Rodri,MCI,(A): AVL,0.09,9%,,
Stacey,BOU,(A): NFO,0.09,9%,,
Rondón,EVE,(H): LIV,0.09,9%,,
Klich,LEE,(A): BRE,0.09,9%,,
Perraud,SOU,(A): WOL,0.09,9%,,
Lerma,BOU,(A): NFO,0.09,9%,,
Cucurella,CHE,(H): WHU,0.09,9%,,
Zemura,BOU,(A): NFO,0.09,9%,,
Thomas,LEI,(A): BHA,0.09,8%,,
Walker-Peters,SOU,(A): WOL,0.09,8%,,
Cédric,ARS,(A): MUN,0.09,8%,,
Cairney,FUL,(A): TOT,0.09,8%,,
Digne,AVL,(H): MCI,0.09,8%,,
Cook,BOU,(A): NFO,0.09,8%,,
Pearson,BOU,(A): NFO,0.09,8%,,
Milivojevic,CRY,(A): NEW,0.09,8%,,
Dias,MCI,(A): AVL,0.09,8%,,
Schlupp,CRY,(A): NEW,0.08,8%,,
Diallo,SOU,(A): WOL,0.08,8%,,
Cresswell,WHU,(A): CHE,0.08,8%,,
Drameh,LEE,(A): BRE,0.08,8%,,
Partey,ARS,(A): MUN,0.08,8%,,
Iwobi,EVE,(H): LIV,0.08,8%,,
Romeu,SOU,(A): WOL,0.08,8%,,
Coufal,WHU,(A): CHE,0.08,8%,,
Yates,NFO,(H): BOU,0.08,8%,,
Young,AVL,(H): MCI,0.08,8%,,
Clyne,CRY,(A): NEW,0.08,8%,,
Malacia,MUN,(H): ARS,0.08,8%,,
Forshaw,LEE,(A): BRE,0.08,8%,,
Mendy,LEI,(A): BHA,0.08,8%,,
Hughes,CRY,(A): NEW,0.08,7%,,
Lavia,SOU,(A): WOL,0.08,7%,,
Tomiyasu,ARS,(A): MUN,0.07,7%,,
Mykolenko,EVE,(H): LIV,0.07,7%,,
Patterson,EVE,(H): LIV,0.07,7%,,
Kristensen,LEE,(A): BRE,0.07,7%,,
Van de Beek,MUN,(H): ARS,0.07,7%,,
Vinagre,EVE,(H): LIV,0.07,7%,,
Azpilicueta,CHE,(H): WHU,0.07,7%,,
Roca,LEE,(A): BRE,0.07,7%,,
Castagne,LEI,(A): BHA,0.07,7%,,
Wan-Bissaka,MUN,(H): ARS,0.07,7%,,
Bryan,FUL,(A): TOT,0.07,7%,,
Ndidi,LEI,(A): BHA,0.07,7%,,
A.Doucouré,EVE,(H): LIV,0.07,7%,,
C.Doucouré,CRY,(A): NEW,0.07,7%,,
McGinn,AVL,(H): MCI,0.07,7%,,
Riedewald,CRY,(A): NEW,0.07,7%,,
Justin,LEI,(A): BHA,0.07,7%,,
Ferguson,CRY,(A): NEW,0.07,6%,,
Allan,EVE,(H): LIV,0.07,6%,,
Matip,LIV,(A): EVE,0.07,6%,,
Cash,AVL,(H): MCI,0.07,6%,,
Tete,FUL,(A): TOT,0.07,6%,,
Garner,MUN,(H): ARS,0.07,6%,,
Mitchell,CRY,(A): NEW,0.06,6%,,
Aké,MCI,(A): AVL,0.06,6%,,
Coleman,EVE,(H): LIV,0.06,6%,,
Davies,EVE,(H): LIV,0.06,6%,,
Dalot,MUN,(H): ARS,0.06,6%,,
McTominay,MUN,(H): ARS,0.06,6%,,
Adams,LEE,(A): BRE,0.06,6%,,
Colwill,BHA,(H): LEI,0.06,6%,,
Schär,NEW,(H): CRY,0.06,6%,,
Ramsey,AVL,(H): MCI,0.06,6%,,
Ward,CRY,(A): NEW,0.06,6%,,
Douglas Luiz,AVL,(H): MCI,0.06,5%,,
Struijk,LEE,(A): BRE,0.06,5%,,
Lenglet,TOT,(H): FUL,0.06,5%,,
Mbabu,FUL,(A): TOT,0.06,5%,,
Downes,WHU,(A): CHE,0.05,5%,,
Gabriel,ARS,(A): MUN,0.05,5%,,
Andersen,CRY,(A): NEW,0.05,5%,,
Nakamba,AVL,(H): MCI,0.05,5%,,
Burn,NEW,(H): CRY,0.05,5%,,
Soucek,WHU,(A): CHE,0.05,5%,,
Chalobah,CHE,(H): WHU,0.05,5%,,
Davies,TOT,(H): FUL,0.05,5%,,
Valery,SOU,(A): WOL,0.05,5%,,
Chalobah,FUL,(A): TOT,0.05,5%,,
Palhinha,FUL,(A): TOT,0.05,5%,,
Kamara,AVL,(H): MCI,0.05,4%,,
Reed,FUL,(A): TOT,0.05,4%,,
Sánchez,TOT,(H): FUL,0.05,4%,,
Koulibaly,CHE,(H): WHU,0.05,4%,,
Sarr,CHE,(H): WHU,0.04,4%,,
Rice,WHU,(A): CHE,0.04,4%,,
Johnson,WHU,(A): CHE,0.04,4%,,
Robinson,FUL,(A): TOT,0.04,4%,,
Richards,CRY,(A): NEW,0.04,4%,,
Chambers,AVL,(H): MCI,0.04,4%,,
Veltman,BHA,(H): LEI,0.04,4%,,
Stones,MCI,(A): AVL,0.04,4%,,
McKenna,NFO,(H): BOU,0.04,4%,,
Collins,WOL,(H): SOU,0.04,4%,,
Kelly,BOU,(A): NFO,0.04,4%,,
Bech,BRE,(H): LEE,0.04,4%,,
Holgate,EVE,(H): LIV,0.04,4%,,
Van Dijk,LIV,(A): EVE,0.04,4%,,
Konaté,LIV,(A): EVE,0.04,4%,,
Mee,BRE,(H): LEE,0.04,4%,,
Botman,NEW,(H): CRY,0.04,4%,,
Romero,TOT,(H): FUL,0.04,4%,,
White,ARS,(A): MUN,0.04,3%,,
Mings,AVL,(H): MCI,0.04,3%,,
Pinnock,BRE,(H): LEE,0.03,3%,,
Guéhi,CRY,(A): NEW,0.03,3%,,
Koch,LEE,(A): BRE,0.03,3%,,
Webster,BHA,(H): LEI,0.03,3%,,
Boly,WOL,(H): SOU,0.03,3%,,
Clarke,BHA,(H): LEI,0.03,3%,,
Thiago Silva,CHE,(H): WHU,0.03,3%,,
Dier,TOT,(H): FUL,0.03,3%,,
Evans,LEI,(A): BHA,0.03,3%,,
Varane,MUN,(H): ARS,0.03,3%,,
Worrall,NFO,(H): BOU,0.03,3%,,
Kilman,WOL,(H): SOU,0.03,3%,,
Martínez,MUN,(H): ARS,0.03,3%,,
Jansson,BRE,(H): LEE,0.03,3%,,
Tomkins,CRY,(A): NEW,0.03,3%,,
Keane,EVE,(H): LIV,0.03,3%,,
Cooper,LEE,(A): BRE,0.03,3%,,
Senesi,BOU,(A): NFO,0.03,3%,,
Dunk,BHA,(H): LEI,0.03,3%,,
Tarkowski,EVE,(H): LIV,0.03,3%,,
Dawson,WHU,(A): CHE,0.03,3%,,
Diop,FUL,(A): TOT,0.03,3%,,
Hill,BOU,(A): NFO,0.03,3%,,
Söyüncü,LEI,(A): BHA,0.03,3%,,
Lindelöf,MUN,(H): ARS,0.03,3%,,
Cook,NFO,(H): BOU,0.03,3%,,
Bednarek,SOU,(A): WOL,0.03,3%,,
Bella-Kotchap,SOU,(A): WOL,0.03,3%,,
Llorente,LEE,(A): BRE,0.03,2%,,
Amartey,LEI,(A): BHA,0.03,2%,,
Stephens,SOU,(A): WOL,0.03,2%,,
Niakhaté,NFO,(H): BOU,0.03,2%,,
Lyanco,SOU,(A): WOL,0.02,2%,,
Mepham,BOU,(A): NFO,0.02,2%,,
Fofana,LEI,(A): BHA,0.02,2%,,
Maguire,MUN,(H): ARS,0.02,2%,,
Saliba,ARS,(A): MUN,0.02,2%,,
Ogbonna,WHU,(A): CHE,0.02,2%,,
Duffy,FUL,(A): TOT,0.02,2%,,
Tosin,FUL,(A): TOT,0.02,2%,,
Salisu,SOU,(A): WOL,0.02,2%,,
Mina,EVE,(H): LIV,0.02,2%,,
Coady,EVE,(H): LIV,0.02,2%,,
Konsa,AVL,(H): MCI,0.02,2%,,
Zouma,WHU,(A): CHE,0.02,2%,,
Ream,FUL,(A): TOT,0.02,2%,,
Diego Carlos,AVL,(H): MCI,0.01,1%,,
Alisson,LIV,(A): EVE,0.01,1%,,
Sá,WOL,(H): SOU,0.01,1%,,
Sánchez,BHA,(H): LEI,0.00,0%,,
Raya,BRE,(H): LEE,0.00,0%,,
Mendy,CHE,(H): WHU,0.00,0%,,
Pickford,EVE,(H): LIV,0.00,0%,,
Ward,LEI,(A): BHA,0.00,0%,,
Ederson,MCI,(A): AVL,0.00,0%,,
Dubravka,NEW,(H): CRY,0.00,0%,,
Pope,NEW,(H): CRY,0.00,0%,,
Henderson,NFO,(H): BOU,0.00,0%,,
McCarthy,SOU,(A): WOL,0.00,0%,,
Bazunu,SOU,(A): WOL,0.00,0%,,
Lloris,TOT,(H): FUL,0.00,0%,,
Areola,WHU,(A): CHE,0.00,0%,,
Iversen,LEI,(A): BHA,0.00,0%,,
Neto,BOU,(A): NFO,0.00,0%,,
Leno,FUL,(A): TOT,0.00,0%,,
Ramsdale,ARS,(A): MUN,0.00,0%,,
Martínez,AVL,(H): MCI,0.00,0%,,
Travers,BOU,(A): NFO,0.00,0%,,
Guaita,CRY,(A): NEW,0.00,0%,,
Meslier,LEE,(A): BRE,0.00,0%,,
De Gea,MUN,(H): ARS,0.00,0%,,
Fabianski,WHU,(A): CHE,0.00,0%,,
