Name,Team,Fixture,eGoals/90,Anytime%
De Bruyne,MCI,(H): MUN,0.40,33%
Firmino,LIV,(H): BHA,0.38,32%
Salah,LIV,(H): BHA,0.35,30%
Maddison,LEI,(H): NFO,0.34,29%
Foden,MCI,(H): MUN,0.32,27%
Barnes,LEI,(H): NFO,0.31,27%
Diogo Jota,LIV,(H): BHA,0.31,27%
Luis Díaz,LIV,(H): BHA,0.30,26%
Haaland,MCI,(H): MUN,0.30,26%
Darwin,LIV,(H): BHA,0.29,25%
Mahrez,MCI,(H): MUN,0.29,25%
Harrison,LEE,(H): AVL,0.29,25%
Carvalho,LIV,(H): BHA,0.29,25%
Alexander-Arnold,LIV,(H): BHA,0.28,25%
Grealish,MCI,(H): MUN,0.28,25%
Álvarez,MCI,(H): MUN,0.28,24%
Bowen,WHU,(H): WOL,0.28,24%
Vardy,LEI,(H): NFO,0.26,23%
Saka,ARS,(H): TOT,0.25,22%
Wilson,FUL,(H): NEW,0.25,22%
Benrahma,WHU,(H): WOL,0.25,22%
Bernardo,MCI,(H): MUN,0.24,21%
Pérez,LEI,(H): NFO,0.24,21%
Mount,CHE,(A): CRY,0.24,21%
Saint-Maximin,NEW,(A): FUL,0.23,21%
Stanislas,BOU,(H): BRE,0.23,20%
Praet,LEI,(H): NFO,0.23,20%
Iheanacho,LEI,(H): NFO,0.23,20%
Milner,LIV,(H): BHA,0.23,20%
Toney,BRE,(A): BOU,0.22,20%
Rodrigo,LEE,(H): AVL,0.22,20%
James,CHE,(A): CRY,0.22,20%
Tsimikas,LIV,(H): BHA,0.22,20%
Antonio,WHU,(H): WOL,0.22,20%
Sinisterra,LEE,(H): AVL,0.22,20%
Mbeumo,BRE,(A): BOU,0.22,20%
Elliott,LIV,(H): BHA,0.21,19%
Fornals,WHU,(H): WOL,0.21,19%
Gelhardt,LEE,(H): AVL,0.21,19%
Daka,LEI,(H): NFO,0.21,19%
Kulusevski,TOT,(A): ARS,0.21,19%
Fraser,NEW,(A): FUL,0.21,19%
James,LEE,(H): AVL,0.21,19%
Albrighton,LEI,(H): NFO,0.20,19%
Bailey,AVL,(A): LEE,0.20,18%
Greenwood,LEE,(H): AVL,0.20,18%
Anthony,BOU,(H): BRE,0.20,18%
Gray,EVE,(A): SOU,0.20,18%
Lucas Moura,TOT,(A): ARS,0.20,18%
Lewis-Potter,BRE,(A): BOU,0.20,18%
Ward-Prowse,SOU,(H): EVE,0.20,18%
Damsgaard,BRE,(A): BOU,0.20,18%
Christie,BOU,(H): BRE,0.20,18%
Son,TOT,(A): ARS,0.20,18%
Gordon,EVE,(A): SOU,0.20,18%
Andreas,FUL,(H): NEW,0.20,18%
Adams,SOU,(H): EVE,0.20,18%
Fábio Vieira,ARS,(H): TOT,0.19,18%
A.Armstrong,SOU,(H): EVE,0.19,18%
Nketiah,ARS,(H): TOT,0.19,18%
Buendía,AVL,(A): LEE,0.19,18%
Robertson,LIV,(H): BHA,0.19,18%
Olise,CRY,(H): CHE,0.19,17%
Aribo,SOU,(H): EVE,0.19,17%
Smith Rowe,ARS,(H): TOT,0.19,17%
Wissa,BRE,(A): BOU,0.19,17%
Jones,LIV,(H): BHA,0.19,17%
Sterling,CHE,(A): CRY,0.19,17%
Mara,SOU,(H): EVE,0.19,17%
Guedes,WOL,(A): WHU,0.19,17%
Neto,WOL,(A): WHU,0.19,17%
Lanzini,WHU,(H): WOL,0.18,17%
Cornet,WHU,(H): WOL,0.18,17%
Eze,CRY,(H): CHE,0.18,17%
Bamford,LEE,(H): AVL,0.18,17%
Redmond,SOU,(H): EVE,0.18,17%
S.Armstrong,SOU,(H): EVE,0.18,17%
Jesus,ARS,(H): TOT,0.18,17%
Elyounoussi,SOU,(H): EVE,0.18,17%
Canós,BRE,(A): BOU,0.18,17%
Martinelli,ARS,(H): TOT,0.18,16%
Thiago,LIV,(H): BHA,0.18,16%
Aaronson,LEE,(H): AVL,0.18,16%
Richarlison,TOT,(A): ARS,0.18,16%
Coutinho,AVL,(A): LEE,0.18,16%
Havertz,CHE,(A): CRY,0.18,16%
Pulisic,CHE,(A): CRY,0.17,16%
Perišić,TOT,(A): ARS,0.17,16%
Watkins,AVL,(A): LEE,0.17,16%
Scamacca,WHU,(H): WOL,0.17,16%
Henderson,LIV,(H): BHA,0.17,16%
Murphy,NEW,(A): FUL,0.17,16%
Solanke,BOU,(H): BRE,0.17,16%
Jensen,BRE,(A): BOU,0.17,16%
Pierre-Emerick Aubameyang,CHE,(A): CRY,0.17,16%
Edouard,CRY,(H): CHE,0.17,16%
Kane,TOT,(A): ARS,0.17,16%
