Name,Team,Fixture,eGoals/90,Anytime%
McNeil,EVE,(A): SOU,0.17,15%
Ebiowei,CRY,(H): CHE,0.17,15%
Stansfield,FUL,(H): NEW,0.17,15%
Gündogan,MCI,(H): MUN,0.17,15%
Ings,AVL,(A): LEE,0.16,15%
Dewsbury-Hall,LEI,(H): NFO,0.16,15%
Keita,LIV,(H): BHA,0.16,15%
De Cordova-Reid,FUL,(H): NEW,0.16,15%
Phillips,MCI,(H): MUN,0.16,15%
Ødegaard,ARS,(H): TOT,0.16,15%
Kebano,FUL,(H): NEW,0.16,15%
Tielemans,LEI,(H): NFO,0.16,15%
Maupay,EVE,(A): SOU,0.16,15%
Moore,BOU,(H): BRE,0.16,15%
Hwang,WOL,(A): WHU,0.16,15%
Almirón,NEW,(A): FUL,0.16,14%
Groß,BHA,(A): LIV,0.15,14%
Xhaka,ARS,(H): TOT,0.15,14%
Mitrović,FUL,(H): NEW,0.15,14%
Archer,AVL,(A): LEE,0.15,14%
Gibbs-White,NFO,(A): LEI,0.15,14%
Podence,WOL,(A): WHU,0.15,14%
Rothwell,BOU,(H): BRE,0.15,14%
Isak,NEW,(A): FUL,0.15,14%
Gabriel,ARS,(H): TOT,0.14,13%
Zaha,CRY,(H): CHE,0.14,13%
Billing,BOU,(H): BRE,0.14,13%
Ayew,CRY,(H): CHE,0.14,13%
Francois,FUL,(H): NEW,0.14,13%
Zinchenko,ARS,(H): TOT,0.14,13%
Rodri,MCI,(H): MUN,0.14,13%
Wilson,NEW,(A): FUL,0.14,13%
Djenepo,SOU,(H): EVE,0.14,13%
Cucurella,CHE,(A): CRY,0.14,13%
Mateta,CRY,(H): CHE,0.14,13%
Lingard,NFO,(A): LEI,0.13,13%
Tavernier,BOU,(H): BRE,0.13,12%
Cresswell,WHU,(H): WOL,0.13,12%
Calvert-Lewin,EVE,(A): SOU,0.13,12%
Coufal,WHU,(H): WOL,0.13,12%
Cairney,FUL,(H): NEW,0.13,12%
Johnson,NFO,(A): LEI,0.13,12%
Trossard,BHA,(A): LIV,0.13,12%
Tierney,ARS,(H): TOT,0.13,12%
Chilwell,CHE,(A): CRY,0.13,12%
Gallagher,CHE,(A): CRY,0.12,12%
Thomas,LEI,(H): NFO,0.12,12%
Doherty,TOT,(A): ARS,0.12,12%
Cancelo,MCI,(H): MUN,0.12,11%
Trippier,NEW,(A): FUL,0.12,11%
Jiménez,WOL,(A): WHU,0.12,11%
Bruno Guimarães,NEW,(A): FUL,0.12,11%
Soumaré,LEI,(H): NFO,0.12,11%
Elanga,MUN,(A): MCI,0.12,11%
Janelt,BRE,(A): BOU,0.12,11%
Firpo,LEE,(H): AVL,0.12,11%
Dennis,NFO,(A): LEI,0.12,11%
Digne,AVL,(A): LEE,0.11,11%
Gomez,LIV,(H): BHA,0.11,11%
Vinagre,EVE,(A): SOU,0.11,11%
Ajer,BRE,(A): BOU,0.11,11%
Loftus-Cheek,CHE,(A): CRY,0.11,11%
Rice,WHU,(H): WOL,0.11,11%
Dasilva,BRE,(A): BOU,0.11,10%
Young,AVL,(A): LEE,0.11,10%
Mykolenko,EVE,(A): SOU,0.11,10%
Klich,LEE,(H): AVL,0.11,10%
Nørgaard,BRE,(A): BOU,0.11,10%
Welbeck,BHA,(A): LIV,0.11,10%
Enciso,BHA,(A): LIV,0.11,10%
McArthur,CRY,(H): CHE,0.11,10%
Mendy,LEI,(H): NFO,0.11,10%
Fabinho,LIV,(H): BHA,0.11,10%
Emerson Royal,TOT,(A): ARS,0.11,10%
Sancho,MUN,(A): MCI,0.11,10%
R.Sessegnon,TOT,(A): ARS,0.11,10%
Antony,MUN,(A): MCI,0.11,10%
Elneny,ARS,(H): TOT,0.11,10%
Diallo,SOU,(H): EVE,0.11,10%
Fredericks,BOU,(H): BRE,0.10,10%
Struijk,LEE,(H): AVL,0.10,10%
Baptiste,BRE,(A): BOU,0.10,10%
N.Williams,NFO,(A): LEI,0.10,10%
Targett,NEW,(A): FUL,0.10,10%
Joelinton,NEW,(A): FUL,0.10,10%
Moutinho,WOL,(A): WHU,0.10,10%
Kovacic,CHE,(A): CRY,0.10,10%
Bryan,FUL,(H): NEW,0.10,10%
Ndidi,LEI,(H): NFO,0.10,10%
Rashford,MUN,(A): MCI,0.10,10%
Awoniyi,NFO,(A): LEI,0.10,10%
Mitoma,BHA,(A): LIV,0.10,10%
A.Doucouré,EVE,(A): SOU,0.10,10%
Emerson,WHU,(H): WOL,0.10,10%
Undav,BHA,(A): LIV,0.10,9%
Patterson,EVE,(A): SOU,0.10,9%
Romeu,SOU,(H): EVE,0.10,9%
Toffolo,NFO,(A): LEI,0.10,9%
Perraud,SOU,(H): EVE,0.10,9%
Smith,BOU,(H): BRE,0.10,9%
Iwobi,EVE,(A): SOU,0.10,9%
S.Longstaff,NEW,(A): FUL,0.10,9%
Hughes,CRY,(H): CHE,0.10,9%
Manquillo,NEW,(A): FUL,0.10,9%
Sanson,AVL,(A): LEE,0.10,9%
Lerma,BOU,(H): BRE,0.10,9%
Henry,BRE,(A): BOU,0.10,9%
Milivojevic,CRY,(H): CHE,0.10,9%
Bissouma,TOT,(A): ARS,0.10,9%
Downes,WHU,(H): WOL,0.10,9%
Eriksen,MUN,(A): MCI,0.10,9%
Azpilicueta,CHE,(A): CRY,0.09,9%
Mwepu,BHA,(A): LIV,0.09,9%
Davies,EVE,(A): SOU,0.09,9%
Tete,FUL,(H): NEW,0.09,9%
Lavia,SOU,(H): EVE,0.09,9%
Bentancur,TOT,(A): ARS,0.09,9%
Allan,EVE,(A): SOU,0.09,9%
Martial,MUN,(A): MCI,0.09,9%
Zemura,BOU,(H): BRE,0.09,9%
Walker-Peters,SOU,(H): EVE,0.09,9%
Neves,WOL,(A): WHU,0.09,9%
Pearson,BOU,(H): BRE,0.09,9%
Fernandes,MUN,(A): MCI,0.09,9%
Valery,SOU,(H): EVE,0.09,9%
Tomiyasu,ARS,(H): TOT,0.09,9%
Stacey,BOU,(H): BRE,0.09,9%
Soucek,WHU,(H): WOL,0.09,8%
Cook,BOU,(H): BRE,0.09,8%
Walker,MCI,(H): MUN,0.09,8%
March,BHA,(A): LIV,0.09,8%
Castagne,LEI,(H): NFO,0.09,8%
Ronaldo,MUN,(A): MCI,0.09,8%
McGinn,AVL,(A): LEE,0.08,8%
Jorginho,CHE,(A): CRY,0.08,8%
Coleman,EVE,(A): SOU,0.08,8%
Lamptey,BHA,(A): LIV,0.08,8%
Roca,LEE,(H): AVL,0.08,8%
Mbabu,FUL,(H): NEW,0.08,8%
Mitchell,CRY,(H): CHE,0.08,8%
Dias,MCI,(H): MUN,0.08,8%
Onana,EVE,(A): SOU,0.08,8%
Aït-Nouri,WOL,(A): WHU,0.08,8%
Justin,LEI,(H): NFO,0.08,8%
Willock,NEW,(A): FUL,0.08,8%
Matheus,WOL,(A): WHU,0.08,8%
Stones,MCI,(H): MUN,0.08,7%
Hickey,BRE,(A): BOU,0.08,7%
Partey,ARS,(H): TOT,0.08,7%
Douglas Luiz,AVL,(A): LEE,0.08,7%
Roerslev,BRE,(A): BOU,0.08,7%
Højbjerg,TOT,(A): ARS,0.08,7%
Skipp,TOT,(A): ARS,0.08,7%
Van de Beek,MUN,(A): MCI,0.07,7%
Dendoncker,WOL,(A): WHU,0.07,7%
Cash,AVL,(A): LEE,0.07,7%
Kristensen,LEE,(H): AVL,0.07,7%
Freuler,NFO,(A): LEI,0.07,7%
Matip,LIV,(H): BHA,0.07,7%
Fred,MUN,(A): MCI,0.07,7%
Johnson,WHU,(H): WOL,0.07,7%
Ramsey,AVL,(A): LEE,0.07,7%
Clyne,CRY,(H): CHE,0.07,7%
Schlupp,CRY,(H): CHE,0.07,7%
Aké,MCI,(H): MUN,0.07,7%
Colback,NFO,(A): LEI,0.07,7%
Mangala,NFO,(A): LEI,0.07,7%
C.Doucouré,CRY,(H): CHE,0.07,7%
Chalobah,FUL,(H): NEW,0.07,7%
Estupiñán,BHA,(A): LIV,0.07,7%
Reed,FUL,(H): NEW,0.07,6%
Robinson,FUL,(H): NEW,0.07,6%
Jonny,WOL,(A): WHU,0.07,6%
Palhinha,FUL,(H): NEW,0.07,6%
Semedo,WOL,(A): WHU,0.07,6%
Biancone,NFO,(A): LEI,0.06,6%
Shaw,MUN,(A): MCI,0.06,6%
Adams,LEE,(H): AVL,0.06,6%
Ayling,LEE,(H): AVL,0.06,6%
O'Brien,NFO,(A): LEI,0.06,6%
Kamara,AVL,(A): LEE,0.06,5%
Yates,NFO,(A): LEI,0.06,5%
Dalot,MUN,(A): MCI,0.05,5%
Mac Allister,BHA,(A): LIV,0.05,5%
Andersen,CRY,(H): CHE,0.05,5%
Caicedo,BHA,(A): LIV,0.05,5%
Ward,CRY,(H): CHE,0.05,5%
Schär,NEW,(A): FUL,0.05,5%
Dawson,WHU,(H): WOL,0.05,5%
Chalobah,CHE,(A): CRY,0.05,4%
Coady,EVE,(A): SOU,0.05,4%
Casemiro,MUN,(A): MCI,0.05,4%
White,ARS,(H): TOT,0.04,4%
Konaté,LIV,(H): BHA,0.04,4%
Wan-Bissaka,MUN,(A): MCI,0.04,4%
Mings,AVL,(A): LEE,0.04,4%
Kelly,BOU,(H): BRE,0.04,4%
Van Dijk,LIV,(H): BHA,0.04,4%
Malacia,MUN,(A): MCI,0.04,4%
Vestergaard,LEI,(H): NFO,0.04,4%
McTominay,MUN,(A): MCI,0.04,4%
Tarkowski,EVE,(A): SOU,0.04,4%
Saliba,ARS,(H): TOT,0.04,4%
Keane,EVE,(A): SOU,0.04,4%
Holgate,EVE,(A): SOU,0.04,4%
Holding,ARS,(H): TOT,0.04,4%
Burn,NEW,(A): FUL,0.04,4%
Diop,FUL,(H): NEW,0.04,4%
Mee,BRE,(A): BOU,0.04,4%
Chambers,AVL,(A): LEE,0.04,4%
Evans,LEI,(H): NFO,0.04,4%
Bednarek,SOU,(H): EVE,0.04,4%
Koulibaly,CHE,(A): CRY,0.04,4%
Zanka,BRE,(A): BOU,0.04,4%
Guéhi,CRY,(H): CHE,0.04,3%
Koch,LEE,(H): AVL,0.03,3%
Amartey,LEI,(H): NFO,0.03,3%
Bella-Kotchap,SOU,(H): EVE,0.03,3%
Van Hecke,BHA,(A): LIV,0.03,3%
Botman,NEW,(A): FUL,0.03,3%
Lyanco,SOU,(H): EVE,0.03,3%
Lenglet,TOT,(A): ARS,0.03,3%
Pinnock,BRE,(A): BOU,0.03,3%
Söyüncü,LEI,(H): NFO,0.03,3%
Lascelles,NEW,(A): FUL,0.03,3%
Hill,BOU,(H): BRE,0.03,3%
Colwill,BHA,(A): LIV,0.03,3%
Cooper,LEE,(H): AVL,0.03,3%
Davies,TOT,(A): ARS,0.03,3%
Tomkins,CRY,(H): CHE,0.03,3%
Senesi,BOU,(H): BRE,0.03,3%
Kehrer,WHU,(H): WOL,0.03,3%
Tosin,FUL,(H): NEW,0.03,3%
Llorente,LEE,(H): AVL,0.03,3%
Zouma,WHU,(H): WOL,0.03,3%
Mepham,BOU,(H): BRE,0.03,3%
Pickford,EVE,(A): SOU,0.03,3%
McKenna,NFO,(A): LEI,0.03,3%
Thiago Silva,CHE,(A): CRY,0.03,3%
Fofana,CHE,(A): CRY,0.03,3%
Jansson,BRE,(A): BOU,0.03,2%
Toti,WOL,(A): WHU,0.03,2%
Collins,WOL,(A): WHU,0.02,2%
Salisu,SOU,(H): EVE,0.02,2%
Sánchez,TOT,(A): ARS,0.02,2%
Konsa,AVL,(A): LEE,0.02,2%
Veltman,BHA,(A): LIV,0.02,2%
Ream,FUL,(H): NEW,0.02,2%
Boly,WOL,(A): WHU,0.02,2%
Romero,TOT,(A): ARS,0.02,2%
Kilman,WOL,(A): WHU,0.02,2%
Kouyaté,NFO,(A): LEI,0.02,2%
Cook,NFO,(A): LEI,0.02,2%
Martínez,MUN,(A): MCI,0.02,2%
Lindelöf,MUN,(A): MCI,0.02,2%
Worrall,NFO,(A): LEI,0.02,2%
Dier,TOT,(A): ARS,0.02,2%
Dunk,BHA,(A): LIV,0.02,2%
Webster,BHA,(A): LIV,0.02,2%
Varane,MUN,(A): MCI,0.02,2%
Maguire,MUN,(A): MCI,0.01,1%
Alisson,LIV,(H): BHA,0.01,1%
Sá,WOL,(A): WHU,0.01,0%
Ward,LEI,(H): NFO,0.00,0%
Bazunu,SOU,(H): EVE,0.00,0%
Leno,FUL,(H): NEW,0.00,0%
Meslier,LEE,(H): AVL,0.00,0%
Ederson,MCI,(H): MUN,0.00,0%
Pope,NEW,(A): FUL,0.00,0%
Fabianski,WHU,(H): WOL,0.00,0%
Neto,BOU,(H): BRE,0.00,0%
Ramsdale,ARS,(H): TOT,0.00,0%
Martínez,AVL,(A): LEE,0.00,0%
Travers,BOU,(H): BRE,0.00,0%
Raya,BRE,(A): BOU,0.00,0%
Sánchez,BHA,(A): LIV,0.00,0%
Mendy,CHE,(A): CRY,0.00,0%
Guaita,CRY,(H): CHE,0.00,0%
De Gea,MUN,(A): MCI,0.00,0%
Henderson,NFO,(A): LEI,0.00,0%
Lloris,TOT,(A): ARS,0.00,0%
