Name,Team,Fixture,eGoals/90,Anytime%
De Bruyne,MCI,(A): WOL,0.38,31%
Kulusevski,TOT,(H): LEI,0.34,29%
Saint-Maximin,NEW,(H): BOU,0.31,27%
Son,TOT,(H): LEI,0.31,27%
Lucas Moura,TOT,(H): LEI,0.31,27%
Groß,BHA,(H): CRY,0.31,27%
Foden,MCI,(A): WOL,0.29,25%
Richarlison,TOT,(H): LEI,0.28,24%
Perišić,TOT,(H): LEI,0.28,24%
Haaland,MCI,(A): WOL,0.28,24%
Fraser,NEW,(H): BOU,0.28,24%
Bailey,AVL,(H): SOU,0.27,24%
Kane,TOT,(H): LEI,0.27,23%
Saka,ARS,(A): BRE,0.26,23%
Mahrez,MCI,(A): WOL,0.26,23%
Firmino,LIV,(A): CHE,0.26,23%
Grealish,MCI,(A): WOL,0.26,23%
Buendía,AVL,(H): SOU,0.26,23%
Álvarez,MCI,(A): WOL,0.26,23%
Elanga,MUN,(H): LEE,0.26,23%
Trossard,BHA,(H): CRY,0.24,21%
Salah,LIV,(A): CHE,0.24,21%
Sancho,MUN,(H): LEE,0.23,21%
Antony,MUN,(H): LEE,0.23,21%
Watkins,AVL,(H): SOU,0.23,21%
Coutinho,AVL,(H): SOU,0.23,21%
Bernardo,MCI,(A): WOL,0.23,20%
Bowen,WHU,(A): EVE,0.23,20%
Rashford,MUN,(H): LEE,0.22,20%
Ings,AVL,(H): SOU,0.22,20%
Gray,EVE,(H): WHU,0.22,20%
Gibbs-White,NFO,(H): FUL,0.22,20%
Gordon,EVE,(H): WHU,0.21,19%
Welbeck,BHA,(H): CRY,0.21,19%
Diogo Jota,LIV,(A): CHE,0.21,19%
Eriksen,MUN,(H): LEE,0.21,19%
Almirón,NEW,(H): BOU,0.21,19%
Mitoma,BHA,(H): CRY,0.20,18%
Luis Díaz,LIV,(A): CHE,0.20,18%
Nketiah,ARS,(A): BRE,0.20,18%
Martial,MUN,(H): LEE,0.20,18%
Benrahma,WHU,(A): EVE,0.20,18%
Harrison,LEE,(A): MUN,0.20,18%
Andreas,FUL,(A): NFO,0.20,18%
Archer,AVL,(H): SOU,0.20,18%
Isak,NEW,(H): BOU,0.20,18%
Doherty,TOT,(H): LEI,0.19,18%
Lingard,NFO,(H): FUL,0.19,18%
Alexander-Arnold,LIV,(A): CHE,0.19,18%
Darwin,LIV,(A): CHE,0.19,18%
Fábio Vieira,ARS,(A): BRE,0.19,17%
Fernandes,MUN,(H): LEE,0.19,17%
Undav,BHA,(H): CRY,0.19,17%
Mount,CHE,(H): LIV,0.19,17%
Toney,BRE,(H): ARS,0.19,17%
James,CHE,(H): LIV,0.19,17%
Mwepu,BHA,(H): CRY,0.19,17%
Jesus,ARS,(A): BRE,0.19,17%
Carvalho,LIV,(A): CHE,0.18,17%
Ronaldo,MUN,(H): LEE,0.18,17%
McNeil,EVE,(H): WHU,0.18,17%
Smith Rowe,ARS,(A): BRE,0.18,17%
Johnson,NFO,(H): FUL,0.18,17%
Mbeumo,BRE,(H): ARS,0.18,17%
Wilson,NEW,(H): BOU,0.18,17%
Antonio,WHU,(A): EVE,0.18,17%
Martinelli,ARS,(A): BRE,0.18,16%
Fornals,WHU,(A): EVE,0.18,16%
Olise,CRY,(A): BHA,0.18,16%
Maddison,LEI,(A): TOT,0.17,16%
Wood,NEW,(H): BOU,0.17,16%
Emerson Royal,TOT,(H): LEI,0.17,16%
Maupay,EVE,(H): WHU,0.17,16%
Eze,CRY,(A): BHA,0.17,16%
Stansfield,FUL,(A): NFO,0.17,16%
Stanislas,BOU,(A): NEW,0.17,16%
March,BHA,(H): CRY,0.17,16%
Dennis,NFO,(H): FUL,0.17,16%
Lewis-Potter,BRE,(H): ARS,0.17,15%
De Cordova-Reid,FUL,(A): NFO,0.17,15%
Van de Beek,MUN,(H): LEE,0.17,15%
R.Sessegnon,TOT,(H): LEI,0.17,15%
Damsgaard,BRE,(H): ARS,0.17,15%
Ødegaard,ARS,(A): BRE,0.16,15%
Kebano,FUL,(A): NFO,0.16,15%
Trippier,NEW,(H): BOU,0.16,15%
Ebiowei,CRY,(A): BHA,0.16,15%
Fred,MUN,(H): LEE,0.16,15%
Wissa,BRE,(H): ARS,0.16,15%
Barnes,LEI,(A): TOT,0.16,15%
Edouard,CRY,(A): BHA,0.16,15%
Bruno Guimarães,NEW,(H): BOU,0.16,15%
Mitrović,FUL,(A): NFO,0.16,15%
Milner,LIV,(A): CHE,0.16,15%
Lamptey,BHA,(H): CRY,0.16,14%
Gabriel,ARS,(A): BRE,0.15,14%
Sterling,CHE,(H): LIV,0.15,14%
Lanzini,WHU,(A): EVE,0.15,14%
Rodrigo,LEE,(A): MUN,0.15,14%
Ward-Prowse,SOU,(A): AVL,0.15,14%
Digne,AVL,(H): SOU,0.15,14%
Rondón,EVE,(H): WHU,0.15,14%
Sinisterra,LEE,(A): MUN,0.15,14%
Gelhardt,LEE,(A): MUN,0.15,14%
Xhaka,ARS,(A): BRE,0.15,14%
Cornet,WHU,(A): EVE,0.15,14%
Guedes,WOL,(H): MCI,0.15,14%
Tsimikas,LIV,(A): CHE,0.15,14%
Bissouma,TOT,(H): LEI,0.15,14%
A.Armstrong,SOU,(A): AVL,0.15,14%
Adams,SOU,(A): AVL,0.15,14%
James,LEE,(A): MUN,0.15,14%
Bentancur,TOT,(H): LEI,0.15,14%
Neto,WOL,(H): MCI,0.15,14%
Toffolo,NFO,(H): FUL,0.15,14%
Christie,BOU,(A): NEW,0.14,13%
Anthony,BOU,(A): NEW,0.14,13%
N.Williams,NFO,(H): FUL,0.14,13%
Awoniyi,NFO,(H): FUL,0.14,13%
Aribo,SOU,(A): AVL,0.14,13%
Jensen,BRE,(H): ARS,0.14,13%
Redmond,SOU,(A): AVL,0.14,13%
Francois,FUL,(A): NFO,0.14,13%
Havertz,CHE,(H): LIV,0.14,13%
Calvert-Lewin,EVE,(H): WHU,0.14,13%
Mara,SOU,(A): AVL,0.14,13%
Pulisic,CHE,(H): LIV,0.14,13%
Elliott,LIV,(A): CHE,0.14,13%
Gündogan,MCI,(A): WOL,0.14,13%
Scamacca,WHU,(A): EVE,0.14,13%
Young,AVL,(H): SOU,0.14,13%
Zinchenko,ARS,(A): BRE,0.14,13%
S.Armstrong,SOU,(A): AVL,0.14,13%
Pierre-Emerick Aubameyang,CHE,(H): LIV,0.14,13%
Walcott,SOU,(A): AVL,0.14,13%
Elyounoussi,SOU,(A): AVL,0.14,13%
Targett,NEW,(H): BOU,0.14,13%
Phillips,MCI,(A): WOL,0.14,13%
Shaw,MUN,(H): LEE,0.14,13%
Zaha,CRY,(A): BHA,0.14,13%
Joelinton,NEW,(H): BOU,0.14,13%
Vardy,LEI,(A): TOT,0.13,12%
Manquillo,NEW,(H): BOU,0.13,12%
Estupiñán,BHA,(H): CRY,0.13,12%
Ayew,CRY,(A): BHA,0.13,12%
Robertson,LIV,(A): CHE,0.13,12%
Cairney,FUL,(A): NFO,0.13,12%
Bamford,LEE,(A): MUN,0.13,12%
S.Longstaff,NEW,(H): BOU,0.13,12%
Tierney,ARS,(A): BRE,0.13,12%
Solanke,BOU,(A): NEW,0.13,12%
Vinagre,EVE,(H): WHU,0.13,12%
Mateta,CRY,(A): BHA,0.13,12%
Rodri,MCI,(A): WOL,0.13,12%
Pérez,LEI,(A): TOT,0.12,12%
Aaronson,LEE,(A): MUN,0.12,12%
Hwang,WOL,(H): MCI,0.12,12%
Jones,LIV,(A): CHE,0.12,11%
Skipp,TOT,(H): LEI,0.12,11%
Højbjerg,TOT,(H): LEI,0.12,11%
Thiago,LIV,(A): CHE,0.12,11%
Podence,WOL,(H): MCI,0.12,11%
Sergio Gómez,MCI,(A): WOL,0.12,11%
Mykolenko,EVE,(H): WHU,0.12,11%
Moore,BOU,(A): NEW,0.12,11%
Iheanacho,LEI,(A): TOT,0.12,11%
Dalot,MUN,(H): LEE,0.12,11%
Henderson,LIV,(A): CHE,0.11,11%
McGinn,AVL,(H): SOU,0.11,11%
Cancelo,MCI,(A): WOL,0.11,11%
Praet,LEI,(A): TOT,0.11,11%
Cucurella,CHE,(H): LIV,0.11,11%
A.Doucouré,EVE,(H): WHU,0.11,11%
Keita,LIV,(A): CHE,0.11,11%
Patterson,EVE,(H): WHU,0.11,10%
Albrighton,LEI,(A): TOT,0.11,10%
Djenepo,SOU,(A): AVL,0.11,10%
Rothwell,BOU,(A): NEW,0.11,10%
Daka,LEI,(A): TOT,0.11,10%
Cresswell,WHU,(A): EVE,0.11,10%
Billing,BOU,(A): NEW,0.11,10%
Bryan,FUL,(A): NFO,0.11,10%
Coufal,WHU,(A): EVE,0.11,10%
Chilwell,CHE,(H): LIV,0.11,10%
Iwobi,EVE,(H): WHU,0.10,10%
Adama,WOL,(H): MCI,0.10,10%
McArthur,CRY,(A): BHA,0.10,10%
Davies,EVE,(H): WHU,0.10,10%
Willock,NEW,(H): BOU,0.10,10%
Freuler,NFO,(H): FUL,0.10,10%
Elneny,ARS,(A): BRE,0.10,10%
Mangala,NFO,(H): FUL,0.10,10%
Douglas Luiz,AVL,(H): SOU,0.10,10%
Sambi,ARS,(A): BRE,0.10,9%
Biancone,NFO,(H): FUL,0.10,9%
Casemiro,MUN,(H): LEE,0.10,9%
