Name,Team,Fixture,eGoals/90,Anytime%
De Bruyne,MCI,(H): SOU,0.48,38%
Foden,MCI,(H): SOU,0.39,32%
Haaland,MCI,(H): SOU,0.37,31%
Mahrez,MCI,(H): SOU,0.36,30%
Grealish,MCI,(H): SOU,0.36,30%
Álvarez,MCI,(H): SOU,0.34,29%
Mount,CHE,(H): WOL,0.32,28%
Bernardo,MCI,(H): SOU,0.31,26%
James,CHE,(H): WOL,0.30,26%
Bowen,WHU,(H): FUL,0.30,26%
Saint-Maximin,NEW,(H): BRE,0.26,23%
Benrahma,WHU,(H): FUL,0.26,23%
Maddison,LEI,(A): BOU,0.26,23%
Firmino,LIV,(A): ARS,0.26,23%
Sterling,CHE,(H): WOL,0.26,23%
Olise,CRY,(H): LEE,0.25,22%
Kulusevski,TOT,(A): BHA,0.25,22%
Eze,CRY,(H): LEE,0.24,21%
Groß,BHA,(H): TOT,0.24,21%
Fraser,NEW,(H): BRE,0.24,21%
Barnes,LEI,(A): BOU,0.24,21%
Havertz,CHE,(H): WOL,0.24,21%
Salah,LIV,(A): ARS,0.24,21%
Antonio,WHU,(H): FUL,0.24,21%
Pulisic,CHE,(H): WOL,0.24,21%
Bailey,AVL,(A): NFO,0.23,21%
Palmer,MCI,(H): SOU,0.23,21%
Fornals,WHU,(H): FUL,0.23,21%
Pierre-Emerick Aubameyang,CHE,(H): WOL,0.23,21%
Son,TOT,(A): BHA,0.23,21%
Lucas Moura,TOT,(A): BHA,0.23,20%
Stanislas,BOU,(H): LEI,0.22,20%
Buendía,AVL,(A): NFO,0.22,20%
Edouard,CRY,(H): LEE,0.22,20%
Ebiowei,CRY,(H): LEE,0.22,20%
Harrison,LEE,(A): CRY,0.21,19%
Elanga,MUN,(A): EVE,0.21,19%
Diogo Jota,LIV,(A): ARS,0.21,19%
Luis Díaz,LIV,(A): ARS,0.21,19%
Perišić,TOT,(A): BHA,0.21,19%
Richarlison,TOT,(A): BHA,0.21,19%
Saka,ARS,(H): LIV,0.21,19%
Lanzini,WHU,(H): FUL,0.21,19%
Gray,EVE,(H): MUN,0.20,19%
Gordon,EVE,(H): MUN,0.20,18%
Coutinho,AVL,(A): NFO,0.20,18%
Watkins,AVL,(A): NFO,0.20,18%
Trossard,BHA,(H): TOT,0.20,18%
Vardy,LEI,(A): BOU,0.20,18%
Phillips,MCI,(H): SOU,0.20,18%
Gündogan,MCI,(H): SOU,0.20,18%
Kane,TOT,(A): BHA,0.20,18%
Gibbs-White,NFO,(H): AVL,0.20,18%
Cornet,WHU,(H): FUL,0.20,18%
Wilson,FUL,(A): WHU,0.20,18%
Murphy,NEW,(H): BRE,0.20,18%
Carvalho,LIV,(A): ARS,0.20,18%
Darwin,LIV,(A): ARS,0.19,18%
Ings,AVL,(A): NFO,0.19,17%
Sancho,MUN,(A): EVE,0.19,17%
Antony,MUN,(A): EVE,0.19,17%
Zaha,CRY,(H): LEE,0.19,17%
Alexander-Arnold,LIV,(A): ARS,0.19,17%
Anthony,BOU,(H): LEI,0.19,17%
Scamacca,WHU,(H): FUL,0.19,17%
Christie,BOU,(H): LEI,0.18,17%
Ayew,CRY,(H): LEE,0.18,17%
Pérez,LEI,(A): BOU,0.18,17%
Rashford,MUN,(A): EVE,0.18,17%
Lingard,NFO,(H): AVL,0.18,16%
Toney,BRE,(A): NEW,0.18,16%
Mateta,CRY,(H): LEE,0.18,16%
Almirón,NEW,(H): BRE,0.18,16%
Gallagher,CHE,(H): WOL,0.18,16%
Archer,AVL,(A): NFO,0.18,16%
Iheanacho,LEI,(A): BOU,0.17,16%
McNeil,EVE,(H): MUN,0.17,16%
Praet,LEI,(A): BOU,0.17,16%
Mbeumo,BRE,(A): NEW,0.17,16%
Chilwell,CHE,(H): WOL,0.17,16%
Johnson,NFO,(H): AVL,0.17,16%
Welbeck,BHA,(H): TOT,0.17,16%
Cucurella,CHE,(H): WOL,0.17,16%
Enciso,BHA,(H): TOT,0.17,16%
Rodri,MCI,(H): SOU,0.17,16%
Isak,NEW,(H): BRE,0.17,16%
Rodrigo,LEE,(A): CRY,0.17,15%
Daka,LEI,(A): BOU,0.17,15%
Eriksen,MUN,(A): EVE,0.17,15%
Martial,MUN,(A): EVE,0.17,15%
Dembélé,BOU,(H): LEI,0.16,15%
Maupay,EVE,(H): MUN,0.16,15%
Sinisterra,LEE,(A): CRY,0.16,15%
Solanke,BOU,(H): LEI,0.16,15%
Damsgaard,BRE,(A): NEW,0.16,15%
Fernandes,MUN,(A): EVE,0.16,15%
Gelhardt,LEE,(A): CRY,0.16,15%
Lewis-Potter,BRE,(A): NEW,0.16,15%
Fábio Vieira,ARS,(H): LIV,0.16,15%
Albrighton,LEI,(A): BOU,0.16,15%
Wilson,NEW,(H): BRE,0.16,15%
Nketiah,ARS,(H): LIV,0.16,15%
Undav,BHA,(H): TOT,0.16,14%
James,LEE,(A): CRY,0.16,14%
Smith Rowe,ARS,(H): LIV,0.15,14%
Mitoma,BHA,(H): TOT,0.15,14%
Dennis,NFO,(H): AVL,0.15,14%
Wissa,BRE,(A): NEW,0.15,14%
Milner,LIV,(A): ARS,0.15,14%
Ronaldo,MUN,(A): EVE,0.15,14%
Guedes,WOL,(A): CHE,0.15,14%
Moore,BOU,(H): LEI,0.15,14%
Loftus-Cheek,CHE,(H): WOL,0.15,14%
Cancelo,MCI,(H): SOU,0.15,14%
Andreas,FUL,(A): WHU,0.15,14%
Neto,WOL,(A): CHE,0.15,14%
Martinelli,ARS,(H): LIV,0.15,14%
Elliott,LIV,(A): ARS,0.15,14%
Jesus,ARS,(H): LIV,0.15,14%
Tsimikas,LIV,(A): ARS,0.15,14%
Lallana,BHA,(H): TOT,0.14,13%
Canós,BRE,(A): NEW,0.14,13%
Mwepu,BHA,(H): TOT,0.14,13%
Doherty,TOT,(A): BHA,0.14,13%
Rothwell,BOU,(H): LEI,0.14,13%
McArthur,CRY,(H): LEE,0.14,13%
Cresswell,WHU,(H): FUL,0.14,13%
Trippier,NEW,(H): BRE,0.14,13%
Jensen,BRE,(A): NEW,0.14,13%
March,BHA,(H): TOT,0.14,13%
Kovacic,CHE,(H): WOL,0.14,13%
Kanté,CHE,(H): WOL,0.14,13%
Coufal,WHU,(H): FUL,0.14,13%
Bamford,LEE,(A): CRY,0.14,13%
Calvert-Lewin,EVE,(H): MUN,0.14,13%
Awoniyi,NFO,(H): AVL,0.14,13%
Billing,BOU,(H): LEI,0.14,13%
Aaronson,LEE,(A): CRY,0.14,13%
Bruno Guimarães,NEW,(H): BRE,0.14,13%
Digne,AVL,(A): NFO,0.13,13%
N.Williams,NFO,(H): AVL,0.13,13%
Dewsbury-Hall,LEI,(A): BOU,0.13,12%
Van de Beek,MUN,(A): EVE,0.13,12%
Emerson Royal,TOT,(A): BHA,0.13,12%
Toffolo,NFO,(H): AVL,0.13,12%
Hughes,CRY,(H): LEE,0.13,12%
Stansfield,FUL,(A): WHU,0.13,12%
Robertson,LIV,(A): ARS,0.13,12%
Ødegaard,ARS,(H): LIV,0.13,12%
Lamptey,BHA,(H): TOT,0.13,12%
Hwang,WOL,(A): CHE,0.13,12%
Fred,MUN,(A): EVE,0.13,12%
De Cordova-Reid,FUL,(A): WHU,0.13,12%
Young,AVL,(A): NFO,0.13,12%
Azpilicueta,CHE,(H): WOL,0.13,12%
Kebano,FUL,(A): WHU,0.13,12%
Jones,LIV,(A): ARS,0.13,12%
R.Sessegnon,TOT,(A): BHA,0.12,12%
Tavernier,BOU,(H): LEI,0.12,12%
Milivojevic,CRY,(H): LEE,0.12,12%
Rice,WHU,(H): FUL,0.12,11%
Xhaka,ARS,(H): LIV,0.12,11%
Ghoddos,BRE,(A): NEW,0.12,11%
Tielemans,LEI,(A): BOU,0.12,11%
Henderson,LIV,(A): ARS,0.12,11%
Podence,WOL,(A): CHE,0.12,11%
Mitrović,FUL,(A): WHU,0.12,11%
Thiago,LIV,(A): ARS,0.12,11%
