Name,Team,Fixture,eGoals/90,Anytime%
Firmino,LIV,(H): WOL,0.44,35%
Salah,LIV,(H): WOL,0.39,32%
De Bruyne,MCI,(H): TOT,0.36,30%
Saka,ARS,(H): EVE,0.34,29%
Harrison,LEE,(H): NFO,0.34,29%
Diogo Jota,LIV,(H): WOL,0.34,29%
Luis Díaz,LIV,(H): WOL,0.34,28%
Alexander-Arnold,LIV,(H): WOL,0.32,28%
Darwin,LIV,(H): WOL,0.32,28%
Carvalho,LIV,(H): WOL,0.31,27%
Groß,BHA,(A): BOU,0.30,26%
Maddison,LEI,(H): AVL,0.29,25%
Foden,MCI,(H): TOT,0.28,24%
Mount,CHE,(A): FUL,0.27,24%
James,CHE,(A): FUL,0.27,24%
Barnes,LEI,(H): AVL,0.27,23%
Nketiah,ARS,(H): EVE,0.27,23%
Milner,LIV,(H): WOL,0.27,23%
Haaland,MCI,(H): TOT,0.26,23%
Rodrigo,LEE,(H): NFO,0.26,23%
Sinisterra,LEE,(H): NFO,0.26,23%
Bowen,WHU,(H): NEW,0.25,22%
James,LEE,(H): NFO,0.25,22%
Tsimikas,LIV,(H): WOL,0.25,22%
Grealish,MCI,(H): TOT,0.24,22%
Mahrez,MCI,(H): TOT,0.24,22%
Fábio Vieira,ARS,(H): EVE,0.24,22%
Jesus,ARS,(H): EVE,0.24,22%
Trossard,BHA,(A): BOU,0.24,21%
Álvarez,MCI,(H): TOT,0.24,21%
Smith Rowe,ARS,(H): EVE,0.23,21%
Elliott,LIV,(H): WOL,0.23,21%
Martinelli,ARS,(H): EVE,0.23,21%
Benrahma,WHU,(H): NEW,0.22,20%
Vardy,LEI,(H): AVL,0.22,20%
Olise,CRY,(H): MUN,0.22,20%
Bamford,LEE,(H): NFO,0.22,20%
Sterling,CHE,(A): FUL,0.22,19%
Ødegaard,ARS,(H): EVE,0.21,19%
Bernardo,MCI,(H): TOT,0.21,19%
Robertson,LIV,(H): WOL,0.21,19%
Stanislas,BOU,(H): BHA,0.21,19%
Eze,CRY,(H): MUN,0.21,19%
Gabriel,ARS,(H): EVE,0.21,19%
Toney,BRE,(A): SOU,0.21,19%
Aaronson,LEE,(H): NFO,0.21,19%
Welbeck,BHA,(A): BOU,0.20,18%
Antonio,WHU,(H): NEW,0.20,18%
Pérez,LEI,(H): AVL,0.20,18%
Havertz,CHE,(A): FUL,0.20,18%
Mbeumo,BRE,(A): SOU,0.20,18%
Jones,LIV,(H): WOL,0.20,18%
Pulisic,CHE,(A): FUL,0.20,18%
Saint-Maximin,NEW,(A): WHU,0.20,18%
Bailey,AVL,(A): LEI,0.20,18%
Fornals,WHU,(H): NEW,0.20,18%
Pierre-Emerick Aubameyang,CHE,(A): FUL,0.20,18%
Mitoma,BHA,(A): BOU,0.19,18%
Edouard,CRY,(H): MUN,0.19,18%
Ebiowei,CRY,(H): MUN,0.19,17%
Iheanacho,LEI,(H): AVL,0.19,17%
Xhaka,ARS,(H): EVE,0.19,17%
Henderson,LIV,(H): WOL,0.19,17%
Elanga,MUN,(A): CRY,0.19,17%
Praet,LEI,(H): AVL,0.19,17%
Ward-Prowse,SOU,(H): BRE,0.19,17%
Undav,BHA,(A): BOU,0.19,17%
A.Armstrong,SOU,(H): BRE,0.19,17%
Adams,SOU,(H): BRE,0.19,17%
Buendía,AVL,(A): LEI,0.18,17%
Damsgaard,BRE,(A): SOU,0.18,17%
Anthony,BOU,(H): BHA,0.18,17%
Keita,LIV,(H): WOL,0.18,17%
Lewis-Potter,BRE,(A): SOU,0.18,17%
Zinchenko,ARS,(H): EVE,0.18,17%
Aribo,SOU,(H): BRE,0.18,17%
Christie,BOU,(H): BHA,0.18,17%
Mara,SOU,(H): BRE,0.18,17%
Mwepu,BHA,(A): BOU,0.18,16%
Fraser,NEW,(A): WHU,0.18,16%
Albrighton,LEI,(H): AVL,0.18,16%
Daka,LEI,(H): AVL,0.18,16%
Redmond,SOU,(H): BRE,0.18,16%
S.Armstrong,SOU,(H): BRE,0.18,16%
Wissa,BRE,(A): SOU,0.17,16%
Lanzini,WHU,(H): NEW,0.17,16%
Sancho,MUN,(A): CRY,0.17,16%
Elyounoussi,SOU,(H): BRE,0.17,16%
Antony,MUN,(A): CRY,0.17,16%
Coutinho,AVL,(A): LEI,0.17,15%
Cucurella,CHE,(A): FUL,0.17,15%
Cornet,WHU,(H): NEW,0.17,15%
Watkins,AVL,(A): LEI,0.17,15%
Tierney,ARS,(H): EVE,0.16,15%
Zaha,CRY,(H): MUN,0.16,15%
Kulusevski,TOT,(A): MCI,0.16,15%
Andreas,FUL,(H): CHE,0.16,15%
Gibbs-White,NFO,(A): LEE,0.16,15%
Rashford,MUN,(A): CRY,0.16,15%
Ings,AVL,(A): LEI,0.16,15%
Jensen,BRE,(A): SOU,0.16,15%
Ayew,CRY,(H): MUN,0.16,15%
Scamacca,WHU,(H): NEW,0.16,15%
Solanke,BOU,(H): BHA,0.16,14%
March,BHA,(A): BOU,0.16,14%
Dembélé,BOU,(H): BHA,0.15,14%
Lamptey,BHA,(A): BOU,0.15,14%
Mateta,CRY,(H): MUN,0.15,14%
Fernandes,MUN,(A): CRY,0.15,14%
Martial,MUN,(A): CRY,0.15,14%
Son,TOT,(A): MCI,0.15,14%
Chilwell,CHE,(A): FUL,0.15,14%
Eriksen,MUN,(A): CRY,0.15,14%
Moore,BOU,(H): BHA,0.14,13%
Lingard,NFO,(A): LEE,0.14,13%
Archer,AVL,(A): LEI,0.14,13%
Gray,EVE,(A): ARS,0.14,13%
Dewsbury-Hall,LEI,(H): AVL,0.14,13%
Gordon,EVE,(A): ARS,0.14,13%
Firpo,LEE,(H): NFO,0.14,13%
Stansfield,FUL,(H): CHE,0.14,13%
Gündogan,MCI,(H): TOT,0.14,13%
Richarlison,TOT,(A): MCI,0.14,13%
De Cordova-Reid,FUL,(H): CHE,0.14,13%
Ronaldo,MUN,(A): CRY,0.14,13%
Johnson,NFO,(A): LEE,0.13,13%
Perišić,TOT,(A): MCI,0.13,13%
Gallagher,CHE,(A): FUL,0.13,12%
Klich,LEE,(H): NFO,0.13,12%
Billing,BOU,(H): BHA,0.13,12%
Kebano,FUL,(H): CHE,0.13,12%
Tielemans,LEI,(H): AVL,0.13,12%
Djenepo,SOU,(H): BRE,0.13,12%
Kane,TOT,(A): MCI,0.13,12%
Mitrović,FUL,(H): CHE,0.13,12%
Almirón,NEW,(A): WHU,0.13,12%
Estupiñán,BHA,(A): BOU,0.13,12%
McArthur,CRY,(H): MUN,0.13,12%
Guedes,WOL,(A): LIV,0.13,12%
Isak,NEW,(A): WHU,0.13,12%
Sambi,ARS,(H): EVE,0.12,12%
Dennis,NFO,(A): LEE,0.12,12%
Loftus-Cheek,CHE,(A): FUL,0.12,12%
Struijk,LEE,(H): NFO,0.12,11%
Phillips,MCI,(H): TOT,0.12,11%
Van de Beek,MUN,(A): CRY,0.12,11%
Neto,WOL,(A): LIV,0.12,11%
Francois,FUL,(H): CHE,0.12,11%
Tavernier,BOU,(H): BHA,0.12,11%
Kovacic,CHE,(A): FUL,0.12,11%
Coufal,WHU,(H): NEW,0.12,11%
Fred,MUN,(A): CRY,0.12,11%
Tomiyasu,ARS,(H): EVE,0.12,11%
Fabinho,LIV,(H): WOL,0.12,11%
Rodri,MCI,(H): TOT,0.12,11%
Cresswell,WHU,(H): NEW,0.12,11%
McNeil,EVE,(A): ARS,0.12,11%
Maupay,EVE,(A): ARS,0.11,11%
Wood,NEW,(A): WHU,0.11,11%
Digne,AVL,(A): LEI,0.11,10%
Ajer,BRE,(A): SOU,0.11,10%
Hughes,CRY,(H): MUN,0.11,10%
Toffolo,NFO,(A): LEE,0.11,10%
Alzate,BHA,(A): BOU,0.11,10%
Azpilicueta,CHE,(A): FUL,0.11,10%
Awoniyi,NFO,(A): LEE,0.11,10%
Cairney,FUL,(H): CHE,0.11,10%
Gomez,LIV,(H): WOL,0.11,10%
Cancelo,MCI,(H): TOT,0.11,10%
Janelt,BRE,(A): SOU,0.10,10%
N.Williams,NFO,(A): LEE,0.10,10%
Milivojevic,CRY,(H): MUN,0.10,10%
Rice,WHU,(H): NEW,0.10,10%
Thomas,LEI,(H): AVL,0.10,10%
Trippier,NEW,(A): WHU,0.10,10%
Hwang,WOL,(A): LIV,0.10,10%
Bruno Guimarães,NEW,(A): WHU,0.10,10%
Rondón,EVE,(A): ARS,0.10,10%
Dasilva,BRE,(A): SOU,0.10,9%
Shaw,MUN,(A): CRY,0.10,9%
Diallo,SOU,(H): BRE,0.10,9%
Fredericks,BOU,(H): BHA,0.10,9%
Nørgaard,BRE,(A): SOU,0.10,9%
Soumaré,LEI,(H): AVL,0.10,9%
Podence,WOL,(A): LIV,0.10,9%
Jorginho,CHE,(A): FUL,0.10,9%
Romeu,SOU,(H): BRE,0.10,9%
Roca,LEE,(H): NFO,0.10,9%
Doherty,TOT,(A): MCI,0.10,9%
Mac Allister,BHA,(A): BOU,0.09,9%
Caicedo,BHA,(A): BOU,0.09,9%
Baptiste,BRE,(A): SOU,0.09,9%
Perraud,SOU,(H): BRE,0.09,9%
Calvert-Lewin,EVE,(A): ARS,0.09,9%
