Name,Team,Fixture,eGoals/90,Anytime%
Emerson,WHU,(H): NEW,0.09,9%
Smith,BOU,(H): BHA,0.09,9%
Mitchell,CRY,(H): MUN,0.09,9%
Lerma,BOU,(H): BHA,0.09,9%
Bryan,FUL,(H): CHE,0.09,8%
Lavia,SOU,(H): BRE,0.09,8%
Cafú,NFO,(A): LEE,0.09,8%
Joelinton,NEW,(A): WHU,0.09,8%
Walker-Peters,SOU,(H): BRE,0.09,8%
Henry,BRE,(A): SOU,0.09,8%
Kristensen,LEE,(H): NFO,0.09,8%
Targett,NEW,(A): WHU,0.09,8%
Valery,SOU,(H): BRE,0.09,8%
Dalot,MUN,(A): CRY,0.09,8%
Stacey,BOU,(H): BHA,0.08,8%
Adama,WOL,(A): LIV,0.08,8%
Zemura,BOU,(H): BHA,0.08,8%
Ndidi,LEI,(H): AVL,0.08,8%
S.Longstaff,NEW,(A): WHU,0.08,8%
Emerson Royal,TOT,(A): MCI,0.08,8%
Pearson,BOU,(H): BHA,0.08,8%
Matip,LIV,(H): WOL,0.08,8%
R.Sessegnon,TOT,(A): MCI,0.08,8%
McGinn,AVL,(A): LEI,0.08,8%
Soucek,WHU,(H): NEW,0.08,8%
Clyne,CRY,(H): MUN,0.08,8%
Tete,FUL,(H): CHE,0.08,8%
C.Doucouré,CRY,(H): MUN,0.08,8%
Cook,BOU,(H): BHA,0.08,8%
Mykolenko,EVE,(A): ARS,0.08,7%
Jiménez,WOL,(A): LIV,0.08,7%
Vinagre,EVE,(A): ARS,0.08,7%
Schlupp,CRY,(H): MUN,0.07,7%
A.Doucouré,EVE,(A): ARS,0.07,7%
Walker,MCI,(H): TOT,0.07,7%
Biancone,NFO,(A): LEE,0.07,7%
Bissouma,TOT,(A): MCI,0.07,7%
Freuler,NFO,(A): LEE,0.07,7%
Casemiro,MUN,(A): CRY,0.07,7%
Nakamba,AVL,(A): LEI,0.07,7%
Dias,MCI,(H): TOT,0.07,7%
Bentancur,TOT,(A): MCI,0.07,7%
White,ARS,(H): EVE,0.07,7%
Douglas Luiz,AVL,(A): LEI,0.07,7%
Patterson,EVE,(A): ARS,0.07,7%
Adams,LEE,(H): NFO,0.07,7%
Cash,AVL,(A): LEI,0.07,7%
Castagne,LEI,(H): AVL,0.07,7%
Colback,NFO,(A): LEE,0.07,7%
Hickey,BRE,(A): SOU,0.07,7%
Mbabu,FUL,(H): CHE,0.07,7%
Stones,MCI,(H): TOT,0.07,7%
Wan-Bissaka,MUN,(A): CRY,0.07,7%
Moutinho,WOL,(A): LIV,0.07,7%
Iwobi,EVE,(A): ARS,0.07,6%
Davies,EVE,(A): ARS,0.07,6%
Malacia,MUN,(A): CRY,0.07,6%
Ramsey,AVL,(A): LEI,0.07,6%
Willock,NEW,(A): WHU,0.07,6%
Colwill,BHA,(A): BOU,0.07,6%
Roerslev,BRE,(A): SOU,0.06,6%
Justin,LEI,(H): AVL,0.06,6%
McTominay,MUN,(A): CRY,0.06,6%
Allan,EVE,(A): ARS,0.06,6%
Ayling,LEE,(H): NFO,0.06,6%
Andersen,CRY,(H): MUN,0.06,6%
Neves,WOL,(A): LIV,0.06,6%
Johnson,WHU,(H): NEW,0.06,6%
Højbjerg,TOT,(A): MCI,0.06,6%
O'Brien,NFO,(A): LEE,0.06,6%
Reed,FUL,(H): CHE,0.06,6%
Yates,NFO,(A): LEE,0.06,6%
Onana,EVE,(A): ARS,0.06,6%
Chalobah,FUL,(H): CHE,0.06,5%
Ward,CRY,(H): MUN,0.06,5%
Robinson,FUL,(H): CHE,0.06,5%
Palhinha,FUL,(H): CHE,0.05,5%
Kamara,AVL,(A): LEI,0.05,5%
Aït-Nouri,WOL,(A): LIV,0.05,5%
Saliba,ARS,(H): EVE,0.05,5%
Coleman,EVE,(A): ARS,0.05,5%
Matheus,WOL,(A): LIV,0.05,5%
Dendoncker,WOL,(A): LIV,0.05,5%
Konaté,LIV,(H): WOL,0.05,5%
Van Dijk,LIV,(H): WOL,0.05,4%
Dawson,WHU,(H): NEW,0.04,4%
Semedo,WOL,(A): LIV,0.04,4%
Jonny,WOL,(A): LIV,0.04,4%
Aké,MCI,(H): TOT,0.04,4%
Koulibaly,CHE,(A): FUL,0.04,4%
Mings,AVL,(A): LEI,0.04,4%
Kelly,BOU,(H): BHA,0.04,4%
Veltman,BHA,(A): BOU,0.04,4%
Guéhi,CRY,(H): MUN,0.04,4%
Schär,NEW,(A): WHU,0.04,4%
Cooper,LEE,(H): NFO,0.04,4%
Bednarek,SOU,(H): BRE,0.03,3%
Coady,EVE,(A): ARS,0.03,3%
Mee,BRE,(A): SOU,0.03,3%
Chambers,AVL,(A): LEI,0.03,3%
Koch,LEE,(H): NFO,0.03,3%
Diop,FUL,(H): CHE,0.03,3%
Zanka,BRE,(A): SOU,0.03,3%
Llorente,LEE,(H): NFO,0.03,3%
Bella-Kotchap,SOU,(H): BRE,0.03,3%
Burn,NEW,(A): WHU,0.03,3%
Lyanco,SOU,(H): BRE,0.03,3%
Webster,BHA,(A): BOU,0.03,3%
Evans,LEI,(H): AVL,0.03,3%
Hill,BOU,(H): BHA,0.03,3%
Dunk,BHA,(A): BOU,0.03,3%
Thiago Silva,CHE,(A): FUL,0.03,3%
Keane,EVE,(A): ARS,0.03,3%
Tarkowski,EVE,(A): ARS,0.03,3%
Fofana,CHE,(A): FUL,0.03,3%
Botman,NEW,(A): WHU,0.03,3%
McKenna,NFO,(A): LEE,0.03,3%
Amartey,LEI,(H): AVL,0.03,3%
Martínez,MUN,(A): CRY,0.03,3%
Senesi,BOU,(H): BHA,0.03,3%
Söyüncü,LEI,(H): AVL,0.03,3%
Varane,MUN,(A): CRY,0.03,3%
Zouma,WHU,(H): NEW,0.03,2%
Lenglet,TOT,(A): MCI,0.03,2%
Kehrer,WHU,(H): NEW,0.03,2%
Mepham,BOU,(H): BHA,0.02,2%
Tosin,FUL,(H): CHE,0.02,2%
Jansson,BRE,(A): SOU,0.02,2%
Maguire,MUN,(A): CRY,0.02,2%
Kouyaté,NFO,(A): LEE,0.02,2%
Konsa,AVL,(A): LEI,0.02,2%
Pickford,EVE,(A): ARS,0.02,2%
Salisu,SOU,(H): BRE,0.02,2%
Davies,TOT,(A): MCI,0.02,2%
Ream,FUL,(H): CHE,0.02,2%
Cook,NFO,(A): LEE,0.02,2%
Worrall,NFO,(A): LEE,0.02,2%
Sánchez,TOT,(A): MCI,0.02,2%
Collins,WOL,(A): LIV,0.02,2%
Romero,TOT,(A): MCI,0.01,1%
Boly,WOL,(A): LIV,0.01,1%
Alisson,LIV,(H): WOL,0.01,1%
Dier,TOT,(A): MCI,0.01,1%
Kilman,WOL,(A): LIV,0.01,1%
Sánchez,BHA,(A): BOU,0.00,0%
Bazunu,SOU,(H): BRE,0.00,0%
Sá,WOL,(A): LIV,0.00,0%
Leno,FUL,(H): CHE,0.00,0%
Ramsdale,ARS,(H): EVE,0.00,0%
Meslier,LEE,(H): NFO,0.00,0%
Ward,LEI,(H): AVL,0.00,0%
Ederson,MCI,(H): TOT,0.00,0%
Neto,BOU,(H): BHA,0.00,0%
Martínez,AVL,(A): LEI,0.00,0%
Travers,BOU,(H): BHA,0.00,0%
Raya,BRE,(A): SOU,0.00,0%
Mendy,CHE,(A): FUL,0.00,0%
Guaita,CRY,(H): MUN,0.00,0%
De Gea,MUN,(A): CRY,0.00,0%
Pope,NEW,(A): WHU,0.00,0%
Henderson,NFO,(A): LEE,0.00,0%
Lloris,TOT,(A): MCI,0.00,0%
Fabianski,WHU,(H): NEW,0.00,0%
