Name,Team,Fixture,eGoals/90,Anytime%
De Bruyne,MCI,(A): NEW,0.42,34%
Kulusevski,TOT,(H): WOL,0.39,32%
Maddison,LEI,(H): SOU,0.36,31%
Son,TOT,(H): WOL,0.35,29%
Lucas Moura,TOT,(H): WOL,0.33,28%
Richarlison,TOT,(H): WOL,0.32,27%
Salah,LIV,(A): MUN,0.31,27%
Kane,TOT,(H): WOL,0.31,27%
Foden,MCI,(A): NEW,0.29,25%
Gray,EVE,(H): NFO,0.28,24%
Luis Díaz,LIV,(A): MUN,0.28,24%
Haaland,MCI,(A): NEW,0.28,24%
Saka,ARS,(A): BOU,0.28,24%
Mount,CHE,(A): LEE,0.26,23%
Iheanacho,LEI,(H): SOU,0.26,23%
Gordon,EVE,(H): NFO,0.25,22%
Toney,BRE,(A): FUL,0.25,22%
Grealish,MCI,(A): NEW,0.25,22%
Bowen,WHU,(H): BHA,0.25,22%
Mahrez,MCI,(A): NEW,0.25,22%
Álvarez,MCI,(A): NEW,0.25,22%
Perišić,TOT,(H): WOL,0.25,22%
Daka,LEI,(H): SOU,0.24,21%
Ziyech,CHE,(A): LEE,0.24,21%
Eze,CRY,(H): AVL,0.24,21%
Olise,CRY,(H): AVL,0.23,21%
Alexander-Arnold,LIV,(A): MUN,0.23,21%
James,CHE,(A): LEE,0.23,21%
Vardy,LEI,(H): SOU,0.23,21%
Praet,LEI,(H): SOU,0.23,21%
Carvalho,LIV,(A): MUN,0.23,20%
Doherty,TOT,(H): WOL,0.23,20%
Albrighton,LEI,(H): SOU,0.22,20%
Benrahma,WHU,(H): BHA,0.22,20%
McNeil,EVE,(H): NFO,0.22,20%
Dele,EVE,(H): NFO,0.22,20%
Smith Rowe,ARS,(A): BOU,0.22,20%
Jesus,ARS,(A): BOU,0.21,19%
Broja,CHE,(A): LEE,0.21,19%
Firmino,LIV,(A): MUN,0.21,19%
Mbeumo,BRE,(A): FUL,0.21,19%
Sterling,CHE,(A): LEE,0.21,19%
Nketiah,ARS,(A): BOU,0.21,19%
Rondón,EVE,(H): NFO,0.21,19%
Andreas,FUL,(H): BRE,0.21,19%
Dewsbury-Hall,LEI,(H): SOU,0.20,18%
Stanislas,BOU,(H): ARS,0.20,18%
Hudson-Odoi,CHE,(A): LEE,0.20,18%
Pulisic,CHE,(A): LEE,0.20,18%
De Cordova-Reid,FUL,(H): BRE,0.20,18%
Groß,BHA,(A): WHU,0.20,18%
Ebiowei,CRY,(H): AVL,0.20,18%
Buendía,AVL,(A): CRY,0.19,18%
Martinelli,ARS,(A): BOU,0.19,17%
Havertz,CHE,(A): LEE,0.19,17%
Emerson Royal,TOT,(H): WOL,0.19,17%
Antonio,WHU,(H): BHA,0.19,17%
Kebano,FUL,(H): BRE,0.19,17%
Ødegaard,ARS,(A): BOU,0.19,17%
Welbeck,BHA,(A): WHU,0.18,17%
Edouard,CRY,(H): AVL,0.18,17%
Harrison,LEE,(H): CHE,0.18,17%
Bernardo,MCI,(A): NEW,0.18,16%
Fornals,WHU,(H): BHA,0.18,16%
Jensen,BRE,(A): FUL,0.18,16%
Muniz,FUL,(H): BRE,0.18,16%
R.Sessegnon,TOT,(H): WOL,0.18,16%
Bentancur,TOT,(H): WOL,0.18,16%
Milner,LIV,(A): MUN,0.17,16%
Ayew,CRY,(H): AVL,0.17,16%
Tielemans,LEI,(H): SOU,0.17,16%
Watkins,AVL,(A): CRY,0.17,16%
Robertson,LIV,(A): MUN,0.17,15%
Lanzini,WHU,(H): BHA,0.17,15%
Mwepu,BHA,(A): WHU,0.17,15%
Bailey,AVL,(A): CRY,0.17,15%
Bissouma,TOT,(H): WOL,0.17,15%
Mitrović,FUL,(H): BRE,0.16,15%
Wissa,BRE,(A): FUL,0.16,15%
Elliott,LIV,(A): MUN,0.16,15%
Maupay,BHA,(A): WHU,0.16,15%
Zaha,CRY,(H): AVL,0.16,15%
Sinisterra,LEE,(H): CHE,0.16,15%
Coutinho,AVL,(A): CRY,0.16,15%
Ings,AVL,(A): CRY,0.16,15%
Undav,BHA,(A): WHU,0.16,15%
Scamacca,WHU,(H): BHA,0.16,15%
Christie,BOU,(H): ARS,0.16,15%
Lingard,NFO,(A): EVE,0.16,15%
Cornet,WHU,(H): BHA,0.16,15%
Francois,FUL,(H): BRE,0.15,14%
Cairney,FUL,(H): BRE,0.15,14%
Neto,WOL,(A): TOT,0.15,14%
Mateta,CRY,(H): AVL,0.15,14%
Johnson,NFO,(A): EVE,0.15,14%
Dennis,NFO,(A): EVE,0.15,14%
Anthony,BOU,(H): ARS,0.15,14%
Rodrigo,LEE,(H): CHE,0.15,14%
James,LEE,(H): CHE,0.15,14%
Fraser,NEW,(H): MCI,0.15,14%
Iwobi,EVE,(H): NFO,0.15,14%
Dembélé,BOU,(H): ARS,0.15,14%
Trossard,BHA,(A): WHU,0.15,14%
Rashford,MUN,(H): LIV,0.15,14%
Sancho,MUN,(H): LIV,0.15,14%
Gelhardt,LEE,(H): CHE,0.15,14%
Zinchenko,ARS,(A): BOU,0.14,13%
Ward-Prowse,SOU,(A): LEI,0.14,13%
Vinagre,EVE,(H): NFO,0.14,13%
Mykolenko,EVE,(H): NFO,0.14,13%
Thomas,LEI,(H): SOU,0.14,13%
Solanke,BOU,(H): ARS,0.14,13%
Davies,EVE,(H): NFO,0.14,13%
Patterson,EVE,(H): NFO,0.14,13%
Xhaka,ARS,(A): BOU,0.14,13%
Chilwell,CHE,(A): LEE,0.14,13%
A.Armstrong,SOU,(A): LEI,0.14,13%
Aribo,SOU,(A): LEI,0.14,13%
A.Doucouré,EVE,(H): NFO,0.14,13%
Billing,BOU,(H): ARS,0.14,13%
Keita,LIV,(A): MUN,0.14,13%
Redmond,SOU,(A): LEI,0.14,13%
Elyounoussi,SOU,(A): LEI,0.14,13%
Bamford,LEE,(H): CHE,0.14,13%
Saint-Maximin,NEW,(H): MCI,0.14,13%
Allan,EVE,(H): NFO,0.13,13%
Adams,SOU,(A): LEI,0.13,13%
Tierney,ARS,(A): BOU,0.13,12%
Surridge,NFO,(A): EVE,0.13,12%
Gündogan,MCI,(A): NEW,0.13,12%
Dasilva,BRE,(A): FUL,0.13,12%
Henderson,LIV,(A): MUN,0.13,12%
Mara,SOU,(A): LEI,0.13,12%
Fernandes,MUN,(H): LIV,0.13,12%
Gabriel,ARS,(A): BOU,0.13,12%
Gallagher,CHE,(A): LEE,0.13,12%
Lallana,BHA,(A): WHU,0.13,12%
Aaronson,LEE,(H): CHE,0.13,12%
Murphy,NEW,(H): MCI,0.13,12%
Djenepo,SOU,(A): LEI,0.13,12%
Lowe,BOU,(H): ARS,0.12,12%
N.Williams,NFO,(A): EVE,0.12,11%
Elanga,MUN,(H): LIV,0.12,11%
S.Armstrong,SOU,(A): LEI,0.12,11%
Gibbs-White,WOL,(A): TOT,0.12,11%
Guedes,WOL,(A): TOT,0.12,11%
Gilmour,CHE,(A): LEE,0.12,11%
Cancelo,MCI,(A): NEW,0.12,11%
Højbjerg,TOT,(H): WOL,0.12,11%
Onana,EVE,(H): NFO,0.12,11%
Moore,BOU,(H): ARS,0.12,11%
Lamptey,BHA,(A): WHU,0.12,11%
Cresswell,WHU,(H): BHA,0.12,11%
Cucurella,CHE,(A): LEE,0.12,11%
Mendy,LEI,(H): SOU,0.12,11%
Awoniyi,NFO,(A): EVE,0.12,11%
Eriksen,MUN,(H): LIV,0.12,11%
Podence,WOL,(A): TOT,0.11,11%
Bryan,FUL,(H): BRE,0.11,11%
Ronaldo,MUN,(H): LIV,0.11,11%
Coufal,WHU,(H): BHA,0.11,11%
Tete,FUL,(H): BRE,0.11,11%
Digne,AVL,(A): CRY,0.11,10%
Milivojevic,CRY,(H): AVL,0.11,10%
Coleman,EVE,(H): NFO,0.11,10%
Ndidi,LEI,(H): SOU,0.11,10%
Hwang,WOL,(A): TOT,0.11,10%
Loftus-Cheek,CHE,(A): LEE,0.11,10%
Nørgaard,BRE,(A): FUL,0.11,10%
Almirón,NEW,(H): MCI,0.11,10%
Janelt,BRE,(A): FUL,0.10,10%
Jorginho,CHE,(A): LEE,0.10,10%
Henry,BRE,(A): FUL,0.10,10%
Tavernier,BOU,(H): ARS,0.10,10%
Onyeka,BRE,(A): FUL,0.10,10%
March,BHA,(A): WHU,0.10,10%
Wilson,NEW,(H): MCI,0.10,10%
Castagne,LEI,(H): SOU,0.10,10%
Hughes,CRY,(H): AVL,0.10,9%
Toffolo,NFO,(A): EVE,0.10,9%
Klich,LEE,(H): CHE,0.10,9%
Anderson,NEW,(H): MCI,0.10,9%
Tomiyasu,ARS,(A): BOU,0.10,9%
Walker,MCI,(A): NEW,0.09,9%
Bruno Guimarães,NEW,(H): MCI,0.09,9%
C.Doucouré,CRY,(H): AVL,0.09,9%
Wood,NEW,(H): MCI,0.09,9%
Schlupp,CRY,(H): AVL,0.09,9%
Justin,LEI,(H): SOU,0.09,9%
Rodri,MCI,(A): NEW,0.09,9%
Fred,MUN,(H): LIV,0.09,9%
Stacey,BOU,(H): ARS,0.09,9%
Dias,MCI,(A): NEW,0.09,9%
Romeu,SOU,(A): LEI,0.09,9%
Caicedo,BHA,(A): WHU,0.09,9%
Walker-Peters,SOU,(A): LEI,0.09,9%
Trippier,NEW,(H): MCI,0.09,8%
Clyne,CRY,(H): AVL,0.09,8%
Struijk,LEE,(H): CHE,0.09,8%
Fabinho,LIV,(A): MUN,0.09,8%
Freuler,NFO,(A): EVE,0.09,8%
Smith,BOU,(H): ARS,0.08,8%
Perraud,SOU,(A): LEI,0.08,8%
Shaw,MUN,(H): LIV,0.08,8%
Partey,ARS,(A): BOU,0.08,8%
Reed,FUL,(H): BRE,0.08,8%
Mbabu,FUL,(H): BRE,0.08,8%
Drameh,LEE,(H): CHE,0.08,8%
Mac Allister,BHA,(A): WHU,0.08,8%
Ritchie,NEW,(H): MCI,0.08,8%
Hickey,BRE,(A): FUL,0.08,8%
Mangala,NFO,(A): EVE,0.08,8%
Robinson,FUL,(H): BRE,0.08,8%
O'Brien,NFO,(A): EVE,0.08,8%
Soucek,WHU,(H): BHA,0.08,8%
S.Longstaff,NEW,(H): MCI,0.08,7%
Joelinton,NEW,(H): MCI,0.08,7%
Colback,NFO,(A): EVE,0.08,7%
Moutinho,WOL,(A): TOT,0.08,7%
Lerma,BOU,(H): ARS,0.07,7%
McGinn,AVL,(A): CRY,0.07,7%
Guilbert,AVL,(A): CRY,0.07,7%
Mitchell,CRY,(H): AVL,0.07,7%
Chalobah,FUL,(H): BRE,0.07,7%
Lavia,SOU,(A): LEI,0.07,7%
Biancone,NFO,(A): EVE,0.07,7%
Palhinha,FUL,(H): BRE,0.07,7%
Forshaw,LEE,(H): CHE,0.07,7%
Rice,WHU,(H): BHA,0.07,7%
Cook,BOU,(H): ARS,0.07,7%
Zemura,BOU,(H): ARS,0.07,7%
Neves,WOL,(A): TOT,0.07,7%
Douglas Luiz,AVL,(A): CRY,0.07,7%
Cash,AVL,(A): CRY,0.07,6%
Pearson,BOU,(H): ARS,0.07,6%
Van de Beek,MUN,(H): LIV,0.07,6%
Azpilicueta,CHE,(A): LEE,0.07,6%
Ramsey,AVL,(A): CRY,0.06,6%
Tarkowski,EVE,(H): NFO,0.06,6%
Targett,NEW,(H): MCI,0.06,6%
Dendoncker,WOL,(A): TOT,0.06,6%
Ronan,WOL,(A): TOT,0.06,6%
Ward,CRY,(H): AVL,0.06,6%
Andersen,CRY,(H): AVL,0.06,6%
Keane,EVE,(H): NFO,0.06,6%
Cundle,WOL,(A): TOT,0.06,6%
Roca,LEE,(H): CHE,0.06,6%
Aït-Nouri,WOL,(A): TOT,0.06,6%
Kristensen,LEE,(H): CHE,0.06,6%
Gomez,LIV,(A): MUN,0.06,6%
White,ARS,(A): BOU,0.06,6%
Malacia,MUN,(H): LIV,0.06,6%
Holgate,EVE,(H): NFO,0.06,6%
Willock,NEW,(H): MCI,0.06,6%
Jonny,WOL,(A): TOT,0.06,6%
Kouyaté,NFO,(A): EVE,0.06,6%
Dummett,NEW,(H): MCI,0.06,5%
Lenglet,TOT,(H): WOL,0.06,5%
Wan-Bissaka,MUN,(H): LIV,0.05,5%
Dalot,MUN,(H): LIV,0.05,5%
Semedo,WOL,(A): TOT,0.05,5%
Kamara,AVL,(A): CRY,0.05,5%
Davies,TOT,(H): WOL,0.05,5%
McTominay,MUN,(H): LIV,0.05,5%
Johnson,WHU,(H): BHA,0.05,5%
Chalobah,CHE,(A): LEE,0.05,5%
Roerslev,BRE,(A): FUL,0.05,5%
Aké,MCI,(A): NEW,0.05,4%
Dawson,WHU,(H): BHA,0.05,4%
Guéhi,CRY,(H): AVL,0.04,4%
Hjelde,LEE,(H): CHE,0.04,4%
Koulibaly,CHE,(A): LEE,0.04,4%
Adams,LEE,(H): CHE,0.04,4%
Sánchez,TOT,(H): WOL,0.04,4%
Saliba,ARS,(A): BOU,0.04,4%
Chambers,AVL,(A): CRY,0.04,4%
Stones,MCI,(A): NEW,0.04,4%
Mings,AVL,(A): CRY,0.04,4%
Kelly,BOU,(H): ARS,0.04,4%
Evans,LEI,(H): SOU,0.04,4%
Burn,NEW,(H): MCI,0.04,4%
Schär,NEW,(H): MCI,0.04,4%
Valery,SOU,(A): LEI,0.04,4%
Mee,BRE,(A): FUL,0.04,4%
Veltman,BHA,(A): WHU,0.04,4%
Bech,BRE,(A): FUL,0.04,3%
Amartey,LEI,(H): SOU,0.04,3%
Söyüncü,LEI,(H): SOU,0.04,3%
Romero,TOT,(H): WOL,0.04,3%
Duffy,FUL,(H): BRE,0.03,3%
Coady,EVE,(H): NFO,0.03,3%
Fofana,LEI,(H): SOU,0.03,3%
Konaté,LIV,(A): MUN,0.03,3%
Phillips,LIV,(A): MUN,0.03,3%
Tosin,FUL,(H): BRE,0.03,3%
Dier,TOT,(H): WOL,0.03,3%
McKenna,NFO,(A): EVE,0.03,3%
Thiago Silva,CHE,(A): LEE,0.03,3%
Van Dijk,LIV,(A): MUN,0.03,3%
Ogbonna,WHU,(H): BHA,0.03,3%
Ream,FUL,(H): BRE,0.03,3%
Webster,BHA,(A): WHU,0.03,3%
Jansson,BRE,(A): FUL,0.03,2%
Dunk,BHA,(A): WHU,0.03,2%
Bednarek,SOU,(A): LEI,0.03,2%
Hill,BOU,(H): ARS,0.03,2%
Senesi,BOU,(H): ARS,0.03,2%
Stephens,SOU,(A): LEI,0.02,2%
Bella-Kotchap,SOU,(A): LEI,0.02,2%
Botman,NEW,(H): MCI,0.02,2%
Zouma,WHU,(H): BHA,0.02,2%
Konsa,AVL,(A): CRY,0.02,2%
Cooper,LEE,(H): CHE,0.02,2%
Lascelles,NEW,(H): MCI,0.02,2%
Llorente,LEE,(H): CHE,0.02,2%
Varane,MUN,(H): LIV,0.02,2%
Worrall,NFO,(A): EVE,0.02,2%
Martínez,MUN,(H): LIV,0.02,2%
Koch,LEE,(H): CHE,0.02,2%
Niakhaté,NFO,(A): EVE,0.02,2%
Collins,WOL,(A): TOT,0.02,2%
Mepham,BOU,(H): ARS,0.02,2%
Cook,NFO,(A): EVE,0.02,2%
Salisu,SOU,(A): LEI,0.02,2%
Boly,WOL,(A): TOT,0.02,2%
Maguire,MUN,(H): LIV,0.02,2%
Kilman,WOL,(A): TOT,0.02,2%
Alisson,LIV,(A): MUN,0.01,1%
Sá,WOL,(A): TOT,0.00,0%
Pickford,EVE,(H): NFO,0.00,0%
Ward,LEI,(H): SOU,0.00,0%
Leno,FUL,(H): BRE,0.00,0%
Ramsdale,ARS,(A): BOU,0.00,0%
Raya,BRE,(A): FUL,0.00,0%
Sánchez,BHA,(A): WHU,0.00,0%
Guaita,CRY,(H): AVL,0.00,0%
Ederson,MCI,(A): NEW,0.00,0%
Henderson,NFO,(A): EVE,0.00,0%
Bazunu,SOU,(A): LEI,0.00,0%
Lloris,TOT,(H): WOL,0.00,0%
Neto,BOU,(H): ARS,0.00,0%
Martínez,AVL,(A): CRY,0.00,0%
Travers,BOU,(H): ARS,0.00,0%
Mendy,CHE,(A): LEE,0.00,0%
Rodák,FUL,(H): BRE,0.00,0%
Meslier,LEE,(H): CHE,0.00,0%
De Gea,MUN,(H): LIV,0.00,0%
Pope,NEW,(H): MCI,0.00,0%
Fabianski,WHU,(H): BHA,0.00,0%
