Name,Team,Fixture,eGoals/90,Anytime%
Digne,AVL,(H): WHU,0.13,12%
Loftus-Cheek,CHE,(H): LEI,0.13,12%
Moutinho,WOL,(H): NEW,0.13,12%
Daka,LEI,(A): CHE,0.13,12%
Wood,NEW,(A): WOL,0.13,12%
Djenepo,SOU,(H): MUN,0.13,12%
Andreas,FUL,(A): ARS,0.12,12%
Onyeka,BRE,(H): EVE,0.12,11%
Nørgaard,BRE,(H): EVE,0.12,11%
Janelt,BRE,(H): EVE,0.12,11%
Vardy,LEI,(A): CHE,0.12,11%
Onomah,FUL,(A): ARS,0.12,11%
Stansfield,FUL,(A): ARS,0.12,11%
Olise,CRY,(A): MCI,0.12,11%
Bruno Guimarães,NEW,(A): WOL,0.12,11%
Tomiyasu,ARS,(H): FUL,0.12,11%
Henry,BRE,(H): EVE,0.11,11%
Caicedo,BHA,(H): LEE,0.11,11%
Dias,MCI,(H): CRY,0.11,11%
De Cordova-Reid,FUL,(A): ARS,0.11,11%
Trippier,NEW,(A): WOL,0.11,10%
Mac Allister,BHA,(H): LEE,0.11,10%
S.Longstaff,NEW,(A): WOL,0.11,10%
Toffolo,NFO,(H): TOT,0.11,10%
Jorginho,CHE,(H): LEI,0.11,10%
Kebano,FUL,(A): ARS,0.11,10%
Walker,MCI,(H): CRY,0.11,10%
Partey,ARS,(H): FUL,0.11,10%
N.Williams,NFO,(H): TOT,0.11,10%
Awoniyi,NFO,(H): TOT,0.11,10%
Cucurella,CHE,(H): LEI,0.10,10%
Diallo,SOU,(H): MUN,0.10,10%
Cresswell,WHU,(A): AVL,0.10,10%
Neves,WOL,(H): NEW,0.10,10%
Eze,CRY,(A): MCI,0.10,10%
Romeu,SOU,(H): MUN,0.10,10%
Dewsbury-Hall,LEI,(A): CHE,0.10,10%
Højbjerg,TOT,(A): NFO,0.10,10%
Christie,BOU,(A): LIV,0.10,10%
Dendoncker,WOL,(H): NEW,0.10,10%
Mitrović,FUL,(A): ARS,0.10,10%
Klich,LEE,(A): BHA,0.10,10%
Coufal,WHU,(A): AVL,0.10,10%
Perraud,SOU,(H): MUN,0.10,9%
Matheus,WOL,(H): NEW,0.10,9%
Edouard,CRY,(A): MCI,0.10,9%
Anthony,BOU,(A): LIV,0.10,9%
Cairney,FUL,(A): ARS,0.10,9%
Joelinton,NEW,(A): WOL,0.10,9%
Ebiowei,CRY,(A): MCI,0.10,9%
Mykolenko,EVE,(A): BRE,0.09,9%
Patterson,EVE,(A): BRE,0.09,9%
Tielemans,LEI,(A): CHE,0.09,9%
Casemiro,MUN,(A): SOU,0.09,9%
McGinn,AVL,(H): WHU,0.09,9%
Solanke,BOU,(A): LIV,0.09,9%
Walker-Peters,SOU,(H): MUN,0.09,9%
Aït-Nouri,WOL,(H): NEW,0.09,9%
Hickey,BRE,(H): EVE,0.09,9%
Dembélé,BOU,(A): LIV,0.09,9%
Iwobi,EVE,(A): BRE,0.09,9%
Struijk,LEE,(A): BHA,0.09,9%
Targett,NEW,(A): WOL,0.09,9%
Malacia,MUN,(A): SOU,0.09,9%
Davies,EVE,(A): BRE,0.09,8%
Gomez,LIV,(H): BOU,0.09,8%
Lavia,SOU,(H): MUN,0.09,8%
Semedo,WOL,(H): NEW,0.09,8%
Allan,EVE,(A): BRE,0.09,8%
Douglas Luiz,AVL,(H): WHU,0.08,8%
Wan-Bissaka,MUN,(A): SOU,0.08,8%
White,ARS,(H): FUL,0.08,8%
Cash,AVL,(H): WHU,0.08,8%
McTominay,MUN,(A): SOU,0.08,8%
Ramsey,AVL,(H): WHU,0.08,8%
Dalot,MUN,(A): SOU,0.08,8%
Lewis,NEW,(A): WOL,0.08,8%
Billing,BOU,(A): LIV,0.08,8%
Ayew,CRY,(A): MCI,0.08,8%
Onana,EVE,(A): BRE,0.08,8%
Moore,BOU,(A): LIV,0.08,8%
Forshaw,LEE,(A): BHA,0.08,8%
Mateta,CRY,(A): MCI,0.08,7%
Mangala,NFO,(H): TOT,0.08,7%
Zaha,CRY,(A): MCI,0.08,7%
Jonny,WOL,(H): NEW,0.08,7%
Emerson,WHU,(A): AVL,0.07,7%
Willock,NEW,(A): WOL,0.07,7%
Soucek,WHU,(A): AVL,0.07,7%
Freuler,NFO,(H): TOT,0.07,7%
Coleman,EVE,(A): BRE,0.07,7%
Thomas,LEI,(A): CHE,0.07,7%
Roca,LEE,(A): BHA,0.07,6%
Mendy,LEI,(A): CHE,0.07,6%
Azpilicueta,CHE,(H): LEI,0.07,6%
Rice,WHU,(A): AVL,0.07,6%
Tavernier,BOU,(A): LIV,0.07,6%
Roerslev,BRE,(H): EVE,0.07,6%
Bryan,FUL,(A): ARS,0.07,6%
Tete,FUL,(A): ARS,0.06,6%
O'Brien,NFO,(H): TOT,0.06,6%
Aké,MCI,(H): CRY,0.06,6%
Kamara,AVL,(H): WHU,0.06,6%
Yates,NFO,(H): TOT,0.06,6%
Phillips,LIV,(H): BOU,0.06,6%
Smith,BOU,(A): LIV,0.06,6%
Stacey,BOU,(A): LIV,0.06,6%
Kristensen,LEE,(A): BHA,0.06,6%
Johnson,WHU,(A): AVL,0.06,6%
Fredericks,BOU,(A): LIV,0.06,5%
Valery,SOU,(H): MUN,0.06,5%
Ndidi,LEI,(A): CHE,0.05,5%
Burn,NEW,(A): WOL,0.05,5%
Mbabu,FUL,(A): ARS,0.05,5%
Lerma,BOU,(A): LIV,0.05,5%
Milivojevic,CRY,(A): MCI,0.05,5%
Schär,NEW,(A): WOL,0.05,5%
Hughes,CRY,(A): MCI,0.05,5%
Lenglet,TOT,(A): NFO,0.05,5%
Mings,AVL,(H): WHU,0.05,5%
Biancone,NFO,(H): TOT,0.05,5%
Robinson,FUL,(A): ARS,0.05,5%
Chalobah,CHE,(H): LEI,0.05,5%
Mitchell,CRY,(A): MCI,0.05,5%
Reed,FUL,(A): ARS,0.05,5%
Van Dijk,LIV,(H): BOU,0.05,5%
Pearson,BOU,(A): LIV,0.05,4%
Mee,BRE,(H): EVE,0.05,4%
Bech,BRE,(H): EVE,0.04,4%
Veltman,BHA,(H): LEE,0.04,4%
Palhinha,FUL,(A): ARS,0.04,4%
Castagne,LEI,(A): CHE,0.04,4%
Adams,LEE,(A): BHA,0.04,4%
Colwill,BHA,(H): LEE,0.04,4%
Cook,BOU,(A): LIV,0.04,4%
Chalobah,FUL,(A): ARS,0.04,4%
Stones,MCI,(H): CRY,0.04,4%
Zemura,BOU,(A): LIV,0.04,4%
Kouyaté,NFO,(H): TOT,0.04,4%
Davies,TOT,(A): NFO,0.04,4%
Clyne,CRY,(A): MCI,0.04,4%
Justin,LEI,(A): CHE,0.04,4%
C.Doucouré,CRY,(A): MCI,0.04,4%
Chambers,AVL,(H): WHU,0.04,4%
