Name,Team,Fixture,eGoals/90,Anytime%
De Bruyne,MCI,(H): NFO,0.61,46%
Foden,MCI,(H): NFO,0.46,37%
Firmino,LIV,(H): NEW,0.43,35%
Haaland,MCI,(H): NFO,0.42,34%
Álvarez,MCI,(H): NFO,0.42,34%
Salah,LIV,(H): NEW,0.40,33%
Mahrez,MCI,(H): NFO,0.39,32%
Grealish,MCI,(H): NFO,0.39,32%
Bernardo,MCI,(H): NFO,0.36,30%
Saka,ARS,(H): AVL,0.33,28%
Carvalho,LIV,(H): NEW,0.32,28%
Harrison,LEE,(H): EVE,0.32,27%
Alexander-Arnold,LIV,(H): NEW,0.31,27%
Luis Díaz,LIV,(H): NEW,0.30,26%
Groß,BHA,(A): FUL,0.29,25%
Rodrigo,LEE,(H): EVE,0.27,24%
Maddison,LEI,(H): MUN,0.26,23%
Sinisterra,LEE,(H): EVE,0.26,23%
Mount,CHE,(A): SOU,0.26,23%
Olise,CRY,(H): BRE,0.26,23%
Kulusevski,TOT,(A): WHU,0.26,23%
Fábio Vieira,ARS,(H): AVL,0.26,23%
James,CHE,(A): SOU,0.25,22%
Barnes,LEI,(H): MUN,0.25,22%
Smith Rowe,ARS,(H): AVL,0.25,22%
Clark,LIV,(H): NEW,0.24,22%
Milner,LIV,(H): NEW,0.24,22%
Son,TOT,(A): WHU,0.24,21%
Ziyech,CHE,(A): SOU,0.23,21%
Gelhardt,LEE,(H): EVE,0.23,20%
Sterling,CHE,(A): SOU,0.23,20%
Lucas Moura,TOT,(A): WHU,0.23,20%
Guedes,WOL,(A): BOU,0.23,20%
Richarlison,TOT,(A): WHU,0.22,20%
Perišić,TOT,(A): WHU,0.22,20%
Tsimikas,LIV,(H): NEW,0.22,20%
Eze,CRY,(H): BRE,0.22,20%
James,LEE,(H): EVE,0.22,20%
Trossard,BHA,(A): FUL,0.21,19%
Nketiah,ARS,(H): AVL,0.21,19%
Christie,BOU,(H): WOL,0.21,19%
Robertson,LIV,(H): NEW,0.21,19%
Gündogan,MCI,(H): NFO,0.21,19%
Ødegaard,ARS,(H): AVL,0.21,19%
Pulisic,CHE,(A): SOU,0.21,19%
Pérez,LEI,(H): MUN,0.21,19%
Edouard,CRY,(H): BRE,0.21,19%
Phillips,MCI,(H): NFO,0.21,19%
Welbeck,BHA,(A): FUL,0.21,19%
Jesus,ARS,(H): AVL,0.21,19%
Elliott,LIV,(H): NEW,0.21,19%
Rodri,MCI,(H): NFO,0.21,19%
Martinelli,ARS,(H): AVL,0.20,19%
Anthony,BOU,(H): WOL,0.20,19%
Neto,WOL,(A): BOU,0.20,19%
Hudson-Odoi,CHE,(A): SOU,0.20,18%
Aaronson,LEE,(H): EVE,0.20,18%
Kane,TOT,(A): WHU,0.20,18%
Xhaka,ARS,(H): AVL,0.20,18%
Ebiowei,CRY,(H): BRE,0.20,18%
Bamford,LEE,(H): EVE,0.20,18%
Sancho,MUN,(A): LEI,0.20,18%
Sergio Gómez,MCI,(H): NFO,0.20,18%
Elanga,MUN,(A): LEI,0.20,18%
Vardy,LEI,(H): MUN,0.19,18%
Podence,WOL,(A): BOU,0.19,17%
Havertz,CHE,(A): SOU,0.19,17%
Bowen,WHU,(H): TOT,0.19,17%
Rashford,MUN,(A): LEI,0.19,17%
Andreas,FUL,(H): BHA,0.18,17%
Hwang,WOL,(A): BOU,0.18,17%
Gabriel,ARS,(H): AVL,0.18,17%
Cancelo,MCI,(H): NFO,0.18,17%
Solanke,BOU,(H): WOL,0.18,17%
Undav,BHA,(A): FUL,0.18,17%
Iheanacho,LEI,(H): MUN,0.18,17%
Mitoma,BHA,(A): FUL,0.18,16%
Albrighton,LEI,(H): MUN,0.18,16%
Mwepu,BHA,(A): FUL,0.18,16%
Ayew,CRY,(H): BRE,0.18,16%
Thiago,LIV,(H): NEW,0.18,16%
Fernandes,MUN,(A): LEI,0.18,16%
Zaha,CRY,(H): BRE,0.17,16%
Dembélé,BOU,(H): WOL,0.17,16%
Toney,BRE,(A): CRY,0.17,16%
Daka,LEI,(H): MUN,0.17,16%
Henderson,LIV,(H): NEW,0.17,16%
Martial,MUN,(A): LEI,0.17,16%
Benrahma,WHU,(H): TOT,0.17,16%
Mbeumo,BRE,(A): CRY,0.17,16%
Stansfield,FUL,(H): BHA,0.17,15%
Mateta,CRY,(H): BRE,0.16,15%
Antonio,WHU,(H): TOT,0.16,15%
Gray,EVE,(A): LEE,0.16,15%
Zinchenko,ARS,(H): AVL,0.16,15%
Lallana,BHA,(A): FUL,0.16,15%
Ronaldo,MUN,(A): LEI,0.16,15%
Damsgaard,BRE,(A): CRY,0.16,15%
Wissa,BRE,(A): CRY,0.16,15%
