Name,Team,Fixture,eAssists/90,Anytime%,,
De Bruyne,MCI,(H): BOU,0.53,41%,,
Haaland,MCI,(H): BOU,0.43,35%,,
Salah,LIV,(H): CRY,0.42,34%,,
Mahrez,MCI,(H): BOU,0.42,34%,,
Luis Díaz,LIV,(H): CRY,0.38,32%,,
Álvarez,MCI,(H): BOU,0.38,31%,,
Foden,MCI,(H): BOU,0.38,31%,,
Grealish,MCI,(H): BOU,0.36,30%,,
Alexander-Arnold,LIV,(H): CRY,0.35,30%,,
Diogo Jota,LIV,(H): CRY,0.31,27%,,
Neto,WOL,(H): FUL,0.30,26%,,
Mount,CHE,(H): TOT,0.30,26%,,
Saka,ARS,(H): LEI,0.29,26%,,
Elliott,LIV,(H): CRY,0.29,25%,,
Darwin,LIV,(H): CRY,0.29,25%,,
Pépé,ARS,(H): LEI,0.28,25%,,
Carvalho,LIV,(H): CRY,0.28,24%,,
Bowen,WHU,(A): NFO,0.28,24%,,
Buendía,AVL,(H): EVE,0.27,24%,,
Bernardo,MCI,(H): BOU,0.27,24%,,
Firmino,LIV,(H): CRY,0.26,23%,,
Fernandes,MUN,(A): BRE,0.26,23%,,
Ziyech,CHE,(H): TOT,0.25,22%,,
Ødegaard,ARS,(H): LEI,0.25,22%,,
Jesus,ARS,(H): LEI,0.24,21%,,
Coutinho,AVL,(H): EVE,0.24,21%,,
Ings,AVL,(H): EVE,0.23,21%,,
Gibbs-White,WOL,(H): FUL,0.23,21%,,
Robertson,LIV,(H): CRY,0.23,21%,,
Wilson,FUL,(A): WOL,0.23,20%,,
James,CHE,(H): TOT,0.23,20%,,
Bailey,AVL,(H): EVE,0.22,20%,,
Hwang,WOL,(H): FUL,0.22,20%,,
Lolley,NFO,(H): WHU,0.22,20%,,
Mbeumo,BRE,(H): MUN,0.22,20%,,
Fábio Vieira,ARS,(H): LEI,0.22,20%,,
Benrahma,WHU,(A): NFO,0.22,20%,,
Podence,WOL,(H): FUL,0.22,20%,,
Traoré,AVL,(H): EVE,0.21,19%,,
Groß,BHA,(H): NEW,0.21,19%,,
Rashford,MUN,(A): BRE,0.21,19%,,
Maddison,LEI,(A): ARS,0.21,19%,,
Son,TOT,(A): CHE,0.21,19%,,
Antonio,WHU,(A): NFO,0.21,19%,,
Eriksen,MUN,(A): BRE,0.21,19%,,
Adama,WOL,(H): FUL,0.20,18%,,
Nketiah,ARS,(H): LEI,0.20,18%,,
Sancho,MUN,(A): BRE,0.20,18%,,
Martinelli,ARS,(H): LEI,0.20,18%,,
Ward-Prowse,SOU,(H): LEE,0.20,18%,,
Smith Rowe,ARS,(H): LEI,0.20,18%,,
Maupay,BHA,(H): NEW,0.20,18%,,
Fraser,NEW,(A): BHA,0.20,18%,,
Cancelo,MCI,(H): BOU,0.20,18%,,
Gündogan,MCI,(H): BOU,0.19,18%,,
Undav,BHA,(H): NEW,0.19,17%,,
Havertz,CHE,(H): TOT,0.19,17%,,
Phillips,MCI,(H): BOU,0.19,17%,,
Digne,AVL,(H): EVE,0.19,17%,,
Welbeck,BHA,(H): NEW,0.19,17%,,
Trossard,BHA,(H): NEW,0.19,17%,,
Harrison,LEE,(A): SOU,0.19,17%,,
A.Armstrong,SOU,(H): LEE,0.19,17%,,
Adams,SOU,(H): LEE,0.19,17%,,
Pulisic,CHE,(H): TOT,0.19,17%,,
James,LEE,(A): SOU,0.18,17%,,
Sterling,CHE,(H): TOT,0.18,17%,,
Elyounoussi,SOU,(H): LEE,0.18,17%,,
Rodrigo,LEE,(A): SOU,0.18,17%,,
Barnes,LEI,(A): ARS,0.18,17%,,
Vlasic,WHU,(A): NFO,0.18,17%,,
Archer,AVL,(H): EVE,0.18,17%,,
Gray,EVE,(A): AVL,0.18,17%,,
Elanga,MUN,(A): BRE,0.18,17%,,
Sinisterra,LEE,(A): SOU,0.18,16%,,
Scamacca,WHU,(A): NFO,0.18,16%,,
Werner,CHE,(H): TOT,0.18,16%,,
Martial,MUN,(A): BRE,0.18,16%,,
Enciso,BHA,(H): NEW,0.18,16%,,
Lingard,NFO,(H): WHU,0.18,16%,,
Jones,LIV,(H): CRY,0.17,16%,,
Gordon,EVE,(A): AVL,0.17,16%,,
Fornals,WHU,(A): NFO,0.17,16%,,
Redmond,SOU,(H): LEE,0.17,16%,,
Kulusevski,TOT,(A): CHE,0.17,16%,,
Bamford,LEE,(A): SOU,0.17,16%,,
Moutinho,WOL,(H): FUL,0.17,16%,,
Watkins,AVL,(H): EVE,0.17,16%,,
Gelhardt,LEE,(A): SOU,0.17,16%,,
Kane,TOT,(A): CHE,0.17,15%,,
Henderson,LIV,(H): CRY,0.17,15%,,
Lanzini,WHU,(A): NFO,0.17,15%,,
Toney,BRE,(H): MUN,0.17,15%,,
Richarlison,TOT,(A): CHE,0.17,15%,,
Milner,LIV,(H): CRY,0.17,15%,,
Keita,LIV,(H): CRY,0.17,15%,,
Saint-Maximin,NEW,(A): BHA,0.17,15%,,
Canós,BRE,(H): MUN,0.16,15%,,
Aaronson,LEE,(A): SOU,0.16,15%,,
Mwepu,BHA,(H): NEW,0.16,15%,,
S.Armstrong,SOU,(H): LEE,0.16,15%,,
McNeil,EVE,(A): AVL,0.16,15%,,
Johnson,NFO,(H): WHU,0.16,15%,,
Ronaldo,MUN,(A): BRE,0.16,15%,,
Aribo,SOU,(H): LEE,0.16,15%,,
Mac Allister,BHA,(H): NEW,0.16,15%,,
Walker,MCI,(H): BOU,0.16,15%,,
Jensen,BRE,(H): MUN,0.16,15%,,
Murphy,NEW,(A): BHA,0.16,14%,,
Lewis-Potter,BRE,(H): MUN,0.16,14%,,
March,BHA,(H): NEW,0.15,14%,,
Ashley Young,AVL,(H): EVE,0.15,14%,,
Thiago,LIV,(H): CRY,0.15,14%,,
Rodri,MCI,(H): BOU,0.15,14%,,
Surridge,NFO,(H): WHU,0.15,14%,,
Andreas,FUL,(A): WOL,0.15,14%,,
Alonso,CHE,(H): TOT,0.15,14%,,
Knockaert,FUL,(A): WOL,0.15,14%,,
Albrighton,LEI,(A): ARS,0.15,14%,,
Lucas Moura,TOT,(A): CHE,0.15,14%,,
Wissa,BRE,(H): MUN,0.15,14%,,
Dias,MCI,(H): BOU,0.14,13%,,
Cresswell,WHU,(A): NFO,0.14,13%,,
De Cordova-Reid,FUL,(A): WOL,0.14,13%,,
Gallagher,CHE,(H): TOT,0.14,13%,,
Dendoncker,WOL,(H): FUL,0.14,13%,,
Iheanacho,LEI,(A): ARS,0.14,13%,,
Pérez,LEI,(A): ARS,0.13,13%,,
Awoniyi,NFO,(H): WHU,0.13,13%,,
Taylor,NFO,(H): WHU,0.13,12%,,
Wilson,NEW,(A): BHA,0.13,12%,,
Aït-Nouri,WOL,(H): FUL,0.13,12%,,
Kebano,FUL,(A): WOL,0.13,12%,,
Perišić,TOT,(A): CHE,0.13,12%,,
Dele,EVE,(A): AVL,0.13,12%,,
Daka,LEI,(A): ARS,0.13,12%,,
Neves,WOL,(H): FUL,0.13,12%,,
Zinchenko,ARS,(H): LEI,0.13,12%,,
Cundle,WOL,(H): FUL,0.13,12%,,
Tierney,ARS,(H): LEI,0.13,12%,,
Lamptey,BHA,(H): NEW,0.13,12%,,
Semedo,WOL,(H): FUL,0.13,12%,,
Olise,CRY,(A): LIV,0.12,12%,,
Rondón,EVE,(A): AVL,0.12,12%,,
Lallana,BHA,(H): NEW,0.12,12%,,
Wood,NEW,(A): BHA,0.12,12%,,
Coufal,WHU,(A): NFO,0.12,12%,,
Elneny,ARS,(H): LEI,0.12,11%,,
Eze,CRY,(A): LIV,0.12,11%,,
Kanté,CHE,(H): TOT,0.12,11%,,
Chilwell,CHE,(H): TOT,0.12,11%,,
Mitrović,FUL,(A): WOL,0.12,11%,,
Calvert-Lewin,EVE,(A): AVL,0.12,11%,,
Jonny,WOL,(H): FUL,0.12,11%,,
Dasilva,BRE,(H): MUN,0.12,11%,,
Shaw,MUN,(A): BRE,0.12,11%,,
Cafú,NFO,(H): WHU,0.12,11%,,
Xhaka,ARS,(H): LEI,0.12,11%,,
Kovacic,CHE,(H): TOT,0.12,11%,,
Bruno Guimarães,NEW,(A): BHA,0.11,11%,,
Caicedo,BHA,(H): NEW,0.11,11%,,
Trippier,NEW,(A): BHA,0.11,11%,,
Doherty,TOT,(A): CHE,0.11,10%,,
McGinn,AVL,(H): EVE,0.11,10%,,
Vardy,LEI,(A): ARS,0.11,10%,,
Toffolo,NFO,(H): WHU,0.11,10%,,
Fred,MUN,(A): BRE,0.11,10%,,
Laryea,NFO,(H): WHU,0.11,10%,,
Loftus-Cheek,CHE,(H): TOT,0.11,10%,,
N.Williams,NFO,(H): WHU,0.11,10%,,
Cash,AVL,(H): EVE,0.10,10%,,
Iwobi,EVE,(A): AVL,0.10,10%,,
Partey,ARS,(H): LEI,0.10,10%,,
Ramsey,AVL,(H): EVE,0.10,10%,,
Ajer,BRE,(H): MUN,0.10,10%,,
Romeu,SOU,(H): LEE,0.10,10%,,
Sambi,ARS,(H): LEI,0.10,10%,,
Perraud,SOU,(H): LEE,0.10,10%,,
Fabinho,LIV,(H): CRY,0.10,10%,,
Almirón,NEW,(A): BHA,0.10,10%,,
Diallo,SOU,(H): LEE,0.10,10%,,
Rúben Vinagre,EVE,(A): AVL,0.10,10%,,
Nørgaard,BRE,(H): MUN,0.10,9%,,
Cairney,FUL,(A): WOL,0.10,9%,,
R.Sessegnon,TOT,(A): CHE,0.10,9%,,
O'Brien,NFO,(H): WHU,0.10,9%,,
Dewsbury-Hall,LEI,(A): ARS,0.10,9%,,
Walker-Peters,SOU,(H): LEE,0.10,9%,,
Edouard,CRY,(A): LIV,0.10,9%,,
Jorginho,CHE,(H): TOT,0.10,9%,,
A.Doucouré,EVE,(A): AVL,0.10,9%,,
Tomiyasu,ARS,(H): LEI,0.09,9%,,
Janelt,BRE,(H): MUN,0.09,9%,,
Onyeka,BRE,(H): MUN,0.09,9%,,
Cody Drameh,LEE,(A): SOU,0.09,9%,,
Patterson,EVE,(A): AVL,0.09,9%,,
Biancone,NFO,(H): WHU,0.09,9%,,
Bentancur,TOT,(A): CHE,0.09,9%,,
Billing,BOU,(A): MCI,0.09,9%,,
Klich,LEE,(A): SOU,0.09,9%,,
Soucek,WHU,(A): NFO,0.09,9%,,
Malacia,MUN,(A): BRE,0.09,9%,,
Anthony,BOU,(A): MCI,0.09,8%,,
Colback,NFO,(H): WHU,0.09,8%,,
Roerslev,BRE,(H): MUN,0.09,8%,,
S.Longstaff,NEW,(A): BHA,0.09,8%,,
Davies,EVE,(A): AVL,0.09,8%,,
Mykolenko,EVE,(A): AVL,0.09,8%,,
Kristensen,LEE,(A): SOU,0.09,8%,,
Cucurella,BHA,(H): NEW,0.08,8%,,
Aké,MCI,(H): BOU,0.08,8%,,
Van de Beek,MUN,(A): BRE,0.08,8%,,
Hickey,BRE,(H): MUN,0.08,8%,,
Allan,EVE,(A): AVL,0.08,8%,,
Tielemans,LEI,(A): ARS,0.08,8%,,
