Name,Team,Fixture,eAssists/90,Anytime%,,
Valery,SOU,(H): LEE,0.08,8%,,
Willock,NEW,(A): BHA,0.08,8%,,
Bissouma,TOT,(A): CHE,0.08,8%,,
Douglas Luiz,AVL,(H): EVE,0.08,8%,,
Christie,BOU,(A): MCI,0.08,8%,,
Ayew,CRY,(A): LIV,0.08,8%,,
Forshaw,LEE,(A): SOU,0.08,8%,,
Johnson,WHU,(A): NFO,0.08,8%,,
Joelinton,NEW,(A): BHA,0.08,8%,,
Benteke,CRY,(A): LIV,0.08,8%,,
Wan-Bissaka,MUN,(A): BRE,0.08,8%,,
Mateta,CRY,(A): LIV,0.08,7%,,
Rice,WHU,(A): NFO,0.08,7%,,
Zaha,CRY,(A): LIV,0.08,7%,,
Bryan,FUL,(A): WOL,0.08,7%,,
Roca,LEE,(A): SOU,0.08,7%,,
Kamara,AVL,(H): EVE,0.07,7%,,
Solanke,BOU,(A): MCI,0.07,7%,,
Ricardo,LEI,(A): ARS,0.07,7%,,
Targett,NEW,(A): BHA,0.07,7%,,
Gabriel,ARS,(H): LEI,0.07,7%,,
Marcondes,BOU,(A): MCI,0.07,7%,,
Matip,LIV,(H): CRY,0.07,7%,,
Dalot,MUN,(A): BRE,0.07,7%,,
Coleman,EVE,(A): AVL,0.07,7%,,
McTominay,MUN,(A): BRE,0.07,7%,,
Yates,NFO,(H): WHU,0.07,7%,,
Dembélé,BOU,(A): MCI,0.07,7%,,
Hjelde,LEE,(A): SOU,0.07,6%,,
Mings,AVL,(H): EVE,0.07,6%,,
Mbabu,FUL,(A): WOL,0.07,6%,,
Skipp,TOT,(A): CHE,0.06,6%,,
Struijk,LEE,(A): SOU,0.06,6%,,
Lowe,BOU,(A): MCI,0.06,6%,,
Henry,BRE,(H): MUN,0.06,6%,,
McArthur,CRY,(A): LIV,0.06,6%,,
Højbjerg,TOT,(A): CHE,0.06,6%,,
White,ARS,(H): LEI,0.06,6%,,
Adams,LEE,(A): SOU,0.06,6%,,
Palhinha,FUL,(A): WOL,0.06,6%,,
Stones,MCI,(H): BOU,0.06,6%,,
Reed,FUL,(A): WOL,0.06,5%,,
Ndidi,LEI,(A): ARS,0.06,5%,,
Azpilicueta,CHE,(H): TOT,0.06,5%,,
Robinson,FUL,(A): WOL,0.06,5%,,
Thomas,LEI,(A): ARS,0.06,5%,,
Chalobah,FUL,(A): WOL,0.05,5%,,
Collins,WOL,(H): FUL,0.05,5%,,
Justin,LEI,(A): ARS,0.05,5%,,
Schlupp,CRY,(A): LIV,0.05,5%,,
Tete,FUL,(A): WOL,0.05,5%,,
Mendy,LEI,(A): ARS,0.05,5%,,
Chambers,AVL,(H): EVE,0.05,5%,,
Moore,BOU,(A): MCI,0.05,5%,,
Sarr,CHE,(H): TOT,0.05,5%,,
Veltman,BHA,(H): NEW,0.05,5%,,
Schär,NEW,(A): BHA,0.05,5%,,
Dawson,WHU,(A): NFO,0.05,4%,,
Hughes,CRY,(A): LIV,0.04,4%,,
Castagne,LEI,(A): ARS,0.04,4%,,
Holgate,EVE,(A): AVL,0.04,4%,,
Clyne,CRY,(A): LIV,0.04,4%,,
Van Dijk,LIV,(H): CRY,0.04,4%,,
Saliba,ARS,(H): LEI,0.04,4%,,
Ferguson,CRY,(A): LIV,0.04,4%,,
Konaté,LIV,(H): CRY,0.04,4%,,
Burn,NEW,(A): BHA,0.04,4%,,
C.Doucouré,CRY,(A): LIV,0.04,4%,,
Chalobah,CHE,(H): TOT,0.04,4%,,
Mitchell,CRY,(A): LIV,0.04,4%,,
Boly,WOL,(H): FUL,0.04,4%,,
Duffy,BHA,(H): NEW,0.04,4%,,
Tarkowski,EVE,(A): AVL,0.04,4%,,
McKenna,NFO,(H): WHU,0.04,4%,,
Koulibaly,CHE,(H): TOT,0.04,4%,,
Kongolo,FUL,(A): WOL,0.04,4%,,
Keane,EVE,(A): AVL,0.04,3%,,
Kilman,WOL,(H): FUL,0.04,3%,,
Mee,BRE,(H): MUN,0.04,3%,,
Smith,BOU,(A): MCI,0.03,3%,,
Lerma,BOU,(A): MCI,0.03,3%,,
Bech,BRE,(H): MUN,0.03,3%,,
Fredericks,BOU,(A): MCI,0.03,3%,,
Stacey,BOU,(A): MCI,0.03,3%,,
Ward,CRY,(A): LIV,0.03,3%,,
Andersen,CRY,(A): LIV,0.03,3%,,
Koch,LEE,(A): SOU,0.03,3%,,
Ogbonna,WHU,(A): NFO,0.03,3%,,
Bella-Kotchap,SOU,(H): LEE,0.03,3%,,
Martínez,MUN,(A): BRE,0.03,3%,,
Webster,BHA,(H): NEW,0.03,3%,,
Lindelöf,MUN,(A): BRE,0.03,3%,,
Pearson,BOU,(A): MCI,0.03,3%,,
Dunk,BHA,(H): NEW,0.03,3%,,
Godfrey,EVE,(A): AVL,0.03,3%,,
Konsa,AVL,(H): EVE,0.03,3%,,
Zemura,BOU,(A): MCI,0.03,3%,,
Cooper,LEE,(A): SOU,0.03,3%,,
Varane,MUN,(A): BRE,0.03,3%,,
Botman,NEW,(A): BHA,0.03,3%,,
Lyanco,SOU,(H): LEE,0.03,3%,,
Lenglet,TOT,(A): CHE,0.03,3%,,
Worrall,NFO,(H): WHU,0.03,3%,,
Bednarek,SOU,(H): LEE,0.03,3%,,
Salisu,SOU,(H): LEE,0.03,3%,,
Diego Carlos,AVL,(H): EVE,0.03,3%,,
Cook,BOU,(A): MCI,0.03,3%,,
Mina,EVE,(A): AVL,0.03,3%,,
Maguire,MUN,(A): BRE,0.03,3%,,
Zouma,WHU,(A): NFO,0.03,3%,,
Jansson,BRE,(H): MUN,0.02,2%,,
Tosin,FUL,(A): WOL,0.02,2%,,
Llorente,LEE,(A): SOU,0.02,2%,,
Evans,LEI,(A): ARS,0.02,2%,,
Davies,TOT,(A): CHE,0.02,2%,,
Coady,WOL,(H): FUL,0.02,2%,,
Thiago Silva,CHE,(H): TOT,0.02,2%,,
Guéhi,CRY,(A): LIV,0.02,2%,,
Cook,NFO,(H): WHU,0.02,2%,,
Amartey,LEI,(A): ARS,0.02,2%,,
Sánchez,TOT,(A): CHE,0.02,2%,,
Romero,TOT,(A): CHE,0.02,2%,,
Niakhaté,NFO,(H): WHU,0.02,2%,,
Ream,FUL,(A): WOL,0.02,2%,,
Fofana,LEI,(A): ARS,0.02,2%,,
Söyüncü,LEI,(A): ARS,0.02,2%,,
Alisson,LIV,(H): CRY,0.01,1%,,
Dier,TOT,(A): CHE,0.01,1%,,
Kelly,BOU,(A): MCI,0.01,1%,,
Mepham,BOU,(A): MCI,0.01,1%,,
James Hill,BOU,(A): MCI,0.01,1%,,
Johnstone,CRY,(A): LIV,0.01,1%,,
Sá,WOL,(H): FUL,0.01,1%,,
Sánchez,BHA,(H): NEW,0.00,0%,,
Ederson,MCI,(H): BOU,0.00,0%,,
Ramsdale,ARS,(H): LEI,0.00,0%,,
Martínez,AVL,(H): EVE,0.00,0%,,
Raya,BRE,(H): MUN,0.00,0%,,
Pickford,EVE,(A): AVL,0.00,0%,,
Ward,LEI,(A): ARS,0.00,0%,,
Pope,NEW,(A): BHA,0.00,0%,,
Henderson,NFO,(H): WHU,0.00,0%,,
McCarthy,SOU,(H): LEE,0.00,0%,,
Daniel Iversen,LEI,(A): ARS,0.00,0%,,
Mendy,CHE,(H): TOT,0.00,0%,,
Guaita,CRY,(A): LIV,0.00,0%,,
Rodák,FUL,(A): WOL,0.00,0%,,
Meslier,LEE,(A): SOU,0.00,0%,,
Schmeichel,LEI,(A): ARS,0.00,0%,,
De Gea,MUN,(A): BRE,0.00,0%,,
Lloris,TOT,(A): CHE,0.00,0%,,
Fabianski,WHU,(A): NFO,0.00,0%,,
Travers,BOU,(A): MCI,0.00,0%,,
