name,team,position,cost
Telles,MUN,DEF,5.0
Rashford,MUN,MID,6.5
Van de Beek,MUN,MID,5.5
Lindelöf,MUN,DEF,4.5
McTominay,MUN,MID,5.0
Bailly,MUN,DEF,4.0
Sancho,MUN,MID,7.5
Wan-Bissaka,MUN,DEF,4.5
Dalot,MUN,DEF,4.5
B.Williams,MUN,DEF,4.0
Elanga,MUN,MID,5.0
Martial,MUN,FWD,7.0
Pellistri,MUN,MID,4.5
Heaton,MUN,GKP,4.0
Malacia,MUN,DEF,4.5
Eriksen,MUN,MID,6.5
Martínez,MUN,DEF,4.5
Amad,MUN,MID,4.5
Iqbal,MUN,MID,4.5
Shelvey,NEW,MID,5.0
Ritchie,NEW,DEF,4.5
Fernández,NEW,DEF,4.5
Clark,NEW,DEF,4.5
Darlow,NEW,GKP,4.0
Wood,NEW,FWD,6.0
Dubravka,NEW,GKP,4.5
Wilson,NEW,FWD,7.5
Trippier,NEW,DEF,5.0
Burn,NEW,DEF,4.5
Fraser,NEW,MID,5.5
Lascelles,NEW,DEF,4.5
Gayle,NEW,FWD,4.5
Dummett,NEW,DEF,4.0
Manquillo,NEW,DEF,4.5
Krafth,NEW,DEF,4.5
Murphy,NEW,MID,4.5
Schär,NEW,DEF,4.5
Targett,NEW,DEF,5.0
Saint-Maximin,NEW,MID,6.5
Almirón,NEW,MID,5.0
S.Longstaff,NEW,MID,4.5
Joelinton,NEW,MID,6.0
Lewis,NEW,DEF,4.5
Willock,NEW,MID,5.0
Bruno Guimarães,NEW,MID,6.0
Hendrick,NEW,MID,4.5
Pope,NEW,GKP,5.0
Botman,NEW,DEF,4.5
Anderson,NEW,MID,4.5
N.Williams,NFO,DEF,4.0
Arter,NFO,MID,4.5
Cook,NFO,DEF,4.5
Taylor,NFO,FWD,4.5
Colback,NFO,MID,4.5
Samba,NFO,GKP,4.5
Cafú,NFO,MID,4.5
Lolley,NFO,MID,5.0
McKenna,NFO,DEF,4.5
Dräger,NFO,DEF,4.0
Yates,NFO,MID,5.0
Worrall,NFO,DEF,4.5
Panzo,NFO,DEF,4.0
Xande Silva,NFO,MID,5.0
Surridge,NFO,FWD,5.0
Laryea,NFO,DEF,4.5
Mbe Soh,NFO,DEF,4.5
Johnson,NFO,FWD,6.0
Mighten,NFO,MID,5.0
Ojeda,NFO,MID,4.5
Awoniyi,NFO,FWD,6.0
Henderson,NFO,GKP,4.5
Biancone,NFO,DEF,4.5
Niakhaté,NFO,DEF,4.5
Richards,NFO,DEF,4.5
Hennessey,NFO,GKP,4.0
Toffolo,NFO,DEF,4.5
O'Brien,NFO,MID,5.0
Lingard,NFO,MID,6.0
Mangala,NFO,MID,5.0
Hammond,NFO,MID,4.5
Lavia,SOU,MID,4.5
Walcott,SOU,MID,5.0
McCarthy,SOU,GKP,4.5
Romeu,SOU,MID,5.0
Redmond,SOU,MID,5.5
Stephens,SOU,DEF,4.5
S.Armstrong,SOU,MID,5.0
Elyounoussi,SOU,MID,5.5
Ward-Prowse,SOU,MID,6.5
A.Armstrong,SOU,FWD,5.5
Walker-Peters,SOU,DEF,4.5
Bednarek,SOU,DEF,4.5
Adams,SOU,FWD,6.5
Tella,SOU,MID,5.0
Lyanco,SOU,DEF,4.5
Valery,SOU,DEF,4.0
Smallbone,SOU,MID,4.5
Diallo,SOU,MID,4.5
Perraud,SOU,DEF,4.5
Djenepo,SOU,MID,5.0
Livramento,SOU,DEF,4.5
Salisu,SOU,DEF,4.5
Lis,SOU,GKP,4.0
Bazunu,SOU,GKP,4.5
Bella-Kotchap,SOU,DEF,4.5
Caballero,SOU,GKP,4.0
Aribo,SOU,MID,5.5
Mara,SOU,FWD,5.5
Lloris,TOT,GKP,5.5
Forster,TOT,GKP,4.0
Kane,TOT,FWD,11.5
Son,TOT,MID,12.0
Doherty,TOT,DEF,5.0
Dier,TOT,DEF,5.0
Lucas Moura,TOT,MID,6.0
Davies,TOT,DEF,5.0
Højbjerg,TOT,MID,5.5
Winks,TOT,MID,4.5
Sánchez,TOT,DEF,4.5
R.Sessegnon,TOT,DEF,4.5
Bergwijn,TOT,MID,5.5
Reguilón,TOT,DEF,4.5
Tanganga,TOT,DEF,4.0
Bentancur,TOT,MID,5.5
Skipp,TOT,MID,4.5
Rodon,TOT,DEF,4.0
Romero,TOT,DEF,5.0
Bissouma,TOT,MID,5.0
Emerson Royal,TOT,DEF,5.0
Kulusevski,TOT,MID,8.0
Scarlett,TOT,FWD,4.5
Perišić,TOT,DEF,5.5
White,TOT,MID,4.5
Sarr,TOT,MID,4.5
Austin,TOT,GKP,4.0
Devine,TOT,MID,4.5
Parrott,TOT,FWD,4.5
Richarlison,TOT,FWD,8.5
Lenglet,TOT,DEF,5.0
Spence,TOT,DEF,4.5
Bryan,TOT,MID,5.0
Fabianski,WHU,GKP,5.0
Ogbonna,WHU,DEF,4.5
Cresswell,WHU,DEF,5.0
Antonio,WHU,FWD,7.5
Dawson,WHU,DEF,5.0
Lanzini,WHU,MID,5.5
Zouma,WHU,DEF,4.5
Masuaku,WHU,DEF,4.5
Coufal,WHU,DEF,4.5
Benrahma,WHU,MID,6.0
Bowen,WHU,MID,8.5
Vlasic,WHU,MID,5.0
Rice,WHU,MID,5.0
Soucek,WHU,MID,5.5
Fornals,WHU,MID,5.5
Diop,WHU,DEF,4.5
Johnson,WHU,DEF,4.5
Aguerd,WHU,DEF,5.0
Areola,WHU,GKP,4.5
Downes,WHU,MID,4.5
Scamacca,WHU,FWD,7.0
Ashby,WHU,DEF,4.0
Coventry,WHU,MID,4.5
Boly,WOL,DEF,4.5
Coady,WOL,DEF,5.0
Jiménez,WOL,FWD,7.0
Jonny,WOL,DEF,4.5
Sá,WOL,GKP,5.0
Dendoncker,WOL,MID,5.0
Neves,WOL,MID,5.5
Hwang,WOL,MID,6.0
Semedo,WOL,DEF,5.0
Podence,WOL,MID,5.5
Kilman,WOL,DEF,4.5
Cundle,WOL,MID,4.5
Neto,WOL,MID,5.5
Aït-Nouri,WOL,DEF,4.5
Fabio Silva,WOL,FWD,5.5
Toti,WOL,DEF,4.0
Chiquinho,WOL,MID,5.0
Adama,WOL,MID,5.5
Šarkić,WOL,GKP,4.0
Gibbs-White,WOL,MID,5.5
Mosquera,WOL,DEF,4.0
Moutinho,WOL,MID,5.0
Collins,WOL,DEF,4.5
Smith,WOL,GKP,4.0
Bueno,WOL,DEF,4.0
