Team,Opp,H/A,CS%,,,
Liverpool,FUL,A,49%,,,
Spurs,SOU,H,44%,,,
Newcastle,NFO,H,41%,,,
Man City,WHU,A,37%,,,
Chelsea,EVE,A,35%,,,
Leicester,BRE,H,35%,,,
Man Utd,BHA,H,33%,,,
Aston Villa,BOU,A,29%,,,
Leeds,WOL,H,29%,,,
Arsenal,CRY,A,28%,,,
Bournemouth,AVL,H,24%,,,
Wolves,LEE,A,23%,,,
Crystal Palace,ARS,H,23%,,,
Brighton,MUN,A,18%,,,
Brentford,LEI,A,18%,,,
Everton,CHE,H,17%,,,
Nott'm Forest,NEW,A,14%,,,
West Ham,MCI,H,13%,,,
Southampton,TOT,A,11%,,,
Fulham,LIV,H,7%,,,
