Team,Opp,H/A,CS%
Man City,NFO,H,58%
Liverpool,NEW,H,46%
Arsenal,AVL,H,41%
Chelsea,SOU,A,36%
Leeds,EVE,H,33%
Crystal Palace,BRE,H,33%
Brighton,FUL,A,31%
Spurs,WHU,A,29%
Wolves,BOU,A,28%
Leicester,MUN,H,27%
Bournemouth,WOL,H,26%
Man Utd,LEI,A,24%
Fulham,BHA,H,22%
West Ham,TOT,H,21%
Everton,LEE,A,20%
Brentford,CRY,A,20%
Southampton,CHE,H,16%
Aston Villa,ARS,A,12%
Newcastle,LIV,A,8%
Nott'm Forest,MCI,A,3%
