Team,Opp,H/A,CS%,,,
Man City,BOU,H,57%,,,
Liverpool,CRY,H,49%,,,
Wolves,FUL,H,37%,,,
Arsenal,LEI,H,35%,,,
West Ham,NFO,A,34%,,,
Aston Villa,EVE,H,33%,,,
Chelsea,TOT,H,31%,,,
Brighton,NEW,H,30%,,,
Southampton,LEE,H,29%,,,
Man Utd,BRE,A,28%,,,
Leeds,SOU,A,24%,,,
Brentford,MUN,H,24%,,,
Newcastle,BHA,A,21%,,,
Nott'm Forest,WHU,H,20%,,,
Everton,AVL,A,19%,,,
Spurs,CHE,A,18%,,,
Fulham,WOL,A,17%,,,
Leicester,ARS,A,17%,,,
Crystal Palace,LIV,A,6%,,,
Bournemouth,MCI,A,4%,,,
