Team,Opp,H/A,CS%
Spurs,WOL,H,41%
Man City,NEW,A,39%
Leicester,SOU,H,38%
Liverpool,MUN,A,37%
Arsenal,BOU,A,37%
Everton,NFO,H,36%
Chelsea,LEE,A,34%
Crystal Palace,AVL,H,32%
West Ham,BHA,H,30%
Brentford,FUL,A,28%
Fulham,BRE,H,25%
Brighton,WHU,A,22%
Aston Villa,CRY,A,21%
Nott'm Forest,EVE,A,18%
Leeds,CHE,H,17%
Southampton,LEI,A,16%
Bournemouth,ARS,H,16%
Man Utd,LIV,H,13%
Wolves,TOT,A,12%
Newcastle,MCI,H,12%
