Team,Opp,H/A,CS%
Spurs,FUL,H,45%
Liverpool,EVE,A,43%
Man City,AVL,A,43%
Chelsea,WHU,H,37%
Wolves,SOU,H,33%
Brighton,LEI,H,32%
Newcastle,CRY,H,31%
Brentford,LEE,H,31%
Nott'm Forest,BOU,H,31%
Arsenal,MUN,A,26%
Bournemouth,NFO,A,24%
Man Utd,ARS,H,24%
Leeds,BRE,A,22%
Crystal Palace,NEW,A,21%
Southampton,WOL,A,21%
Leicester,BHA,A,20%
West Ham,CHE,A,15%
Everton,LIV,H,10%
Fulham,TOT,A,10%
Aston Villa,MCI,H,10%
