Team,Opp,H/A,CS%
Liverpool,BHA,H,46%
Man City,MUN,H,45%
Leicester,NFO,H,40%
West Ham,WOL,H,34%
Leeds,AVL,H,31%
Southampton,EVE,H,31%
Chelsea,CRY,A,29%
Newcastle,FUL,A,29%
Arsenal,TOT,H,29%
Brentford,BOU,A,28%
Bournemouth,BRE,H,25%
Fulham,NEW,H,24%
Everton,SOU,A,23%
Crystal Palace,CHE,H,21%
Aston Villa,LEE,A,21%
Spurs,ARS,A,20%
Wolves,WHU,A,18%
Nott'm Forest,LEI,A,14%
Brighton,LIV,A,8%
Man Utd,MCI,A,8%
