Team,Opp,H/A,CS%
Man City,SOU,H,54%
Chelsea,WOL,H,41%
West Ham,FUL,H,38%
Newcastle,BRE,H,33%
Crystal Palace,LEE,H,33%
Leicester,BOU,A,30%
Man Utd,EVE,A,29%
Liverpool,ARS,A,29%
Aston Villa,NFO,A,29%
Spurs,BHA,A,28%
Nott'm Forest,AVL,H,25%
Bournemouth,LEI,H,23%
Everton,MUN,H,23%
Brighton,TOT,H,22%
Leeds,CRY,A,20%
Brentford,NEW,A,19%
Arsenal,LIV,H,19%
Fulham,WHU,A,16%
Wolves,CHE,A,12%
Southampton,MCI,A,5%
