Team,Opp,H/A,CS%
Man City,WOL,A,43%
Newcastle,BOU,H,40%
Spurs,LEI,H,39%
Man Utd,LEE,H,36%
Aston Villa,SOU,H,33%
Brighton,CRY,H,32%
Arsenal,BRE,A,32%
Liverpool,CHE,A,29%
Nott'm Forest,FUL,H,28%
West Ham,EVE,A,27%
Fulham,NFO,A,26%
Everton,WHU,H,25%
Southampton,AVL,A,20%
Crystal Palace,BHA,A,20%
Brentford,ARS,H,19%
Chelsea,LIV,H,18%
Leeds,MUN,A,17%
Bournemouth,NEW,A,14%
Leicester,TOT,A,14%
Wolves,MCI,H,10%
